culture,sup_ha,rendement_qx_ha,production_qx,feuille
ble_dur,4500,31,138060,Feuil1
ble_tendre,470,34,16150,Feuil1
orge,3000,19,58350,Feuil1
triticale,300,36,10740,Feuil1
feve,15,10,153,Feuil1
feverole,55,10,556,Feuil1
poischiche,10,15,150,Feuil1
semence_avoine,55,22,1225,Feuil1
semence_fenugrec,25,18,440,Feuil1
semence_bersim,9,9,80,Feuil1
foin,5022,64,323050,Feuil1
ensilage,30,460,13700,Feuil1
fourrage_vert,638,460,294000,Feuil1
