annee,gouvernorat,communal,non_communal,ensemble,feuille
2018,Tunis,0.9993815171045608,,0.9993815171045608,Feuil1
2018,Ariana,0.9988667573396383,0.945062571506955,0.9926642105616533,Feuil1
2018,Ben Arous,0.9994799426707301,0.8187099584946332,0.9837941660646925,Feuil1
2018,Manouba,0.9994885532746912,0.7890225655757981,0.951965950749198,Feuil1
2018,Grand Tunis,0.9993672937173493,0.8482388231929968,0.987358039469335,Feuil1
2018,Nabeul,0.9994765710725121,0.5825879705653753,0.8705773418674908,Feuil1
2018,Zaghouan,0.9921513912737118,0.4564804199775419,0.7010745671912489,Feuil1
2018,Bizerte,0.9919876943908988,0.497772999698379,0.8261271520966799,Feuil1
2018,Nord Est,0.9961757743717842,0.5306549179734393,0.8355816208106489,Feuil1
2018,Beja,0.9994626078319231,0.4002276382437531,0.6735929158155529,Feuil1
2018,Jendouba,0.9994796461408205,0.3701548864701965,0.5685979523520585,Feuil1
2018,Le Kef,0.9890800385517142,0.2869993173426403,0.70059931719409,Feuil1
2018,Siliana,0.9994782004068913,0.3451221427941848,0.6405990149644777,Feuil1
2018,Nord Ouest,0.9964702172177513,0.3600543442900393,0.6371394883230831,Feuil1
2018,Kairouan,0.9922988233007789,0.3129627241337121,0.5620542507318693,Feuil1
2018,Kasserine,0.9773821100845217,0.1159800294116269,0.516286122805342,Feuil1
2018,Sidi Bouzid,0.9991806339291327,0.3079164299922864,0.5053526731744176,Feuil1
2018,Centre Ouest,0.988306083145081,0.2612912514171894,0.5317496860952283,Feuil1
2018,Sousse,0.9982291820304684,0.7802091132519381,0.9624446610736638,Feuil1
2018,Monastir,0.9994913567918011,,0.9994913567918011,Feuil1
2018,Mahdia,0.9994301970767111,0.6516594635472018,0.8238692456198998,Feuil1
2018,Sfax,0.9994515707205424,0.547618983794839,0.8455584411570323,Feuil1
2018,Centre Est,0.999094193684575,0.6213129712769629,0.9062681475471644,Feuil1
2018,Gafsa,0.9952356769707879,0.3025350499195094,0.832718176089143,Feuil1
2018,Tozeur,0.9994818573942651,0.9165235915468888,0.9765952763721023,Feuil1
2018,Kebili,0.9994848643763977,0.9510845704645472,0.9772453601129363,Feuil1
2018,Sud Ouest,0.9968890886959859,0.6622832895056308,0.8967410473068226,Feuil1
2018,Gabes,0.9994496312597805,0.7529929527921112,0.9347352049614953,Feuil1
2018,Medenine,0.9948565744880454,0.6158211476882401,0.9201625236880369,Feuil1
2018,Tataouine,0.99709136877551,0.8012162630232872,0.9272521748319893,Feuil1
2018,Sud Est,0.9967584123482832,0.7062006122653215,0.9264820447720613,Feuil1
2018,Total,0.9976351301425876,0.4886978397420907,0.846209187864658,Feuil1
2019,Tunis,0.9994041246569901,,0.9994041246569901,Feuil1
