annee,gouvernorat,effectif_menages_communal,effectif_menages_non_communal,menages_communal_branches,menages_non_communal_branches,taux_branchement_comm,taux_branchement_non_comm,feuille
2019,Tunis,305.6206287729414,,305.43851697594044,,0.9994041246569901,,Feuil1
2019,Ariana,160.53581078113527,21.00531634051231,160.36091201749363,19.852628054850094,0.9989105311594303,0.9451239739989508,Feuil1
2019,Ben Arous,176.57347932569263,16.863507875111594,176.48302363014454,13.811386280868275,0.9994877164119237,0.8190102784754609,Feuil1
2019,Manouba,86.21243034529417,25.172633537437306,86.16896716631605,19.866929307793225,0.9994958594856445,0.7892272883664191,Feuil1
2019,Grand Tunis,728.9423492250634,63.04145775306121,728.4514197898947,53.53094364351159,0.9993265181592336,0.8491387342785899,Feuil1
2019,Nabeul,159.13697691662665,71.73559286587667,159.05579858297705,41.93558919942976,0.9994898839023935,0.5845855247594638,Feuil1
2019,Zaghouan,22.168560437172243,26.578217785991452,22.102892420291774,12.142374212844759,0.9970377861446359,0.4568543425528187,Feuil1
2019,Bizerte,103.23107470809283,52.666812200335,102.66847472367607,26.813119066373424,0.9945500907938076,0.5091084488725306,Feuil1
2019,Nord Est,284.53661206189173,150.9806228522031,283.8271657269449,80.89108247864795,0.9975066606374278,0.5357712860797592,Feuil1
2019,Beja,36.43946979640716,43.678396395258424,36.420311564547376,17.575379110124707,0.9994742450434426,0.4023815103256087,Feuil1
2019,Jendouba,34.924344748104275,76.34601482858574,34.906646831351715,29.462160704948595,0.9994932498553599,0.3859030595257379,Feuil1
2019,Le Kef,40.64280382342873,28.514217823451297,40.206648730762936,8.365155081279939,0.9892685776660327,0.2933678606607291,Feuil1
2019,Siliana,27.53968615716645,33.694538058106566,27.525370544851558,11.703472934377157,0.9994801824453193,0.3473403586716161,Feuil1
2019,Nord Ouest,139.5463045251066,182.23316710540203,139.0589776715136,67.1061678307304,0.9965077767179042,0.3682434372219234,Feuil1
2019,Kairouan,52.89090946258241,92.19931647141829,52.54527421235256,29.01844723066528,0.9934651293815553,0.3147360342921954,Feuil1
2019,Kasserine,49.04768136493271,56.55553700096271,47.95227797627706,6.571618395035826,0.9776665612283393,0.1161976128866738,Feuil1
2019,Sidi Bouzid,29.78901106426192,74.64855671749925,29.76700779704382,23.078778411595156,0.9992613629512361,0.3091657685885973,Feuil1
2019,Centre Ouest,131.72760189177703,223.40341018988025,130.26455998567343,58.66884403729627,0.9888934294324618,0.2626139143866742,Feuil1
2019,Sousse,161.87755628710764,31.781309642291575,161.61922213735167,24.800646714784108,0.9984041385620018,0.7803532011085453,Feuil1
2019,Monastir,146.78767990243338,,146.71301734600374,,0.9994913567918011,,Feuil1
2019,Mahdia,53.837753122749554,54.89567139780123,53.8094516698728,35.985039440889466,0.9994743195762232,0.6555168836559816,Feuil1
2019,Sfax,170.62090956124675,88.2017022326261,170.53161139235078,48.65480156963258,0.9994766282214437,0.5516310948433715,Feuil1
2019,Centre Est,533.1238988735373,174.87868327271892,532.673302545579,109.44048772530616,0.9991547999838116,0.6258080497703454,Feuil1
2019,Gafsa,66.46299755819145,20.174096122530244,66.12842754320185,6.103954303934647,0.9949660709374918,0.3025639546308004,Feuil1
2019,Tozeur,20.62116713466816,7.887922438889877,20.61040461463282,7.230754663427206,0.9994780838560178,0.9166868360390268,Feuil1
2019,Kebili,21.058616831410138,17.964203117787267,21.047730784695666,17.085790129987174,0.999483059746914,0.9511020343045258,Feuil1
2019,Sud Ouest,108.14278152426974,46.02622167920739,107.78656294253034,30.420499097349026,0.9967060345894705,0.6609384387311475,Feuil1
2019,Gabes,70.81295970063427,25.08204424832867,70.7743579549352,18.887702614760578,0.999454877385972,0.753036811025447,Feuil1
2019,Medenine,103.962318800365,25.583177793327295,103.53495611565496,15.77164306878946,0.9958892540139406,0.6164849103657124,Feuil1
2019,Tataouine,20.389361977567436,11.323110963632807,20.34344512504325,9.078535923654655,0.9977479995413929,0.8017704633305102,Feuil1
2019,Sud Est,195.1646404785667,61.98833300528877,194.65275919563342,43.73788160720469,0.9973771822514669,0.7055824779716697,Feuil1
2019,Total,2121.184188580213,902.5518958577617,2116.714747857769,443.79590642004604,0.9978929501989946,0.4917123419238669,Feuil1
2020,Tunis,309.0102700332758,,308.84,,0.9994489826074147,,Feuil1
2020,Ariana,163.27293107272655,21.363454984514266,163.1,20.202,0.9989408466449988,0.9456335604256816,Feuil1
2020,Ben Arous,179.9817772033352,17.189014617799362,179.89,14.07,0.9994900750244757,0.8185460489067479,Feuil1
2020,Manouba,87.37756593877101,25.512834262536316,87.331,20.219,0.9994670721452273,0.7925030904814087,Feuil1
2020,Grand Tunis,739.6425442481086,64.06530386484994,739.161,54.49100000000001,0.9993489500409983,0.8505539927657634,Feuil1
