inv_declare,nbr_adi,nbr_emploi_pervu,mois,gouvernorat,feuille
2912964,70,45,1,سيدي بوزيد,SQL Results
924724,19,25,1,جندوبة,SQL Results
2133186,19,66,1,نابل,SQL Results
1048088,10,19,1,تطاوين,SQL Results
1846500,18,35,1,القيروان,SQL Results
2528340,13,118,1,بن عروس,SQL Results
1307000,26,10,1,سليانة,SQL Results
927113,16,14,1,بنزرت,SQL Results
12963000,5,46,1,المنستير,SQL Results
501763,4,10,1,قفصة,SQL Results
2483252,38,41,1,باجة,SQL Results
174718,4,3,1,تــونس,SQL Results
1200191,7,12,1,مدنين,SQL Results
5437161,7,72,1,سوسة,SQL Results
3730287,13,24,1,المهدية,SQL Results
7334517,18,95,1,صفاقس,SQL Results
125978,1,2,1,القصرين,SQL Results
657409,4,9,1,منــوبة,SQL Results
728250,6,9,1,قابس,SQL Results
731960,13,13,1,قبلي,SQL Results
141551,5,0,1,زغوان,SQL Results
185591,3,5,1,أريانة,SQL Results
2133358,33,38,2,باجة,SQL Results
1383000,1,6,2,منــوبة,SQL Results
447600,7,73,2,بن عروس,SQL Results
1832112,21,20,2,صفاقس,SQL Results
1408531,20,22,2,جندوبة,SQL Results
694255,13,12,2,الكاف,SQL Results
70000,1,1,2,أريانة,SQL Results
577775,15,13,2,تطاوين,SQL Results
1568500,32,34,2,القيروان,SQL Results
3363572,80,137,2,نابل,SQL Results
335434,3,73,2,تــونس,SQL Results
1020609,23,21,2,قبلي,SQL Results
1004720,18,13,2,المهدية,SQL Results
1068500,9,8,2,سوسة,SQL Results
1687862,21,21,2,مدنين,SQL Results
3196496,9,25,2,القصرين,SQL Results
3420103,39,24,2,سيدي بوزيد,SQL Results
10351766,19,36,2,زغوان,SQL Results
352949,4,5,2,قفصة,SQL Results
5876500,15,40,2,المنستير,SQL Results
1675868,28,22,2,قابس,SQL Results
709000,11,2,2,سليانة,SQL Results
3425940,24,37,2,بنزرت,SQL Results
872264,5,14,3,أريانة,SQL Results
278700,5,9,3,سوسة,SQL Results
2959813,36,39,3,باجة,SQL Results
626342,5,4,3,توزر,SQL Results
7955700,31,23,3,المهدية,SQL Results
7219563,33,76,3,صفاقس,SQL Results
6599300,11,41,3,بن عروس,SQL Results
1406000,9,34,3,المنستير,SQL Results
3685512,16,58,3,منــوبة,SQL Results
674027,18,18,3,مدنين,SQL Results
3142300,44,50,3,القيروان,SQL Results
5346945,16,22,3,زغوان,SQL Results
1900321,23,19,3,بنزرت,SQL Results
718017,18,23,3,جندوبة,SQL Results
2421733,28,43,3,قفصة,SQL Results
5377943,25,35,3,قابس,SQL Results
2629257,51,54,3,الكاف,SQL Results
3496799,55,51,3,نابل,SQL Results
4488891,50,52,3,سيدي بوزيد,SQL Results
1119733,5,9,3,قبلي,SQL Results
5531438,58,87,3,القصرين,SQL Results
223885,7,8,3,تــونس,SQL Results
255896,3,6,3,تطاوين,SQL Results
570000,15,1,3,سليانة,SQL Results
2397772,32,29,4,صفاقس,SQL Results
5068702,21,82,4,قفصة,SQL Results
2333098,25,31,4,مدنين,SQL Results
4073480,32,36,4,المهدية,SQL Results
2227957,68,38,4,نابل,SQL Results
