annee,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,feuille
Manouba,,,,,,,,,4040,4630,4570,5100,3600,4950,5500,5760,6200,Feuil1
Bizerte,70470.0,65700.0,40060.0,39130.0,68800.0,39600.0,49750.0,31360.0,24890,19760,23140,21220,27090,35990,46690,26110,41410,Feuil1
Nabeul,101830.0,106000.0,113100.0,83600.0,100270.0,95000.0,100460.0,78000.0,89500,72020,80000,85000,94790,105000,93200,86130,110000,Feuil1
Béja,,,,,,,,7810.0,10480,5780,6540,9000,4800,7550,8100,8820,6710,Feuil1
Jendouba,16000.0,10360.0,14370.0,6130.0,16080.0,11770.0,15980.0,19210.0,19900,15790,15430,14750,9120,16600,12200,9360,16400,Feuil1
Sousse,16200.0,7920.0,9110.0,14990.0,21040.0,18500.0,18830.0,12510.0,17820,17200,14400,5180,14470,19690,15540,11450,13630,Feuil1
Monastir,,,,,,,,1470.0,8360,11090,15980,11860,17000,13110,17350,10960,9200,Feuil1
Kairouan,,,,,,,,8080.0,10180,9260,9870,9610,10670,14130,13400,11500,13570,Feuil1
Kasserine,,,,,,,,10140.0,16940,15370,10080,14100,16200,13700,13500,11690,13390,Feuil1
