annee,nom_de_nappe_fr,nom_de_nappe_ar,nbre_de_puits,ressources_mm3,exploitation_mm3,feuille
2020,EL FAHS,الفحص,787,5.0,4.9,Agric3
2020,SMENJA,سمنجة,363,2.5,2.2,Agric3
2020,BOUCHA,بوشة,65,0.4,0.32,Agric3
2020,OUED ERRAML,وادي الرمل,1123,8.3,5.7,Agric3
2020,ENNADHOUR-SAOUAF,الناظور-صواف,60,2.0,0.3,Agric3
2021,EL FAHS,الفحص,812,5.0,5.1,Agric3
2021,SMENJA,سمنجة,365,2.5,2.3,Agric3
2021,BOUCHA,بوشة,77,0.4,0.41,Agric3
2021,OUED ERRAML,وادي الرمل,1151,8.3,6.0,Agric3
2021,ENNADHOUR-SAOUAF,الناظور-صواف,60,2.0,0.3,Agric3
2022,EL FAHS,الفحص,812,5.0,5.1,Agric3
2022,SMENJA,سمنجة,365,2.5,2.3,Agric3
2022,BOUCHA,بوشة,77,0.4,0.41,Agric3
2022,OUED ERRAML,وادي الرمل,1151,8.3,6.0,Agric3
2022,ENNADHOUR-SAOUAF,الناظور-صواف,60,2.0,0.3,Agric3
2023,EL FAHS,الفحص,812,5.0,5.1,Agric3
2023,SMENJA,سمنجة,365,2.5,2.3,Agric3
2023,BOUCHA,بوشة,77,0.4,0.41,Agric3
2023,OUED ERRAML,وادي الرمل,1151,8.3,6.0,Agric3
2023,ENNADHOUR-SAOUAF,الناظور-صواف,60,2.0,0.3,Agric3
2024,EL FAHS,الفحص,812,5.0,5.1,Agric3
2024,SMENJA,سمنجة,365,2.5,2.3,Agric3
2024,BOUCHA,بوشة,77,0.4,0.41,Agric3
2024,OUED ERRAML,وادي الرمل,1151,8.3,6.0,Agric3
2024,ENNADHOUR-SAOUAF,الناظور-صواف,60,2.0,0.3,Agric3
