gouvernorat_الولاية,ابار_عميقة_sondage,السدود_grand_barrage,السدود_barrage_collinaire,ابار_سطحية_puit_de_surface,ضخ_على_اودية_ponpage_sur_oued,المياه_المعالجة_eau_usee,autres_sources,feuille
تونس,,,,,0 140,,,Feuil1
أريانة,,7880,,,,3680,,Feuil1
منوبة,19530.0,,,,,,,Feuil1
بن عروس,1300.0,4660,0 120,0 340,,0 550,,Feuil1
نابل,2440.0,23140,0 660,,,0 560,,Feuil1
بنزرت,600.0,18900,0 740,0 670,,,,Feuil1
باجة,400.0,17310,,,,0 500,0 340,Feuil1
جندوبة,6680.0,29910,0 170,,,,,Feuil1
الكاف,2550.0,1140,1190,,,0 180,0 340,Feuil1
سليانة,1770.0,6610,0 630,,,0 090,0 120,Feuil1
زغوان,2690.0,0 610,0 240,,,0 050,,Feuil1
سوسة,1110.0,7000,,,,0 370,,Feuil1
المنستير,1370.0,2270,,,,0 100,,Feuil1
المهدية,2240.0,,,,,,,Feuil1
صفاقس,3130.0,,,,,0 500,,Feuil1
القيروان,9400.0,8570,,,,0 380,,Feuil1
القصرين,9670.0,,0 630,0 400,,0 130,0 290,Feuil1
سيدي بوزيد,6410.0,,,,,,,Feuil1
قفصة,7050.0,,,,,,,Feuil1
قابس,13860.0,,,,,,,Feuil1
مدنين,430.0,,,,,0 100,,Feuil1
توزر,6960.0,,,,,,0 180,Feuil1
قبلي,10520.0,,,,,,,Feuil1
تطاوين,4520.0,,,,,,,Feuil1
