id,ref,type,titre,date_text,keywords,link,feuille
1,"JORT, 28 Oct 2005, V.148 (86) p.29053 (Fr,Ar)",Décret,"Décret n° 2005-2872 du 24 octobre 2005, portant approbation de la modification des statuts-type des groupements interprofessionnels dansle secteur agricole et agro-alimentaire tel qu’approuvés par le décret n° 94-1165 du 23 mai 1994",2005-10-24,GROUPEMENT INTERPROFESSIONEL/ /SECTEUR AGRICOLE/ /AGROALIMENTAIRE/ /STATUT TYPE/,http://www.onagri.tn/uploads/jortagri/5668.pdf,First Sheet
2,"JORT, 28 Oct 2005, V.148 (86) p.2904 (Fr,Ar)",Décret,"Décret n° 2005-2870 et n°2005-2871 du 18 octobre 2005, portant changement de la vocation de deux parcelles de terre agricoleet modification des limites des zones de sauvegarde des terres agricoles des gouvernorats de Nabeul et Bizerte.",2005-10-18,/SAUVEGARDE/ /TERRE AGRICOLE/ /NABEUL/ /BIZERTE/,http://www.onagri.tn/uploads/jortagri/5667.pdf,First Sheet
3,"JORT, 28 Oct 2005, V.148 (86) p.2903 (Fr,Ar)",Décret,"Décret n°2005-2869 du 18 octobre 2005, portant révision des limites, fixation du montant de la contribution et limitation de la propriété dans lepérimètre public irrigué de Béni Khalled de la délégation de Béni Khalled, au gouvernorat de Nabeul.",2005-10-18,/PPI/ /BENI KHALLED/ /NABEUL/ /LIMITATION DE LA PROPRIETE/,http://www.onagri.tn/uploads/jortagri/5666.pdf,First Sheet
4,"JORT , 18 Oct 2005, V.148 (83) p.2708 (Fr,Ar)",Décret,"Décret n°2005-2765 du 11 octobre 2005, fixant les zones de sauvegarde des terres agricoles du gouvernorat de Ben Arous.",2005-10-18,/BEN AROUS/ /TERRES AGRICOLES/ /SAUVEGARDE/,http://www.onagri.tn/uploads/jortagri/5665.pdf,First Sheet
5,"JORT, 18 Oct 2005, V.148 (83) p.2703 (Fr,Ar)",Décret,"Avis n° 68-2005 du conseil constitutionnel, concernant un projet de loi relatif aux sociétés mutuelles de services agricoles.",2005-10-18,/AVIS/ /SOCIETES MUTUELLES/ /SERVICES AGRICOLES/,http://www.onagri.tn/uploads/jortagri/5664.pdf,First Sheet
6,"JORT, 18 Oct 2005, V.148 (83) p.2701 (Fr,Ar)",Décret,"Avis n°67-2005 du conseil constitutionnel, concernant un projet de loi relatif à l'élevage et aux produits animaux.",2005-10-18,/AVIS/ /ELEVAGE/ /PRODUITS ANIMAUX/,http://www.onagri.tn/uploads/jortagri/5663.pdf,First Sheet
7,"JORT, 18 Oct 2005, V.148 (83) p.2698 (Fr,Ar)",Décret,"Avis n° 52-2005 du conseil constitutionnel, concernant un projet de loi relatif aux sociétés mutuelles de services agricoles.",2005-10-18,/AVIS/ /SOCIETES MUTUELLES/ /SERVICES AGRICOLES/,http://www.onagri.tn/uploads/jortagri/5662.pdf,First Sheet
8,"JORT, 18 Oct 2005, V.148 (83) p.2695 (Fr,Ar)",Décret,"Avis n° 38-2005 du conseil constitutionnel, concernant un projet de loi relatif à l'élevage et aux produits animaux.",2005-10-18,/AVIS/ /ELEVAGE/ /PRODUITS ANIMAUX/,http://www.onagri.tn/uploads/jortagri/5661.pdf,First Sheet
9,"JORT , 18 Oct 2005, V.148 (83) p.2688 (Fr,Ar)",Loi,"Loi n° 2005-95 du 18 octobre 2005, relative à l'élevage et aux produits animaux.
JORT , 18 Oct 2005, V.148 (83) p.2688 (Fr,Ar)",2005-10-18,/LOI/ /ELEVAGE/ /PRODUITS ANIMAUX/,http://www.onagri.tn/uploads/jortagri/5660.pdf,First Sheet
10,"JORT, 18 Oct  2005, V.148 (83) P.2683  (Fr,Ar)",Loi,"Loi n° 2005-94 du 18 octobre 2005, relative aux sociétés mutuelles de services agricoles",2005-10-18,/LOI/ /SOCIETE/ /SERVICES AGRICOLES/,http://www.onagri.tn/uploads/jortagri/5659.pdf,First Sheet
11,"JORT, 11 Oct  2005, V.148 (81) P.2651  (Fr,Ar)",Arrêté,"Arrêté du ministre de l'agriculture et des ressources hydrauliques du 7 octobre 2005, portant ouverture de la procédure de réaménagement foncier dans le périmètre public irrigué de Zarat 1 de la délégation de Mareth, au gouvernorat de Gabès .",2005-10-11,/REAMENAGEMENT FONCIER/ /PPI/ /ZARAT 1/ /MARETH/ /GABES/,http://www.onagri.tn/uploads/jortagri/5658.pdf,First Sheet
12,"JORT , 7 Oct 2005, V.148 (80) P.2637 (Fr,Ar)",Décret,"Décret n° 2005-2647 du 3 octobre 2005, portant création de commissions régionales des organismes professionnels dans le secteur de l'agriculture et de la pêche et fixant leur composition et la modalité de leur fonctionnement.",2005-10-07,/PROFESSION/ /PROFESSIONELS/ /ORGANISMES/,http://www.onagri.tn/uploads/jortagri/5657.pdf,First Sheet
13,"JORT, 4 Oct 2005, V.148 (79) p.2618 (Fr,Ar)",Décret,"Décret n° 2005-2636 du 24 septembre 2005, modifiant et complétant le décret n° 2120 du 25 octobre 1993, fixant les conditions et les modalités d'intervention du fonds de dépollution.",2005-10-04,/FONDS/ /DEPOLLUTION/,http://www.onagri.tn/uploads/jortagri/5656.pdf,First Sheet
14,"JORT , 30 Sep 2005, V.148 (78) p.2571 (Fr,Ar)",Arrêté,"Arrêté du ministre de l'agriculture et des ressources hydrauliques du 21 septembre 2005, portant ouverture de la procédure de réaménagement foncier dans les périmètres de Jebel Ammar au gouvernorat de l' Ariana.",2005-09-30,REAMENAGEMENT FONCIER/ /JBEL AMMAR/ /GOUVERNORAT DE L'ARIANA/,http://www.onagri.tn/uploads/jortagri/5655.pdf,First Sheet
15,"JORT , 23 Sep, 2005, V.148 (76) p.2466 (Fr,Ar)",Arrêté,"Arrêté du ministre de l'agriculture et des ressources hydrauliques du 14 septembre 2005, portant approbation de la modification des statuts du centre technique de l'agriculture biologique approuvé par l'arrêté",2005-09-23,/STATUT/ /CENTRE TECHNIQUE DE L'AGRICULTURE BIOLOGIQUE/,http://www.onagri.tn/uploads/jortagri/5654.pdf,First Sheet
16,"JORT , 20 Sep 2005, V148 (75) p.2433 (Fr,Ar)",Décret,"Décret no 2005-2497 du 12 septembre 2005, modifiant et complétant le décret n) 97-1537 du 4 août 1997, portant création d'une unité de gestion par objectifs du système d'information pour la promotionde l'aquaculture en méditerranée, fixant son organisation et les modalités de son fonctionnement.",2005-09-20,/SYSTEME D'INFORMATION/ /AQUACULTURE/ /MEDITERRANEE/,http://www.onagri.tn/uploads/jortagri/5652.pdf,First Sheet
17,"JORT, 20 Sep 2005, V.148 (75) p.2434 (Fr,Ar)",Décret,"Décret no 2005-2498 du 12 septembre 2005, portant changement de vocation d'une parcelle de terre agricole du gouvernorat de Ben Arous.",2005-09-20,/CHANGEMENT DE VOCATION/ /GOUVERNORAT DE BEN AROUS/,http://www.onagri.tn/uploads/jortagri/5653.pdf,First Sheet
18,"JORT , 16 Sep 2005, V. 148 (74) p.2414 (Fr,Ar)",Arrêté,"Arrêté du ministre de l'agriculture et des ressources hydrauliques du 12 septembre 2005, portant procédure de réaménagement foncier dans le périmètre public irrigué dans le périmètre public irrigué deMgacem de la délégation d'El Hamma, au gouvernorat de Gabès.",2005-09-16,/REAMENAGEMENT FONCIER/ /PPI/ /MGACEM/ /DELEGATION D'EL HAMMA/ /GABES/,http://www.onagri.tn/uploads/jortagri/5650.pdf,First Sheet
19,"JORT , 16 Sep 2005, V.148 (74) p.2414 (Fr,Ar)",Arrêté,"Arrêté du ministre de l'agriculture et des ressources hydrauliques du 15 septembre 2005, , relatif à l'organisation de la chasse pendant la saison 2005/2006.",2005-09-16,/CHASSE/ /SAISON 2005/2006/,http://www.onagri.tn/uploads/jortagri/5651.pdf,First Sheet
20,"JORT , 13 Sep 2005, V.148 (73) p.2379 (Fr,Ar)",Arrêté,"Arrêté du ministre de l'agriculture et des ressources hydrauliques et du ministre du commerce et de l'artisanat du 7 septembre 2005, complétant l'arrêté du 4 janvier 1996 fixant la liste et lesconditions de production, de commercialisation et d'incorporation des additifs destinés aux aliments des animaux.",2005-09-13,/ADDITIFS/ /ALIMENTS POUR ANIMAUX/ /ANIMAUX/,http://www.onagri.tn/uploads/jortagri/5649.pdf,First Sheet
21,"JORT , 6 Sep 2005, V.148 (71) p.2356 (Fr,Ar)",Décret,"Décret no 2005-2396 du 31 août 2005, portant suspension ou réduction des droits de douanes et réduction de la taxe sur la valeur ajoutée dus à l'importation des huiles de colza et des huiles d'arachide.",2005-09-06,/TVA/ /IMPORTATION/ /HUILE DE COLZA/ /ARACHIDE/,http://www.onagri.tn/uploads/jortagri/5646.pdf,First Sheet
22,"JORT, 6 Sep 2005, V.148 (71) p.2357  (Fr,Ar)",Décret,"Décret no 2005-2399 du 31 août 2005, portant statut des stagiaires internés en médecine vétérinaire.",2005-09-06,/STATUT/ /STAGIERES INTERNES/ /MEDECINE VETERINAIRE/,http://www.onagri.tn/uploads/jortagri/5647.pdf,First Sheet
23,"JORT , 6 Sep 2005, V.148 (71) p.2361 (Fr,Ar)",Décret,"Décrets no 2005-2400 et décret no 2005-2401 du 31 août 2005 , portant
changement de la vocation de parcelles de terres agricoles aux gouvernorats de Tunis, de la Manouba et Ariana.",2005-09-06,TUNIS/ /MANOUBA/ /ARIANA/ /CHANGEMENT DE VOCATION/ /TERRES AGRICOLES/,http://www.onagri.tn/uploads/jortagri/5648.pdf,First Sheet
24,"JORT, 30 Août 2005,  V.148 (69) p.2332 (Fr,Ar)",Décret,"Décret no 2005-2337 du 22 août 2005, modifiant et complétant le décret no 200-1852 du 9 août 2000, portant création d'une unité de gestion par objectifs pour la réalisation du projet de développementagricole intégré du sud est du gouvernorat de Zaghouan et fixant son organisation et les modalités de son fonctionnement.",2005-08-30,/PDAI/ /UNITE DE GESTION/ /ZAGHOUAN/,http://www.onagri.tn/uploads/jortagri/5643.pdf,First Sheet
25,"JORT, 30 Août 2005, V.148 (69) p.2333 (Fr,Ar)",Décret,"Décret no 2005-2338 du 22 août 2005, modifiant et complétant le décret no 2000-2791 du 20 novembre 2000, portant création d'une unité de gestion par objectifs pour la réalisation du projet de gestionintégrée des forêts et fixant son organisation et les modalités de son fonctionnement.",2005-08-30,/FORET/ /UNITE DE GESTION/,http://www.onagri.tn/uploads/jortagri/5644.pdf,First Sheet
26,"JORT , 30 Août 2005,  V.148 (69) p.2334 (Fr,Ar)",Arrêté,"Arrêté du ministre de l'agriculture et des ressources hydrauliques du 23 août 2005, portant approbation du guide des investisseurs et promoteurs dans le secteur agricole et de la pêche.",2005-08-30,/GUIDE DES INVESTISSEURS/ /PROMOTTEURS/ /INVESTISSEURS/,http://www.onagri.tn/uploads/jortagri/5645.pdf,First Sheet
27,"JORT, 23 août 2005, V.148 (67) p.2222 (Fr,Ar)",Décret,"Décret n°2005-2229 du 15 août 2005, portant changement de la vocation de la parcelle de terre classée en autres zones agricoles du gouvernorat de Nabeul.",2005-08-23,/CHANGEMENT DE LA VOCATION/ /PARCELLE DE TERRE/ /AUTRES ZONES AGRICOLES/ /NABEUL/,http://www.onagri.tn/uploads/jortagri/5640.pdf,First Sheet
28,"JORT , 23 août 2005, V.148 (67) p.2222 (Fr,Ar)",Décret,"Décret n°2005-2230 du 15 août 2005, portant changement de la vocation d'une parcelle de terre agricole et modification des limites des zones de sauvegarde des terres agricoles du gouvernorat de Zaghouan.",2005-08-23,/CHANGEMENT DE LA VOCATION/ /ZONE DE SAUVEGARDE/ /ZAGHOUAN/,http://www.onagri.tn/uploads/jortagri/5641.pdf,First Sheet
29,"JORT, 23 août 2005, V.148 (67) p.2223 (Fr,Ar)",Décret,"Décret n°2005-2231 du 15 août 2005, portant déclassement d'une parcelle de terrain du domaine public hydraulique au domaine privé de l'Eta.",2005-08-23,/DECLASSEMENT/ /DOMAINE PUBLIC HYDRAULIQUE/ /DOMAINE PRIVE DE L'ETAT/,http://www.onagri.tn/uploads/jortagri/5642.pdf,First Sheet
30,"JORT, 19 août 2005, V.148 (66) p.2170 (Fr,Ar)",Décret,"Décrets de n°2005-2206 au n°2005-2211 du 9 août 2005, portant création de périmètres publics irrigués dans certaines délégations du gouvernorat de Zaghouan.",2005-08-19,/PERIMETRES PUBLICS IRRIGUES/ /ZAGHOUAN/,http://www.onagri.tn/uploads/jortagri/5638.pdf,First Sheet
31,"JORT, 19 août 2005, V.148 (66) p.2174 (Fr,Ar)",Décret,"Décrets de n°2005-2212 au n°2005-2214 du 9 août 2005, portant changement de la vocation de parcelles de terre agricole et modification des limites des zones de sauvegarde des terres agricoles
des gouvernorats de Sfax et Sidi Bouzid.",2005-08-19,/PARCELLE DE TERRE AGRICOLES/ /ZONE DE SAUVEGARDE/ /SFAX/ /SIDI BOUZID/,http://www.onagri.tn/uploads/jortagri/5639.pdf,First Sheet
32,"JORT , 16 août 2005(Fr,Ar)",Décret,"Décret n°2005-2177 du 9 août 2005, fixant les conditions de commercialisation des huiles alimentaires.",2005-08-16,/COMMERCIALISATION/ /HUILES ALIMENTAIRES/,http://www.onagri.tn/uploads/jortagri/5636.pdf,First Sheet
33,"JORT, 16 août 2005, V.148 (65) p.2112 (Fr,Ar)",Décret,"Décret n°2005-2178 du 9 août 2005, portant modification du décret n°78-557du 24 mai 1978, fixant la composition et les modalités de fonctionnement de la commission du domaine public hydraulique.",2005-08-16,/COMPOSITION/ /MODALITES DE FONCTIONNEMENT/ /COMMISSION/ /DOMAINE PUBLIC  HYDRAULIQUE/,http://www.onagri.tn/uploads/jortagri/5637.pdf,First Sheet
34,"JORT , 12 août 2005, V.148 (64) p.2068 (Fr,Ar)",Décret,"décrets du n°2005-2152 au n°2005-2153 du 4 août 2005, portant création de périm.",2005-08-12,/PERIMETRE PUBLIC IRRIGUE/ /SAOUEF/ / ENNADHOUR/ /ZAGHOUAN/,http://www.onagri.tn/uploads/jortagri/5634.pdf,First Sheet
35,"JORT ,12 août 2005, V.148 (64) p.2069 (Fr,Ar)",Décret,"Décret n°2005-2154 du 4 août 2005, portant déclassement d'une parcelle de terrain du domaine public hydraulique au domaine privé de l'Etat.",2005-08-12,/DECLASSEMENT/ /TERRAIN/ /DOMAINE PUBLIC HYDRAULIQUE/ /DOMAINE PRIVE/,http://www.onagri.tn/uploads/jortagri/5635.pdf,First Sheet
36,"JORT , 2 août 2005, V.148 (61) p.1949 (Fr,Ar)",Décret,"Décret n°2005-2090 du 27 juillet 2005, portant changement de la vocation d'une parcelle de terre agricole et modification des limites des zones de sauvegarde des terres agricoles du gouvernorat de la Manouba.",2005-08-02,/CHANGEMENT DE VOCATION/ /PARCELLE DE TERRE AGRICOLE/ /ZONES DE SAUVEGARDE/ /MANNOUBA/,http://www.onagri.tn/uploads/jortagri/5622.pdf,First Sheet
37,"JORT, 2 août 2005, V.148 (61) p.1950 (Fr,Ar)",Décret,"Décret n°2005-2091 du 27 juillet 2005, portant changement de la vocation d'une parcelle de terre classée en autres zones agricoles du gouvernorat de l'Ariana.",2005-08-02,/CHANGEMENT DE LA VOCATION/ /PARCELLE DE TERRE/ /AUTRES ZONES AGRICOLES/ /ARIANA/,http://www.onagri.tn/uploads/jortagri/5623.pdf,First Sheet
38,"JORT , 2 août 2005, V.148 (61) p.1950 (Fr,Ar)",Décret,"Décret n°2005-2092 du 27 juillet 2005, portant changement de la vocation d'une parcelle de terre classée en zones de sauvegarde et en autres zones agricoles et modification des limites des zones  desauvegarde des terres agricoles du gouvernorat de l'Ariana.",2005-08-02,/CHANGEMENT DE LA VOCATION/ /ZONE DE SAUVEGARDE/ /AUTRES ZONES AGRICOLES/ /ARIANA/,http://www.onagri.tn/uploads/jortagri/5624.pdf,First Sheet
39,"JORT, 2 août 2005, V.148 (61) p.1951 (Fr,Ar)",Décret,"Décret n°2005-2093 du 27 juillet 2005, portant changement de la vocation de la parcelle de terre agricole et modification des limites des zones de sauvegarde des terres agricoles du gouvernorat de Sidi Bouzi.",2005-08-02,/CHANGEMENT DE LA  VOCATION/ /PARCELLE DE TERRE AGRICOLE/ /MODIFICATION DES LIMITES/ /ZONE DE SAUVEGARDE/ /SIDI BOUZID/,http://www.onagri.tn/uploads/jortagri/5625.pdf,First Sheet
40,"JORT, 2 août 2005, V.148 (61) p.1951 (Fr,Ar)",Décret,"Décret n°2005-2094 du 27 juillet 2005, portant création d'une unité de gestion par objectifs pour la réalisation du projet de développement agricole intégré de Joumine et Ghzala du gouvernorat de Bizerteet fixant son organisation et les modalités de son fonctionnement.",2005-08-02,/UNITE DE GESTION PAR OBJECTIFS/ / PROJET DE DEVELOPPEMENT AGRICOLE INTERGRE/ /JOUMINE/ /GHZALA/ /BIZERTE/,http://www.onagri.tn/uploads/jortagri/5626.pdf,First Sheet
41,"JORT , 2 août 2005, V.148 (61) p.1953 (Fr,Ar)",Décret,"Décret n°2005-2095 du 27 juillet 2005, portant création d'un périmètre public irrigué à Sidi M'barek de la délégation de Balta -Bouaouène, au gouvernorat de Jendouba.",2005-08-02,/PERIMETRE PUBLIC IRRIGUE/ /SIDI M'BAREK/ /BALTA-BOUAOUENE/ /JENDOUBA/,http://www.onagri.tn/uploads/jortagri/5627.pdf,First Sheet
42,"JORT , 2 août 2005, V.148 (61) p.1954 (Fr,Ar)",Décret,"Décret n°2005-2096 du 27 juillet 2005, portant création d'un périmètre public irrigué à Maizia de la délégation d'Oued M'liz, au gouvernorat de Jendouba.",2005-08-02,/PERIMETRE PUBLIC IRRIGUE/ /MAIZIA/ /OUED M'LIZ/ /JENDOUBA/,http://www.onagri.tn/uploads/jortagri/5628.pdf,First Sheet
43,"JORT, 2 août 2005, V.148 (61) p.1955 (Fr,Ar)",Décret,"Décret n°2005-2097 du 27 juillet 2005, portant création d'un périmètre public irrigué à Bou Gassa 4 de la délégation d'Oued M'liz, au gouvernorat de Jendouba.",2005-08-02,/PERIMETRE PUBLIC IRRIGUE/ /BOU GASSA 4/ /OUED M'LIZ/ /JENDOUBA/,http://www.onagri.tn/uploads/jortagri/5629.pdf,First Sheet
44,"JORT , 2 août 2005, V.148 (61) p.1955 (Fr,Ar)",Décret,"Décret n°2005-2098 du 27 juillet 2005, portant création d'un périmètre public irrigué à Satfoura de la délégation de Jendouba Nord, au gouvernorat de Jendouba.",2005-08-02,/PERIMETRE PUBLIC IRRIGUE/ /SATFOURA/ /JENDOUBA NORD/ /JENDOUBA/,http://www.onagri.tn/uploads/jortagri/5630.pdf,First Sheet
45,"JORT , 2 août 2005, V.148 (61) p.1956 (Fr,Ar)",Décret,"Décret n°2005-2099 du 27 juillet 2005, portant création d'un périmètre public irrigué à Oued Ellouch de la délégation de Balta-Bouaouène, au gouvernorat de Jendouba.",2005-08-02,/PERIMETRE PUBLIC IRRIGUE/ /OUED ELLOUCH/ /BALTA-BOUAOUENE/ /JENDOUBA/,http://www.onagri.tn/uploads/jortagri/5631.pdf,First Sheet
