titre_du_texte,lien,feuille
قانون عدد 24 لسنة 1999 مؤرخ في 9 مارس 1999 يتعلق بالمراقبة الصحية البيطرية عند التوريد و التصدير,http://www.onagri.nat.tn/uploads/jortagri/9678.pdf,Feuil1
أمر حكومي عدد 1269 لسنة 2016 مؤرخ في 14 نوفمبر 2016 يتعلق بتنقيح الأمر عدد 576 لسنة 2001 المؤرخ في 26 فيفري 2001 المتعلق بضبط قيمة المعلوم الخاص بعمليات المراقبة الصحية البيطرية عند التوريد والتصدير وطرق استخلاصه واستعماله.,http://www.onagri.nat.tn/uploads/jortagri/9676.pdf,Feuil1
"Décret gouvernemental n° 2018-846 du 11 octobre 2018, portant modification du décret n° 2001-576 du 26 février 2001, fixant le montant, les modalités de perception et d'utilisation de la contribution relative aux opérations de contrôle sanitaire vétérinaire à l'importation et à l'exportation.",http://www.onagri.nat.tn/uploads/jortagri/9677.pdf,Feuil1
