unnamed_0,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,feuille
النشاط حسب الولايات,,,,,,,,,,,,,,ت أ م
جندوبة وباجة,57952.0,56285.000000000015,0.0,0.0,77990.0,66399.99999999999,60030.0,61640.0,68450.0,76890.0,79085.99999999999,76214.0,680937.0,ت أ م
الكاف,1400.0,899.9999999999999,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,21500.0,24900.0,ت أ م
بنزرت,493.0,3130.0,0.0,0.0,1326.0,1719.0,0.0,86.0,416.0,219.0,3500.0,5662.0,16551.0,ت أ م
نابل,1698.0,5206.0,0.0,0.0,1568.0,3026.0,2081.0,2139.0,2504.0,3358.0,4145.0,4540.0,30265.0,ت أ م
بن عروس,0.0,802.0,0.0,0.0,1236.0,370.0,0.0,0.0,60.0,0.0,763.0,385.0,3616.0,ت أ م
سليانة,5575.0,14700.0,0.0,0.0,5430.0,8373.0,7351.0,6095.0,8352.0,8558.0,7124.0,7018.0,78576.0,ت أ م
زغوان,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,ت أ م
القيروان,6500.0,7000.0,0.0,0.0,5900.0,4400.0,5800.0,5600.0,5500.0,3000.0,2400.0,4400.0,50500.0,ت أ م
القصرين,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,1300.0,ت أ م
السدود والأودية,73618.0,88023.00000000001,0.0,0.0,94550.0,84287.99999999999,75262.0,75560.0,85282.0,92025.0,97018.0,127019.0,892645.0,ت أ م
صفاقس,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10685.0,10685.0,ت أ م
سيدي بوزيد,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8200.0,8200.0,ت أ م
قبلي,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,ت أ م
مدنين,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,ت أ م
توزر,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,3200.0,ت أ م
إنتاج سمك البلطي  (Tilapia),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26585.0,26585.0,ت أ م
تربية السبيرولين*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9272.0,9272.0,ت أ م
مجموع 1: مسطحات المياه العذبة,73618.0,88023.00000000001,0.0,0.0,94550.0,84287.99999999999,75262.0,75560.0,85282.0,92025.0,97018.0,162876.0,928502.0,ت أ م
تربية طحالب بحرية ببنزرت **,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3420.0,3420.0,ت أ م
ولاية بنزرت,142116.0,154771.00000000003,201540.00000000003,205107.0,175589.50000000003,93473.5,89258.5,130899.5,136722.5,203556.50000000003,182205.0,264294.0,1979533.0,ت أ م
ولاية نابل,102005.75982858206,213674.55300912983,113856.86305198434,93973.88279022073,107158.23909614452,121165.41062714324,76447.64430780697,91191.0,116405.0,119542.0,46469.62306689025,146305.024222098,1348195.0,ت أ م
ولاية سوسة,19765.77675142597,108197.81047633584,51028.0,294839.04835140187,84600.99614464922,198927.40529520836,235653.2249339973,255274.68075527615,383684.04571062326,156184.96395669287,161632.99550797688,136233.0515455183,2086021.9994291065,ت أ م
ولاية المنستير,968262.2929738878,834229.4607135796,1324131.6484612403,1675574.634848226,1495267.604548082,1157681.7987691944,1312936.6825751034,1408961.596626879,1458288.719847646,1469246.304594427,1126534.1207968877,1453394.1352448468,15684509.0,ت أ م
ولاية المهدية,229136.39723090583,182763.43605677967,73031.29970280704,326499.75068539387,120012.78996036988,188710.85951418232,170759.52080342782,464877.3633855989,308035.78273334855,171938.7434455818,169080.74178295117,109495.3146986533,2514342.0,ت أ م
مجموع تربية الأسماك البحرية,1461286.2267848016,1493636.260255825,1763587.811216032,2595994.3166752425,1982629.1297492457,1759958.9742057282,1885055.5726203355,2351204.140767754,2403136.048291618,2120468.511996702,1685922.481154706,2109721.5257111164,23612600.999429107,ت أ م
تربية القوقعيات ببنزرت,4640.0,5735.0,1125.0,112.0,21860.0,32697.0,14890.0,9167.0,1375.0,4326.0,5295.0,5925.0,107147.0,ت أ م
تسمين التن الأحمر ***,0.0,0.0,0.0,0.0,0.0,1318000.0,0.0,0.0,0.0,0.0,0.0,0.0,1318000.0,ت أ م
مجموع 2: انتاج تربية الأحياء البحرية,1465926.2267848016,1499371.260255825,1764712.811216032,2596106.3166752425,2004489.1297492457,3110655.974205728,1899945.5726203355,2360371.140767754,2404511.048291618,2124794.511996702,1691217.481154706,2119066.5257111164,25041167.999429107,ت أ م
المجموع العام,1539544.2267848016,1587394.260255825,1764712.811216032,2596106.3166752425,2099039.129749246,3194943.974205728,1975207.5726203355,2435931.140767754,2489793.048291618,2216819.511996702,1788235.481154706,2281942.5257111164,25969669.999429107,ت أ م
الانتاج بالكلغ,,,,,,,,,,,,,,ت أ م
ولايات نابل، المهدية، قابس، مدنين وسيدي بوزيد  *,,,,,,,,,,,,,,ت أ م
