annee,delegation,bovin_tete,ovin_tete,caprin_tete,camelin_tete,nombre_apiculteurs,nombre_ruches_modernes,nombre_ruches_traditionnels,nombre_poulaillers_doeuf_actifs,capacite_poullaillers_doeufs_actifs,nombre_poulaillers_de_viande_actifs,capacite_poulaillers_de_viande_actifs,nombre_poulalier_de_caille_a_viande,capacite_poulailler_de_caille_a_viande,nombre_unites_femelles_pour_les_batiments_delevage_cunicole_modernes,nombre_eleveurs_ayant_des_batiments_delevage_cunicole_modernes,nombre_unites_femelles_pour_les_batiments_delevage_cunicole_traditionnelles,nombre_des_eleveurs_ayant_des_batiments_delevage_cunicole_traditionnelles,production_de_viande_cunicole_tonne,feuille
2024,قفصة الشمالية,1900,39000,11500,130.0,38.0,1504.0,22.0,0.0,0.0,5.0,23600.0,1.0,30000.0,20.0,1.0,450.0,84.0,3.0,Feuil1
2024,سيدي عيش,2800,23000,5000,,40.0,180.0,97.0,,0.0,1.0,,0.0,0.0,0.0,0.0,300.0,40.0,4.0,Feuil1
2024,القصر,950,20000,2500,110.0,9.0,187.0,3.0,3.0,30000.0,2.0,960.0,1.0,20000.0,35.0,1.0,200.0,65.0,3.0,Feuil1
2024,قفصة الجنوبية,1800,25000,11500,260.0,16.0,189.0,0.0,4.0,66000.0,8.0,43800.0,0.0,0.0,50.0,2.0,550.0,77.0,2.0,Feuil1
2024,أم العرائس,450,18000,9000,105.0,0.0,0.0,0.0,,0.0,18.0,71690.0,0.0,0.0,,,350.0,110.0,2.0,Feuil1
2024,الرديف,320,12000,4500,35.0,1.0,14.0,0.0,,0.0,8.0,37600.0,0.0,0.0,,,200.0,68.0,1.0,Feuil1
2024,المتلوى,350,10000,6000,145.0,0.0,0.0,0.0,,0.0,15.0,36860.0,0.0,0.0,37.0,1.0,250.0,66.0,3.0,Feuil1
2024,المظيلة,150,20000,1000,250.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,50.0,4.0,Feuil1
2024,القطار,400,20000,13000,,1.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0,42.0,1.0,300.0,78.0,3.0,Feuil1
2024,بلخير,630,25000,16500,,14.0,295.0,12.0,,0.0,13.0,35800.0,0.0,0.0,,,350.0,76.0,2.0,Feuil1
2024,السند,800,8000,5000,,13.0,107.0,0.0,,0.0,49.0,229340.0,0.0,0.0,0.0,0.0,140.0,77.0,2.0,Feuil1
2024,زانوش,1000,20000,6000,95.0,6.0,100.0,,,,35.0,220000.0,,,,,60.0,30.0,1.0,Feuil1
2024,سيدي بوبكر,1300,10000,8500,70.0,,,,,,,,,,,,,,,Feuil1
2024,كامل الولاية,12850,250000,100000,1200.0,138.0,2588.0,134.0,7.0,96000.0,154.0,699650.0,2.0,50000.0,184.0,6.0,3350.0,821.0,30.0,Feuil1
