annee,gouvernorat,type_de_la_population,desserte_en_eau_milliers_dhabitants,feuille
2010,Tunis,Effectif-population-Communal,1001.152,Feuil1
2010,Tunis,Effectif-population-non- Communal,0.0,Feuil1
2010,Tunis,Population-Communal-desservie-par-sonede,1001.152,Feuil1
2010,Tunis,Population-non-Communal-desservie-par-sonede,0.0,Feuil1
2010,Tunis,Population-non-Communal-desservie-par-genie-rurale,0.0,Feuil1
2010,Ariana,Effectif-population-Communal,459.4559757806831,Feuil1
2010,Ariana,Effectif-population-non- Communal,46.8720242193169,Feuil1
2010,Ariana,Population-Communal-desservie-par-sonede,459.4559757806831,Feuil1
2010,Ariana,Population-non-Communal-desservie-par-sonede,44.75811644510837,Feuil1
2010,Ariana,Population-non-Communal-desservie-par-genie-rurale,1.8563169861110684,Feuil1
2010,Ben Arous,Effectif-population-Communal,528.1446092922599,Feuil1
2010,Ben Arous,Effectif-population-non- Communal,55.19939070774009,Feuil1
2010,Ben Arous,Population-Communal-desservie-par-sonede,528.1446092922599,Feuil1
2010,Ben Arous,Population-non-Communal-desservie-par-sonede,42.832077809618674,Feuil1
2010,Ben Arous,Population-non-Communal-desservie-par-genie-rurale,10.172115074023028,Feuil1
2010,Manouba,Effectif-population-Communal,275.0074019579727,Feuil1
2010,Manouba,Effectif-population-non- Communal,94.92059804202728,Feuil1
2010,Manouba,Population-Communal-desservie-par-sonede,275.0074019579727,Feuil1
2010,Manouba,Population-non-Communal-desservie-par-sonede,79.30380765971617,Feuil1
2010,Manouba,Population-non-Communal-desservie-par-genie-rurale,13.531774875832198,Feuil1
2010,Nabeul,Effectif-population-Communal,502.4323231484877,Feuil1
2010,Nabeul,Effectif-population-non- Communal,255.44567685151236,Feuil1
2010,Nabeul,Population-Communal-desservie-par-sonede,502.4323231484877,Feuil1
2010,Nabeul,Population-non-Communal-desservie-par-sonede,158.41447003162335,Feuil1
2010,Nabeul,Population-non-Communal-desservie-par-genie-rurale,93.6432427693268,Feuil1
2010,Zaghouan,Effectif-population-Communal,66.36869341919548,Feuil1
2010,Zaghouan,Effectif-population-non- Communal,104.95030658080452,Feuil1
2010,Zaghouan,Population-Communal-desservie-par-sonede,66.36869341919548,Feuil1
2010,Zaghouan,Population-non-Communal-desservie-par-sonede,49.41384695296283,Feuil1
2010,Zaghouan,Population-non-Communal-desservie-par-genie-rurale,49.95940907681194,Feuil1
2010,Bizerte,Effectif-population-Communal,340.6370103058578,Feuil1
2010,Bizerte,Effectif-population-non- Communal,208.68998969414216,Feuil1
2010,Bizerte,Population-Communal-desservie-par-sonede,340.6370103058578,Feuil1
2010,Bizerte,Population-non-Communal-desservie-par-sonede,78.50498157286468,Feuil1
2010,Bizerte,Population-non-Communal-desservie-par-genie-rurale,110.107319208693,Feuil1
2010,Beja,Effectif-population-Communal,126.05403417494529,Feuil1
2010,Beja,Effectif-population-non- Communal,179.6539658250547,Feuil1
2010,Beja,Population-Communal-desservie-par-sonede,126.05403417494529,Feuil1
2010,Beja,Population-non-Communal-desservie-par-sonede,71.35659689559209,Feuil1
2010,Beja,Population-non-Communal-desservie-par-genie-rurale,84.43603583377589,Feuil1
2010,Jendouba,Effectif-population-Communal,118.15736777781976,Feuil1
2010,Jendouba,Effectif-population-non- Communal,305.36963222218026,Feuil1
2010,Jendouba,Population-Communal-desservie-par-sonede,118.15736777781976,Feuil1
2010,Jendouba,Population-non-Communal-desservie-par-sonede,105.17206558035852,Feuil1
2010,Jendouba,Population-non-Communal-desservie-par-genie-rurale,160.70193171030883,Feuil1
2010,Le Kef,Effectif-population-Communal,129.87490220353413,Feuil1
2010,Le Kef,Effectif-population-non- Communal,126.31809779646586,Feuil1
2010,Le Kef,Population-Communal-desservie-par-sonede,129.87490220353413,Feuil1
2010,Le Kef,Population-non-Communal-desservie-par-sonede,34.87468991778346,Feuil1
2010,Le Kef,Population-non-Communal-desservie-par-genie-rurale,74.239361263265,Feuil1
2010,Siliana,Effectif-population-Communal,89.07252553963455,Feuil1
2010,Siliana,Effectif-population-non- Communal,144.89647446036545,Feuil1
2010,Siliana,Population-Communal-desservie-par-sonede,89.07252553963455,Feuil1
2010,Siliana,Population-non-Communal-desservie-par-sonede,47.960494846725815,Feuil1
2010,Siliana,Population-non-Communal-desservie-par-genie-rurale,75.9906205439472,Feuil1
2010,Kairouan,Effectif-population-Communal,187.53448655092532,Feuil1
2010,Kairouan,Effectif-population-non- Communal,374.6295134490746,Feuil1
2010,Kairouan,Population-Communal-desservie-par-sonede,187.53448655092532,Feuil1
2010,Kairouan,Population-non-Communal-desservie-par-sonede,157.27031581321296,Feuil1
2010,Kairouan,Population-non-Communal-desservie-par-genie-rurale,185.16426257525697,Feuil1
2010,Kasserine,Effectif-population-Communal,176.13042847756608,Feuil1
2010,Kasserine,Effectif-population-non- Communal,257.49457152243394,Feuil1
2010,Kasserine,Population-Communal-desservie-par-sonede,176.13042847756608,Feuil1
2010,Kasserine,Population-non-Communal-desservie-par-sonede,34.219598129763135,Feuil1
2010,Kasserine,Population-non-Communal-desservie-par-genie-rurale,210.3591444147614,Feuil1
2010,Sidi Bouzid,Effectif-population-Communal,105.30193695687548,Feuil1
