السنة,المعتمديـة,المساحة_بصل,الانتاج_بصل,المساحة_فول,الانتاج_فول,المساحة_جلبانة,الانتاج_جلبانة,المساحة_جزر,الانتاج_جزر,المساحة_لفت,الانتاج_لفت,المساحة_خضر_ورقية,الانتاج_خضر_ورقية,المساحة_قنارية,الانتاج_قنارية,المساحة_مختلفات,الانتاج_مختلفات,مجموع_المساحة,مجموع_الانتاج,feuille
2020,القيروان الشمالية,90,1800,10,80,0,0,5,150,10,150,35,420,5.0,30.0,0.0,0.0,155,2630,مساحة الخضر الشتوية
2020,القيروان الجنوبية,100,2000,120,960,90,270,60,1800,10,150,60,720,5.0,30.0,0.0,0.0,445,5930,مساحة الخضر الشتوية
2020,الشبيكة,100,2000,50,400,20,60,5,150,10,150,10,120,0.0,0.0,13.0,170.0,208,3050,مساحة الخضر الشتوية
2020,السبيخة,270,5400,560,4480,3200,9600,30,200,25,375,30,360,0.0,0.0,38.0,720.0,4153,21135,مساحة الخضر الشتوية
2020,حفوز,10,200,300,2400,10,30,10,300,20,300,5,60,0.0,0.0,6.0,100.0,361,3390,مساحة الخضر الشتوية
2020,حاجب العيون,100,2000,50,400,5,15,5,150,5,75,10,120,0.0,0.0,0.0,0.0,175,2760,مساحة الخضر الشتوية
2020,بوحجلة,40,800,50,400,30,90,200,6000,30,450,40,480,0.0,0.0,0.0,0.0,390,8220,مساحة الخضر الشتوية
2020,نصرالله,15,300,20,160,20,60,0,0,0,0,0,0,0.0,0.0,5.0,25.0,60,545,مساحة الخضر الشتوية
2020,الشراردة,15,300,20,160,5,15,5,150,5,75,5,60,0.0,0.0,0.0,0.0,55,760,مساحة الخضر الشتوية
2020,الوسلاتية,10,200,20,160,20,60,10,300,5,75,5,60,0.0,0.0,3.0,60.0,73,915,مساحة الخضر الشتوية
2020,العلا,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,مساحة الخضر الشتوية
2020,المجموع,750,15000,1200,9600,3400,10200,330,9200,120,1800,200,2400,10.0,60.0,65.0,1075.0,6075,49335,مساحة الخضر الشتوية
2021,القيروان الشمالية,220,4400,40,320,0,0,15,450,14,210,100,1200,3.0,18.0,3.0,45.0,395,6643,مساحة الخضر الشتوية
2021,القيروان الجنوبية,140,2800,90,720,80,240,55,1650,0,0,50,600,5.0,30.0,6.0,115.0,426,6155,مساحة الخضر الشتوية
2021,الشبيكة,210,4200,50,400,20,60,5,150,10,150,20,240,,,5.0,100.0,320,5300,مساحة الخضر الشتوية
2021,السبيخة,400,8000,630,5040,3600,10800,37,1110,25,375,85,1020,,,56.0,1120.0,4833,27465,مساحة الخضر الشتوية
2021,حفوز,45,900,320,2560,10,30,10,300,10,150,10,120,,,3.0,60.0,408,4120,مساحة الخضر الشتوية
2021,حاجب العيون,195,3900,50,400,5,15,5,150,5,75,10,120,,,,,270,4660,مساحة الخضر الشتوية
2021,بوحجلة,150,3000,40,320,30,90,200,6000,66,900,95,1140,,,4.0,75.0,585,11525,مساحة الخضر الشتوية
2021,نصرالله,40,800,25,200,20,60,3,90,0,0,5,60,,,,,93,1210,مساحة الخضر الشتوية
2021,الشراردة,30,600,25,200,5,15,10,300,10,150,5,60,,,,,85,1325,مساحة الخضر الشتوية
2021,الوسلاتية,10,200,30,240,30,90,10,300,5,75,15,180,,,3.0,60.0,103,1145,مساحة الخضر الشتوية
2021,العلا,10,200,0,0,0,0,0,0,5,75,5,60,,,,,20,335,مساحة الخضر الشتوية
2021,المجموع,1450,29000,1300,10400,3800,11400,350,10500,150,2250,200,4800,8.0,48.0,80.0,1575.0,7338,69973,مساحة الخضر الشتوية
2022,القيروان الشمالية,170,3400,12,108,0,0,6,180,3,45,85,1020,2.0,12.0,,,278,4765,مساحة الخضر الشتوية
2022,القيروان الجنوبية,200,4000,100,900,70,420,50,1500,6,90,80,960,4.0,24.0,5.0,100.0,515,7994,مساحة الخضر الشتوية
2022,الشبيكة,220,4400,110,990,50,300,5,150,20,300,15,180,,,8.0,145.0,428,6465,مساحة الخضر الشتوية
2022,السبيخة,393,7860,425,3825,3600,21600,30,900,22,330,120,1440,2.0,12.0,45.0,900.0,4637,36867,مساحة الخضر الشتوية
2022,حفوز,57,1140,350,3150,40,240,10,300,10,150,7,84,,,7.0,130.0,481,5194,مساحة الخضر الشتوية
2022,حاجب العيون,160,3200,100,900,4,24,5,150,3,45,30,360,,,,,302,4679,مساحة الخضر الشتوية
2022,بوحجلة,140,2800,50,450,60,360,150,4500,80,1200,118,1416,,,10.0,200.0,608,10926,مساحة الخضر الشتوية
2022,نصرالله,20,400,15,135,10,60,5,150,0,0,2,24,,,,,52,769,مساحة الخضر الشتوية
2022,الشراردة,40,800,60,540,0,0,30,900,25,375,21,252,,,,,176,2867,مساحة الخضر الشتوية
2022,الوسلاتية,15,300,18,162,15,90,1,30,6,90,7,84,,,,,62,756,مساحة الخضر الشتوية
2022,العلا,5,100,5,45,6,36,8,240,10,150,15,180,,,,,49,751,مساحة الخضر الشتوية
2022,المجموع,1420,28400,1245,11205,3855,23130,300,9000,185,2775,500,6000,8.0,48.0,75.0,1475.0,7588,82033,مساحة الخضر الشتوية
