nom_ar,adresse_ar,telephone,feuille
"حسن ابن الحاج سلامة "" حديقة الوردة """,74 شارع الجمهورية – أكودة - سوسة,21621965,Feuil1
"فرج القندوز  "" مؤسسات القندوز للبستنة """,الفقاعية – شط مريم – أكودة – سوسة,73248349,Feuil1
"لطفي يوسف  "" منبت مساكن """,الطريق الرئيسية رقم 1 مساكن – سوسة,22436136,Feuil1
رشدي حسن,شارع الجمهورية – أكودة - سوسة,96063315,Feuil1
"المولدى حسن ""منبت صدقي """,شارع الجمهورية – أكودة - سوسة,98569890/73357790,Feuil1
"شكري خماري "" جنان الساحل""",شارع جلول بن شريفة خزامة الغربية - سوسة,73278698/97449903,Feuil1
شركة منتزه سيدي عياش  - محمد الحبيب عياش -,حي الشراقي – القلعة الصغرى – سوسة,98402614/24929292,Feuil1
مراد بن مسعودة,شط مريم – أكودة - سوسة,73360184/22875447,Feuil1
رمزي ابن جازية,شارع 7 نوفمبر – خزامة الشرقية - سوسة,97455099,Feuil1
شركة تقنيات الحدائق  محمد العجمي,شط مريم – طريق هرقلة – أكودة - سوسة,98240931/73289971,Feuil1
"عامر بن بلقاسم صميدة  ""شركة تزويق الحدائق""",منطقة سيدي مطير-بوفيشة,98226390,Feuil1
مفتاح النفزاوي,حي الرياض - سوسة,97325600,Feuil1
بوضياف القراوي,سيدي بوعلي,98276744,Feuil1
صالح بن علي معتوق,أولاد عامر- كندار,53237597,Feuil1
يوسف الملحق,الطريق الحزامية – حمام سوسة,22913741,Feuil1
"""شركة الحديقة الخضراء ""  علاء الدين بالطيب",الطريق الوطنية-1- النقطة الكيلومترية 125(القلعة الكبرى),22757712/98453671,Feuil1
""" فن الحديقة "" خميس بوكر",الطريق السياحية- شط مريم – أكودة - سوسة,98257365/73251103,Feuil1
شركة flower garden,جوهرة- سوسة,29274100,Feuil1
"إبراهيم بوزيان""جنان آية""",سيدي بوعلي,58132010,Feuil1
هشام بن حسين بن الحاج خليفة صالح,الكنايس,24787879,Feuil1
غسان الزواري,القلعة الكبرى,52692607,Feuil1
