annee,source,volume_produit_million_m3,feuille
2007,Eaux Traitées-Fernana,26.72541,Feuil1
2007,Eaux Traitées-GEC,113.5,Feuil1
2007,Eaux Traitées-Belli,86.329831,Feuil1
2007,Eaux Traitées-Mateur,14.32141,Feuil1
2007,Eaux Traitées-Sidi Ejdidi,12.663951,Feuil1
2007,Eaux Traitées-Oued El Kébir,1.474225,Feuil1
2007,Eaux Traitées-HarKousia,0.214557,Feuil1
2007,Eaux Traitées-Ain Drahem,0.688125,Feuil1
2007,Eaux Traitées-Zahret Median,0.620343,Feuil1
2007,Eaux Traitées-Ezzouhour,0.654086,Feuil1
2007,Eaux Traitées-Lebna,0.0,Feuil1
2007,Eaux Traitées-Znatir,0.0,Feuil1
2007,Eaux souterraines-Mateur,3.991032,Feuil1
2007,Eaux souterraines-Faouara,2.553369,Feuil1
2007,Eaux souterraines-Zaghouan et Bargou,11.488809,Feuil1
2007,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,1.504526,Feuil1
2007,Eaux souterraines-Kairouanais,24.29654,Feuil1
2007,Eaux souterraines-Sbeitla-Jelma,28.578911,Feuil1
2007,Eaux souterraines-Sud Tunisien,22.892492,Feuil1
2007,Eaux souterraines-Gabes,14.145099000000002,Feuil1
2007,Eaux souterraines-Régies autonomes,68.596,Feuil1
2007,Eaux dessalées-Gabes,7.3450489999999995,Feuil1
2007,Eaux dessalées-Kerkenah,1.125,Feuil1
2007,Eaux dessalées-Jerba,5.473629,Feuil1
2007,Eaux dessalées-Zarzis,4.228143,Feuil1
2007,Eaux dessalées-Autres,0.0,Feuil1
2007,Eaux déferinisées- Sfax,0.0,Feuil1
2008,Eaux Traitées-Fernana,23.7,Feuil1
2008,Eaux Traitées-GEC,128.0,Feuil1
2008,Eaux Traitées-Belli,90.2,Feuil1
2008,Eaux Traitées-Mateur,15.9,Feuil1
2008,Eaux Traitées-Sidi Ejdidi,13.8,Feuil1
2008,Eaux Traitées-Oued El Kébir,0.7,Feuil1
