delegation,secteur,nom_du_gdap,date_de_la_constitution_du_gdap,zone_d_intervention,superficie_dintervention_ha,date_du_dernier_conseil_dentreprise,nombre_des_adherents,nature_d_intervention_du_gdap,feuille
سجنان,سجنان,التحدي,2013-01-10,مقرة-الحكارة-الحميل-الشرقية-الموالدية-الزازة,6271,جانفي 2017,186.0,حماية في الموارد الطبيعية      و ترشيد استعمالها,GDA DR SEJNENE
سجنان,سجنان,النحالين,2016-01-05,معتمدية سجنان,6271,جانفي 2016,48.0,تطوير منظومة تربية النحل        و انتاج العسل,GDA DR SEJNENE
سجنان,سجنان,انتاج و استغلال النباتات العطرية,2017-10-16,معتمدية سجنان,6271,اكتوبر 2017,28.0,انتاج و استغلال النباتات العطرية,GDA DR SEJNENE
سجنان,سجنان,حرار سجنان,2019-04-19,معتمدية سجنان,6271,افريل 2019,18.0,التصرف في الموارد الطبيعية      و ترشيد استعمالها+التقطير,GDA DR SEJNENE
سجنان,سجنان,الشوشة,2019-04-04,الشوشة,6271,افريل 2019,,حماية في الموارد الطبيعية             و ترشيد استعمالها,GDA DR SEJNENE
سجنان,سيدي مشرق,سيدي مشرق,2013-05-07,سيدي مشرق,9126,2018,90.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
سجنان,سيدي مشرق,الزياتين,2018-07-27,راس سراط,9126,,25.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
سجنان,المعالية,المستقبل,2008-03-05,الكشريدة-المويلحة-بوجبلة-السميرة-مساكن,6513,,55.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
سجنان,المعالية,الطموح,2013-03-19,المعالية1,6513,,150.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
سجنان,المعالية,الكرامة,,الصخيرة,6513,,,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
سجنان,امادن,الازدهار1,2014-07-24,دوار لغرابة,15805,2015,45.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
سجنان,امادن,الرقي,2008-07-20,الغيران-زيليا-البسابيس-البراكة-رياح-لوكة-اولاد احمد-المخيش-كاف عباد,15805,2015,270.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
سجنان,امادن,واد الزان,2015-06-03,اولاد يونس-العرايبية-المعايزية-المناجلية-الحلايدية-المناصرية-البراهمية-راس العرقوب,15805,2015,68.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
سجنان,المشارقة,الحداثة,2015-09-09,العين السودة,3980,2018,,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
سجنان,المشارقة,الفوز,2015-09-21,بوعواج,3980,2018,,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
سجنان,المشارقة,الوفاء,2015-12-22,المشارقة,3980,2017,50.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
سجنان,السحابنة,الفردوس,2016-01-20,السحابنة,6510,2019,296.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
سجنان,السحابنة,الابقار الحلوب,2016-12-26,معتمدية سجنان,6510,2018,32.0,تطوير منظومة تربية الابقار الحلوب,GDA DR SEJNENE
سجنان,الحشاشنة,ام الخير,2014-01-22,الحرايزية+ام جنيب,7457,2017,53.0,تطوير منظومة تربية الابقار الحلوب,GDA DR SEJNENE
سجنان,الحشاشنة,الحشاشنة,,سقمان+عيشوش,7457,2016,53.0,تطوير منظومة تربية الابقار الحلوب,GDA DR SEJNENE
سجنان,الحشاشنة,الانفتاح,2013-04-22,الدحرة,7457,2016,39.0,تطوير منظومة تربية الابقار الحلوب,GDA DR SEJNENE
سجنان,العبابسة,النهوض,2013-02-26,العبابسة1,4380,2017,53.0,تطوير منظومة تربية الابقار الحلوب,GDA DR SEJNENE
سجنان,العبابسة,الوفاق,2013-02-22,العبابسة2,4380,,108.0,تطوير منظومة تربية الابقار الحلوب,GDA DR SEJNENE
جومين,الشنانة,التحدي,2002-01-25,كامل عمادة الشنانة,2332,2015,85.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
جومين,اولاد غانم,الرحمة,2010-04-26,كامل عمادة اولاد غانم,6765,2016,65.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
جومين,رواحة,النور,2014-05-14,كامل عمادة رواحة,4000,,132.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
جومين,الطواجنية,النجاح,2014-05-21,كامل عمادة الطواجنية,4700,2016,112.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
جومين,الطواجنية,الوفاق,2014-05-29,معتمدية جومين,4700,,69.0,تطوير منظومة تربية النحل           و انتاج العسل,GDA DR SEJNENE
جومين,بازينة,الازدهار,2014-10-14,كامل العمادة,3500,,58.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
غزالة,العرب,البركة,2011-02-26,كامل العمادة,5855,,49.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
غزالة,اولاد المي,الفتح,2011-02-22,كامل العمادة,8966,,98.0,حماية في الموارد الطبيعية            و ترشيد استعمالها,GDA DR SEJNENE
