اسم_المجمع,المعتمدية,العمادة,المقر_الهاتف,عدد_المنخرطين,الفنيين,الاعوان,منطقة_التدخل,نشاط_الهيكل_المهني_القاعدي,ملاحظات,ملاحظات_1,feuille
""" الكرامة "" بماجورة",السند/ ماجورة,ماجورة,,42,0,0,منطقة ماجورة,مراعي,تمتع بمقرر لإسناد منحة المساهمة في تغطية تكاليف المراقبة والتصديق على المنتوج البيولوجي عدد 2014/06 بتاريخ 2014/09/04,غير ناشط لصعوبات مالية,المجامع (الغير مائية)
""" الإمتياز "" بعليم",السند/ عليم,عليم,,46,0,0,منطقة عليم,أشجار مثمرة (زياتين + لوز + فستق),تمتع بمنحة المساهمة في تغطية تكاليف المراقبة والتصديق على المنتوج البيولوجي بتاريخ 2013/11/11,غير ناشط لصعوبات مالية,المجامع (الغير مائية)
""" الرحمة "" باطن أولاد منصور",بلخير,باطن أولاد منصور,,11,0,0,منطقة أولاد منصور,زياتين,,غير ناشط لصعوبات مالية,المجامع (الغير مائية)
""" سقدود 2 """,الرديف,سقدود,,62,0,0,معتمديتي الرديف و المتلوي,إنتاج التمور,تمتعت بمنحة المساهمة في تغطية تكاليف المراقبة والتصديق على المنتوج البيولوجي,غير ناشط,المجامع (الغير مائية)
""" النجاح "" بسقدود 4",الرديف,سقدود 04,,74,0,0,معتمديتي الرديف و المتلوي,إنتاج التمور,تمتعت بمنحة المساهمة في تغطية تكاليف المراقبة والتصديق على المنتوج البيولوجي 2015/07/29,ناشط و لكن عدم توفر المعلومة,المجامع (الغير مائية)
""" عرباطة """,السند,السند,22603989.0,40,15,1,معتمدية السند,إنتاج زيتون بيولوجي + المستسمد البيولوجي + النباتات الطبية و العطرية,لم يتحصل على المصادقة البيولوجية بعد للمنتوج على مساحة 30 هك,ناشط (15 إطار فني متطوع : 05 إناث و 10 ذكور),المجامع (الغير مائية)
""" الزيتونة """,السند,السند,97896128.0,160,1,0,ولاية قفصة,الزيتون البيولوجي,لم يتحصل على المصادقة البيولوجية بعد للمنتوج على مساحة 30 هك,ناشط,المجامع (الغير مائية)
أم الخير,قفصة الشمالية,قطيس,21193676.0,73,0,0,معتمدية قفصة الشمالية,أشجار مثمرة (زياتين + لوز + فستق),,ناشط,المجامع (الغير مائية)
الزيت و الزيتونة,سيدي عيش,سيدي عيش,29780563.0,52,0,0,معتمدية سيدي عيش,زياتين,,غير ناشط,المجامع (الغير مائية)
النور,قفصة الجنوبية,قفصة الجنوبية,95954050.0,21,1,3,معتمدية قفصة الجنوبية,أعشاب طبية و عطرية + أشجار مثمرة,إحداث جديد,مرحلة التأسيس,المجامع (الغير مائية)
عارم زهرة العلندة,قفصة الجنوبية,زهرة العلندة,41655988.0,30,1,1,معتمدية قفصة الجنوبية,تربية دجاج الضيعة,إحداث جديد,مرحلة التأسيس,المجامع (الغير مائية)
النهوض بالمرأة الفلاحة بالسند,السند,السند,99218354.0,20,0,0,معتمدية السند,أعشاب طبية و عطرية,إحداث جديد,مرحلة التأسيس,المجامع (الغير مائية)
الوفاء,قفصة الشمالية,الرحيبة الشمالية,50121068.0,9,0,0,قفصة الشمالية,تربية الأبقار,إحداث جديد,مرحلة التأسيس,المجامع (الغير مائية)
البركة,القطار,أولاد بوسعد,93571894.0,19,0,0,أولاد بوسعد,زياتين + أعشاب طبية و عطرية,,إعادة النشاط,المجامع (الغير مائية)
البركة للمرأة الريفية,قفصة الشمالية,الفج,96289631.0,6,0,0,الفج / قفصة الشمالية,أشجار مثمرة (زياتين + لوز + فستق),إحداث جديد,مرحلة التأسيس,المجامع (الغير مائية)
فاعلات,القطار,القطار,25262876.0,15,0,0,الفج / قفصة الشمالية,نباتات طبية و عطرية (الإنتاج الفلاحي التقليدي),إحداث جديد,مرحلة التأسيس,المجامع (الغير مائية)
سقراط للحرفيات,بلخير,أولاد منصور,21310596.0,34,0,0,أولاد منصور,الإنتاج الفلاحي التقليدي,إحداث جديد,مرحلة التأسيس,المجامع (الغير مائية)
