المعتمدية,العمادة,المقر_الهاتف,عدد_المنخرطين,الفنيين,الاعوان,منطقة_التدخل,نشاط_الهيكل_المهني_القاعدي,feuille
السند,السند,*,25,0,0,معتمدية السند,(غير ناشطة) خدمات فلاحية + بيع الأعلاف,Feuil1
القصر,أولاد شريط,*,52,0,0,معتمدية القصر,(غير ناشطة) خدمات فلاحية + بيع الأعلاف,Feuil1
السند,القوسة,*,109,0,0,معتمدية السند,(غير ناشطة) تربية دجاج اللحم + بيع الأعلاف   (تم سحب رخصة بيع الأعلاف ضمن اللجنة الجهوية لمتابعة مادة السداري بتاريخ 08/11/2018 نتيجة حل الشركة و تنصيب هيئة إدارية وقتية),Feuil1
قفصة الجنوبية,العلندة,*,17,0,0,معتمدية قفصة الجنوبية,(غير ناشطة)  تربية الأرانب,Feuil1
السند,السند,*,7,0,0,معتمدية السند,(غير ناشطة)  خدمات فلاحية + تجميع الحليب,Feuil1
قفصة الشمالية,الفج,*,19,0,0,معتمدية قفصة الشمالية,(تم حلها)  (خدمات فلاحية + تجميع الحليب),Feuil1
القصر,القصر,*,20,0,0,معتمدية القصر,(غير ناشطة) خدمات فلاحية + بيع الأعلاف,Feuil1
قفصة الشمالية,قطيس,*,7,0,0,معتمدية قفصة الشمالية,(غير ناشطة) خدمات فلاحية,Feuil1
القطار,القطار,*,30,0,0,معتمدية القطار,(غير ناشطة) خدمات فلاحية + بيع الأعلاف,Feuil1
سيدي عيش,منزل قمودي,*,20,0,0,معتمدية سيدي عيش,(غير ناشطة) خدمات فلاحية + بيع الأعلاف,Feuil1
قفصة الشمالية,أولاد دلال,*,50,0,0,معتمدية قفصة الشمالية,(غير ناشطة) خدمات فلاحية,Feuil1
سيدي عيش,سيدي عيش,97791318,15,0,0,معتمدية سيدي عيش,(تم عقد جلسة عامة خارقة للعادة لتدارس الصعوبات التي تمر بها الشركة بتاريخ و تم الإتفاق على إستئناف النشاط + ثم تم تحديد جلسة عامة إنتخابية بتاريخ 2020/10/02):  صنع الأجبان,Feuil1
قفصة الشمالية,الرحيبة,97300435,67,0,2,معتمدية قفصة الشمالية,ناشطة  خدمات فلاحية,Feuil1
قفصة الشمالية,الرحيبة,97242611,9,0,0,معتمدية قفصة الشمالية,ناشطة  خدمات فلاحية,Feuil1
السند,عليم,98923532,18,0,2,معتمدية السند,ناشطة  تربية الدواجن,Feuil1
