annee,ctv,type_de_la_thematique,theme,nombre_jours_dinformation,nombre_seances_application,nombre_beneficiaires_intervention_sur_champs,nombre_beneficiaires_parcelle_pilote,feuille
2024.0,خلية الإرشاد الفلاحي بعقارب,مواضيع ذات أولوية,الأشجار المثمرة,0.0,6.0,173.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بعقارب,مواضيع ذات أولوية,الخضروات,1.0,4.0,214.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بعقارب,مواضيع ذات أولوية,الزراعات الكبرى (حبوب - بقول جافة),4.0,1.0,50.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بعقارب,مواضيع ذات أولوية,تربية الماشية (أغنام، حيوانات مرفقة),6.0,0.0,0.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بعقارب,مواضيع ذات أولوية,المراعي والغابات,1.0,0.0,0.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بعقارب,مواضيع ذات أولوية,هياكل الدعم,1.0,0.0,32.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بعقارب,الحملات المكثفة,تنمية قطاع الزياتين,4.0,2.0,82.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بعقارب,الحملات المكثفة,الفلاحة البيولوجية,1.0,0.0,31.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بعقارب,الحملات المكثفة,تحسين التقنيات الزراعية تحت البيوت الحامية,0.0,1.0,226.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بعقارب,الحملات المكثفة,تنمية اللحوم والألبان,0.0,0.0,122.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بعقارب,الحملات المكثفة,الهندسة ريفية (مناطق سقوية - الاقتصاد في الري - ميكنة),0.0,0.0,184.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بعقارب,الحملات المكثفة,الزراعات العلفية,0.0,0.0,80.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي ببئرعلي,مواضيع ذات أولوية,الأشجار المثمرة,0.0,0.0,30.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي ببئرعلي,مواضيع ذات أولوية,الزراعات الكبرى (حبوب - بقول جافة),0.0,0.0,40.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي ببئرعلي,مواضيع ذات أولوية,الزراعات الكبرى,0.0,0.0,22.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي ببئرعلي,مواضيع ذات أولوية,تربية الماشية (أغنام، حيوانات مرفقة),0.0,0.0,15.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي ببئرعلي,مواضيع ذات أولوية,المراعي والغابات,0.0,0.0,25.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي ببئرعلي,مواضيع ذات أولوية,هياكل الدعم,0.0,0.0,0.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي ببئرعلي,الحملات المكثفة,تنمية قطاع الزياتين,0.0,0.0,100.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي ببئرعلي,الحملات المكثفة,الفلاحة البيولوجية,0.0,0.0,0.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي ببئرعلي,الحملات المكثفة,تحسين التقنيات الزراعية تحت البيوت الحامية,0.0,0.0,194.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي ببئرعلي,الحملات المكثفة,تنمية اللحوم والألبان,0.0,0.0,25.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي ببئرعلي,الحملات المكثفة,الهندسة ريفية (مناطق سقوية - الاقتصاد في الري - ميكنة),0.0,0.0,25.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي ببئرعلي,الحملات المكثفة,الزراعات العلفية,0.0,0.0,0.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بجبنيانة,مواضيع ذات أولوية,الأشجار المثمرة,0.0,0.0,67.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بجبنيانة,مواضيع ذات أولوية,الخضروات,0.0,0.0,90.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بجبنيانة,مواضيع ذات أولوية,الزراعات الكبرى (حبوب - بقول جافة),1.0,0.0,23.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بجبنيانة,مواضيع ذات أولوية,تربية الماشية (أغنام، حيوانات مرفقة),0.0,0.0,0.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بجبنيانة,مواضيع ذات أولوية,المراعي والغابات,0.0,0.0,14.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بجبنيانة,مواضيع ذات أولوية,هياكل الدعم,0.0,0.0,31.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بجبنيانة,الحملات المكثفة,تنمية قطاع الزياتين (الشويكة الصفراء),1.0,0.0,80.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بجبنيانة,الحملات المكثفة,الفلاحة البيولوجية,1.0,0.0,31.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بجبنيانة,الحملات المكثفة,تحسين التقنيات الزراعية تحت البيوت الحامية,0.0,0.0,111.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بجبنيانة,الحملات المكثفة,تنمية اللحوم والألبان,0.0,0.0,29.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بجبنيانة,الحملات المكثفة,الهندسة ريفية (مناطق سقوية - الاقتصاد في الري - ميكنة),0.0,0.0,56.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بجبنيانة,الحملات المكثفة,الزراعات العلفية,0.0,0.0,17.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بالحنشة,مواضيع ذات أولوية,الأشجار المثمرة,0.0,0.0,23.0,0.0,Feuil1
2024.0,خلية الإرشاد الفلاحي بالحنشة,مواضيع ذات أولوية,الخضروات,1.0,1.0,234.0,0.0,Feuil1
