campagne_agricole,categorie,nombre,feuille
2021/2022,أبقار محلية وشركية,6802 têtes,Feuil1
2021/2022,أبقار مؤصلة,4621 têtes,Feuil1
2021/2022,أغنام,328490 têtes,Feuil1
2021/2022,ماعز,40451 têtes,Feuil1
2021/2022,أجباح نحل تربية عصرية,7117 unités,Feuil1
2021/2022,أجباح نحل تربية تقليدية,695 unités,Feuil1
2021/2022,دجاج البيض,02 unités,Feuil1
2021/2022,دجاج اللحم,03 unités,Feuil1
