gouvernorat,nombre_des_adherants_en_2020,femelles_productives,feuille
Jendouba,10,123,Feuil1
Bizerte,24,637,Feuil1
Kef,132,4149,Feuil1
Siliana,22,1265,Feuil1
Total,188,6174,Feuil1
