annee,delegation,nombre_de_ports,feuille
2022,مدنين الجنوبية,بوغرارة,Feuil1
2022,سيدي مخلوف,القرين,Feuil1
2022,آجيم,آجيم,Feuil1
2022,حومة السوق,حومة السوق,Feuil1
2022,ميدون,,Feuil1
2022,جرجيس,جرجيس + حسي جلابة,Feuil1
2022,مدنين الشمالية,0,Feuil1
2022,بنقردان,بنقردان,Feuil1
2022,كامل الولاية,7,Feuil1
2023,مدنين الجنوبية,بوغرارة,Feuil1
2023,سيدي مخلوف,القرين,Feuil1
2023,آجيم,آجيم,Feuil1
2023,حومة السوق,حومة السوق,Feuil1
2023,ميدون,,Feuil1
2023,جرجيس,جرجيس + حسي جلابة,Feuil1
2023,مدنين الشمالية,0,Feuil1
2023,بنقردان,بنقردان,Feuil1
2023,كامل الولاية,7,Feuil1
2024,مدنين الجنوبية,بوغرارة,Feuil1
2024,سيدي مخلوف,القرين,Feuil1
2024,آجيم,آجيم,Feuil1
2024,حومة السوق,حومة السوق,Feuil1
2024,ميدون,,Feuil1
2024,جرجيس,جرجيس + حسي جلابة,Feuil1
2024,مدنين الشمالية,0,Feuil1
2024,بنقردان,بنقردان,Feuil1
2024,كامل الولاية,7,Feuil1
