date,gouvernorat,superficie_ha,feuille
1994,Tunis,1630.0,evolution_des_superficies_olive
1994,Ariana,13080.0,evolution_des_superficies_olive
1994,Benarous,4500.0,evolution_des_superficies_olive
1994,Nabeul,22900.0,evolution_des_superficies_olive
1994,Bizerte,9200.0,evolution_des_superficies_olive
1994,Bejaja,16870.0,evolution_des_superficies_olive
1994,Jendouba,11280.0,evolution_des_superficies_olive
1994,Kef,22890.0,evolution_des_superficies_olive
1994,Siliana,37500.0,evolution_des_superficies_olive
1994,Zaghouan,33000.0,evolution_des_superficies_olive
1994,Sousse,79770.0,evolution_des_superficies_olive
1994,Monastir,58500.0,evolution_des_superficies_olive
1994,Mahdia,150000.0,evolution_des_superficies_olive
1994,Sfax,313000.0,evolution_des_superficies_olive
1994,Kairouan,163770.0,evolution_des_superficies_olive
1994,Kasserine,48800.0,evolution_des_superficies_olive
1994,Sidibouzid,193000.0,evolution_des_superficies_olive
1994,Gafsa,43400.0,evolution_des_superficies_olive
1994,Gabess,48260.0,evolution_des_superficies_olive
1994,Medenine,162000.0,evolution_des_superficies_olive
1994,Tatouine,21500.0,evolution_des_superficies_olive
1996,Tunis,1540.0,evolution_des_superficies_olive
1996,Ariana,13100.0,evolution_des_superficies_olive
1996,Benarous,4500.0,evolution_des_superficies_olive
1996,Nabeul,22000.0,evolution_des_superficies_olive
1996,Bizerte,9480.0,evolution_des_superficies_olive
1996,Bejaja,17400.0,evolution_des_superficies_olive
1996,Jendouba,11360.0,evolution_des_superficies_olive
1996,Kef,23300.0,evolution_des_superficies_olive
1996,Siliana,38100.0,evolution_des_superficies_olive
1996,Zaghouan,32700.0,evolution_des_superficies_olive
1996,Sousse,70700.0,evolution_des_superficies_olive
1996,Monastir,58400.0,evolution_des_superficies_olive
1996,Mahdia,128850.0,evolution_des_superficies_olive
1996,Sfax,282000.0,evolution_des_superficies_olive
1996,Kairouan,115300.0,evolution_des_superficies_olive
1996,Kasserine,51980.0,evolution_des_superficies_olive
1996,Sidibouzid,213630.0,evolution_des_superficies_olive
1996,Gafsa,35810.0,evolution_des_superficies_olive
1996,Gabes,28000.0,evolution_des_superficies_olive
1996,Medenine,163000.0,evolution_des_superficies_olive
1996,Kebilibili,400.0,evolution_des_superficies_olive
1996,Tatouine,12190.0,evolution_des_superficies_olive
1997,Tunis,1590.0,evolution_des_superficies_olive
1997,Ariana,13100.0,evolution_des_superficies_olive
1997,Benarous,4400.0,evolution_des_superficies_olive
1997,Nabeul,22000.0,evolution_des_superficies_olive
1997,Bizerte,9890.0,evolution_des_superficies_olive
1997,Bejaja,17800.0,evolution_des_superficies_olive
1997,Jendouba,13170.0,evolution_des_superficies_olive
1997,Kef,23500.0,evolution_des_superficies_olive
1997,Siliana,39600.0,evolution_des_superficies_olive
1997,Zaghouan,33000.0,evolution_des_superficies_olive
1997,Sousse,73700.0,evolution_des_superficies_olive
1997,Monastir,58400.0,evolution_des_superficies_olive
1997,Mahdia,129250.0,evolution_des_superficies_olive
1997,Sfax,282000.0,evolution_des_superficies_olive
1997,Kairouan,146610.0,evolution_des_superficies_olive
1997,Kasserine,47740.0,evolution_des_superficies_olive
1997,Sidibouzid,158700.0,evolution_des_superficies_olive
1997,Gafsa,37200.0,evolution_des_superficies_olive
1997,Gabes,41500.0,evolution_des_superficies_olive
1997,Medenine,164020.0,evolution_des_superficies_olive
1997,Kebili,610.0,evolution_des_superficies_olive
1997,Tatouine,13550.0,evolution_des_superficies_olive
1998,Tunis,1590.0,evolution_des_superficies_olive
1998,Ariana,13350.0,evolution_des_superficies_olive
1998,Benarous,4440.0,evolution_des_superficies_olive
1998,Nabeul,22300.0,evolution_des_superficies_olive
1998,Bizerte,9260.0,evolution_des_superficies_olive
1998,Beja,18080.0,evolution_des_superficies_olive
1998,Jendouba,13170.0,evolution_des_superficies_olive
1998,Kef,24000.0,evolution_des_superficies_olive
1998,Siliana,40000.0,evolution_des_superficies_olive
1998,Zaghouan,33910.0,evolution_des_superficies_olive
1998,Sousse,73000.0,evolution_des_superficies_olive
1998,Monastir,58800.0,evolution_des_superficies_olive
1998,Mahdia,130000.0,evolution_des_superficies_olive
1998,Sfax,309780.0,evolution_des_superficies_olive
1998,Kairouan,145530.0,evolution_des_superficies_olive
1998,Kasserine,48000.0,evolution_des_superficies_olive
1998,Sidibouzid,158700.0,evolution_des_superficies_olive
1998,Gafsa,38180.0,evolution_des_superficies_olive
1998,Gabès,42000.0,evolution_des_superficies_olive
1998,Medenine,165130.0,evolution_des_superficies_olive
1998,Tatouine,12370.0,evolution_des_superficies_olive
1999,Tunis,1590.0,evolution_des_superficies_olive
1999,Ariana,13400.0,evolution_des_superficies_olive
1999,Benarous,4440.0,evolution_des_superficies_olive
1999,Nabeul,22300.0,evolution_des_superficies_olive
1999,Bizerte,9540.0,evolution_des_superficies_olive
1999,Béja,18430.0,evolution_des_superficies_olive
1999,Jendouba,14220.0,evolution_des_superficies_olive
1999,Kef,24380.0,evolution_des_superficies_olive
1999,Siliana,40000.0,evolution_des_superficies_olive
1999,Zaghouan,33550.0,evolution_des_superficies_olive
1999,Sousse,75000.0,evolution_des_superficies_olive
1999,Monastir,59010.0,evolution_des_superficies_olive
1999,Mahdia,129670.0,evolution_des_superficies_olive
1999,Sfax,295300.0,evolution_des_superficies_olive
1999,Kairouan,144910.0,evolution_des_superficies_olive
1999,Kasserine,48050.0,evolution_des_superficies_olive
1999,Sidibouzid,158720.0,evolution_des_superficies_olive
1999,Gafsa,38200.0,evolution_des_superficies_olive
1999,Gabes,42000.0,evolution_des_superficies_olive
1999,Medenine,166240.0,evolution_des_superficies_olive
1999,Tatouine,25600.0,evolution_des_superficies_olive
2000,Tunis,1600.0,evolution_des_superficies_olive
2000,Ariana,13410.0,evolution_des_superficies_olive
2000,Benarous,4400.0,evolution_des_superficies_olive
2000,Nabeul,22450.0,evolution_des_superficies_olive
2000,Bizerte,9660.0,evolution_des_superficies_olive
2000,Beja,18700.0,evolution_des_superficies_olive
2000,Jendouba,16180.0,evolution_des_superficies_olive
2000,Kef,24920.0,evolution_des_superficies_olive
2000,Siliana,44000.0,evolution_des_superficies_olive
2000,Zaghouan,35370.0,evolution_des_superficies_olive
2000,Sousse,75200.0,evolution_des_superficies_olive
2000,Monastir,59170.0,evolution_des_superficies_olive
2000,Mahdia,130700.0,evolution_des_superficies_olive
2000,Sfax,298200.0,evolution_des_superficies_olive
2000,Kairouan,146190.0,evolution_des_superficies_olive
2000,Kasserine,48600.0,evolution_des_superficies_olive
2000,Sidibouzid,159300.0,evolution_des_superficies_olive
2000,Gafsa,39020.0,evolution_des_superficies_olive
2000,Gabes,41840.0,evolution_des_superficies_olive
2000,Medenine,167630.0,evolution_des_superficies_olive
2000,Tatouine,14560.0,evolution_des_superficies_olive
2001,Tunis,1600.0,evolution_des_superficies_olive
2001,Ariana,2110.0,evolution_des_superficies_olive
2001,Manouba,10360.0,evolution_des_superficies_olive
2001,Benarous,4400.0,evolution_des_superficies_olive
2001,Nabeul,22450.0,evolution_des_superficies_olive
2001,Bizerte,9870.0,evolution_des_superficies_olive
2001,Beja,19130.0,evolution_des_superficies_olive
2001,Jendouba,17130.0,evolution_des_superficies_olive
2001,Kef,25000.0,evolution_des_superficies_olive
2001,Siliana,44000.0,evolution_des_superficies_olive
2001,Zaghouan,36070.0,evolution_des_superficies_olive
2001,Sousse,75500.0,evolution_des_superficies_olive
2001,Monastir,59360.0,evolution_des_superficies_olive
2001,Mahdia,130700.0,evolution_des_superficies_olive
2001,Sfax,298200.0,evolution_des_superficies_olive
