annee,tunis,ariana,manouba,ben_arous,nabeul,bizerte,beja,jendouba,kef,siliana,zaghouan,sousse,monastir,mahdia,sfax,kairouan,kasserine,sidi_bouzid,gafsa,gabes,medenine,tatouine,feuille
1994,,710,,300,1000,1250,1980,2180,360,1500,330,160,570,,,400,600,520,,,50,,Feuil1
1996,90.0,780,,300,1500,1310,2180,2560,380,1850,200,210,600,20.0,50.0,1000,210,2580,360.0,,10,110.0,Feuil1
1997,100.0,780,,350,1570,1150,2430,3750,800,1920,250,180,600,30.0,50.0,730,450,550,380.0,,10,140.0,Feuil1
1998,100.0,920,,320,1000,1140,2330,3750,500,1920,220,170,620,130.0,50.0,650,500,550,400.0,230.0,10,120.0,Feuil1
1999,100.0,1020,,320,1180,490,2460,3980,610,1920,300,160,620,50.0,60.0,680,480,570,400.0,60.0,20,60.0,Feuil1
2000,100.0,1040,,320,1180,370,2510,4050,730,2000,340,170,620,50.0,80.0,840,620,570,480.0,,20,50.0,Feuil1
2001,110.0,80,910.0,320,1180,460,2560,4380,770,2000,550,170,620,70.0,80.0,1020,600,570,500.0,,20,50.0,Feuil1
2002,110.0,90,980.0,320,1180,440,2650,4490,800,2000,570,200,690,80.0,80.0,1090,800,570,580.0,,30,50.0,Feuil1
2003,110.0,120,1010.0,320,1180,440,2680,4500,830,2000,550,170,700,80.0,120.0,1170,850,570,520.0,,30,50.0,Feuil1
2004,110.0,150,1030.0,320,1200,440,2680,4510,850,2000,590,330,710,80.0,130.0,1190,860,580,800.0,250.0,30,60.0,Feuil1
2005,110.0,150,1040.0,320,1180,440,2730,4550,860,2000,600,280,720,150.0,140.0,1190,870,580,830.0,250.0,30,40.0,Feuil1
2006,140.0,170,1070.0,320,1180,430,2900,4600,900,2010,510,400,740,170.0,140.0,1200,870,580,800.0,250.0,30,40.0,Feuil1
2007,120.0,180,1100.0,320,1200,430,2950,4600,1080,2020,530,500,740,170.0,120.0,1200,870,620,800.0,250.0,30,,Feuil1
2008,140.0,190,1110.0,320,940,440,2980,4070,1080,2020,530,500,740,180.0,130.0,1200,870,650,1000.0,250.0,30,10.0,Feuil1
2009,140.0,180,1120.0,320,1000,460,3180,4070,1080,2400,530,500,650,190.0,40.0,1230,490,730,1000.0,300.0,30,,Feuil1
2010,140.0,180,1120.0,320,1000,450,3200,4070,1100,2400,550,500,650,200.0,50.0,1240,480,760,1000.0,300.0,30,40.0,Feuil1
2011,140.0,180,1120.0,340,1400,460,3250,4070,1150,2400,550,500,500,200.0,60.0,1270,400,810,1000.0,300.0,70,30.0,Feuil1
2012,140.0,230,1120.0,420,1400,450,3250,4070,1100,2400,700,500,500,200.0,310.0,1290,400,900,400.0,300.0,70,30.0,Feuil1
2013,140.0,230,1120.0,500,1000,510,3250,4000,2740,2400,800,500,500,200.0,400.0,1300,270,950,390.0,,70,10.0,Feuil1
2014,140.0,230,1120.0,500,1040,1000,3250,4000,2740,2400,850,500,500,200.0,420.0,1290,300,910,520.0,30.0,30,10.0,Feuil1
2015,140.0,240,1120.0,400,1090,1000,3850,4000,2770,2400,950,500,500,200.0,430.0,1260,1200,930,2200.0,30.0,30,,Feuil1
2016,120.0,240,1120.0,480,1120,1060,4210,4000,2770,2400,980,500,500,210.0,450.0,1280,1350,990,2210.0,20.0,40,,Feuil1
