annee,production,feuille
1984,150.0,1000 tonnes
1985,95.0,1000 tonnes
1986,105.0,1000 tonnes
1987,114.0,1000 tonnes
1988,100.0,1000 tonnes
1989,54.0,1000 tonnes
1990,130.0,1000 tonnes
1991,165.0,1000 tonnes
1992,265.0,1000 tonnes
1993,135.0,1000 tonnes
1994,210.0,1000 tonnes
1995,70.0,1000 tonnes
1996,60.0,1000 tonnes
1997,310.0,1000 tonnes
1998,90.0,1000 tonnes
1999,180.0,1000 tonnes
2000,225.0,1000 tonnes
2001,110.0,1000 tonnes
2002,30.0,1000 tonnes
2003,72.0,1000 tonnes
2004,280.0,1000 tonnes
2005,130.0,1000 tonnes
2006,210.0,1000 tonnes
2007,180.0,1000 tonnes
2008,200.0,1000 tonnes
2009,160.0,1000 tonnes
2010,150.0,1000 tonnes
2011,120.0,1000 tonnes
2012,180.0,1000 tonnes
2013,220.0,1000 tonnes
2014,80.0,1000 tonnes
2015,340.0,1000 tonnes
2016,140.0,1000 tonnes
2017,100.0,1000 tonnes
2018,323.4,1000 tonnes
2019,140.0,1000 tonnes
2020,420.0,1000 tonnes
2021,140.0,1000 tonnes
2022,240.0,1000 tonnes
2023,217.0,1000 tonnes
2024,220.0,1000 tonnes
2025,340.0,1000 tonnes
