port_peche,type_unite_peche,unite_actif,unite_non_actif,total_flotte,mains_oeuvre,annee,feuille
صفاقس,مراكب صيد ساحلي بالمحرك,321,59,380,1200,2021.0,Feuil1
صفاقس,مراكب صيد ساحلي بدون محرك,190,29,219,212,,Feuil1
صفاقس,وحدات صيد بالجر القاعي,186,21,207,2431,,Feuil1
صفاقس,وحدات صيد السمك الأزرق,12,4,16,96,,Feuil1
صفاقس,وحدات صيد التن الأحمر,21,4,25,345,,Feuil1
العطايا,مراكب صيد ساحلي بالمحرك,134,42,176,603,,Feuil1
العطايا,مراكب صيد ساحلي بدون محرك,425,179,604,638,,Feuil1
القراطن,مراكب صيد ساحلي بالمحرك,185,49,234,837,,Feuil1
القراطن,مراكب صيد ساحلي بدون محرك,296,217,513,443,,Feuil1
مليتة,مراكب صيد ساحلي بالمحرك,450,61,511,2025,,Feuil1
مليتة,مراكب صيد ساحلي بدون محرك,341,296,637,512,,Feuil1
المحرس,مراكب صيد ساحلي بالمحرك,59,4,63,270,,Feuil1
المحرس,مراكب صيد ساحلي بدون محرك,150,85,235,225,,Feuil1
المحرس,وحدات صيد السمك الأزرق,5,0,5,40,,Feuil1
اللوزة,مراكب صيد ساحلي بالمحرك,243,71,314,873,,Feuil1
اللوزة,مراكب صيد ساحلي بدون محرك,85,20,105,128,,Feuil1
سيدي منصور,مراكب صيد ساحلي بالمحرك,147,80,227,666,,Feuil1
سيدي منصور,مراكب صيد ساحلي بدون محرك,120,24,144,180,,Feuil1
الصخيرة,مراكب صيد ساحلي بالمحرك,31,10,41,140,,Feuil1
الصخيرة,مراكب صيد ساحلي بدون محرك,8,5,13,12,,Feuil1
الصخيرة,صيد ترفيهي بالمركب,4,0,4,32,,Feuil1
العوابد,مراكب صيد ساحلي بالمحرك,45,15,60,203,,Feuil1
العوابد,مراكب صيد ساحلي بدون محرك,60,10,70,90,,Feuil1
زبوسة,مراكب صيد ساحلي بالمحرك,13,9,22,50,,Feuil1
زبوسة,مراكب صيد ساحلي بدون محرك,19,18,37,29,,Feuil1
زبوسة,صيد ترفيهي بالغطس,0,0,0,0,,Feuil1
