المعتمديـة,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,feuille
القيروان الشمالية,4901,4901,5712,5712,5712,5736,5727,5726,5683,5677,مساحة الأشجار المثمرة
القيروان الجنوبية,15866,15694,15528,15528,15528,15528,15373,15391,15333,15214,مساحة الأشجار المثمرة
السبيخة,15281,15441,15352,15352,15352,15582,15639,15665,15735,15428,مساحة الأشجار المثمرة
الوسلاتية,16168,16444,16339,16339,16339,16361,16355,16915,17422,17317,مساحة الأشجار المثمرة
الشبيكة,14023,14048,13971,13971,13971,13987,13842,13855,13850,13750,مساحة الأشجار المثمرة
حفوز,14725,14871,14835,14835,14835,15127,15284,15126,15076,14966,مساحة الأشجار المثمرة
العلا,16944,17123,16968,16968,16968,17010,16611,16306,16006,15790,مساحة الأشجار المثمرة
حاجب العيون,19379,19625,19555,19555,19555,19581,19415,19219,19035,18935,مساحة الأشجار المثمرة
نصرالله,23945,24166,23928,23928,23928,23898,23804,23612,23550,23045,مساحة الأشجار المثمرة
بوحجلة,36149,36201,35907,35907,35907,35778,35502,35275,34655,34103,مساحة الأشجار المثمرة
الشراردة,20588,20627,20373,20373,20373,20326,20133,20033,21589,21564,مساحة الأشجار المثمرة
المجمــوع,197969,199141,198468,198019,198019,198914,197685,197123,197934,195789,مساحة الأشجار المثمرة
