annee,activite,nombre_beneficiaire,source_financement,valeur_investissement_md,valeur_subvention_md,valeur_credit_bancaire_md,feuille
2024.0,الفلاحة البرية,48.0,الصندوق الخاص للتنمية الفلاحية والصيد البحري ( FOSDA),1318.0,657.0,0.0,Feuil1
,,0.0,صندوق النهوض بقطاع الزياتين,0.0,0.0,0.0,Feuil1
,,0.0,البنك التونسي للتضامن,0.0,0.0,0.0,Feuil1
,الصيد البحري,70.0,الصندوق الخاص للتنمية الفلاحية والصيد البحري ( FOSDA),610.0,195.0,0.0,Feuil1
,,0.0,صندوق تنمية القدرة التنافسية في الصيد البحري,0.0,0.0,0.0,Feuil1
,,2.0,البنك التونسي للتضامن,20.0,6.0,12.0,Feuil1
,,,,,,,Feuil1
,,,,,,,Feuil1
