annee,nom_culture,nombre_de_plants,superficie_controlees_ha,production_t,feuille
2023,زيتون زيت,9500,46.5728,270.0,Feuil1
2023,رمان,20000,48.416,310.0,Feuil1
2023,تمور,1000,20.2541,180.0,Feuil1
2023,قوارص,4500,9.576,75.0,Feuil1
2023,أشجار مثمرة,14000,56.328,90.0,Feuil1
2023,لوز,500,4.5,100.0,Feuil1
2023,غراسات مختلفة,,5.727,50.0,Feuil1
2023,أعلاف,,8.09,400.0,Feuil1
2023,سبيرولينا,,1.24,1.0,Feuil1
2023,نباتات طبية و عطرية,,0.1,,Feuil1
2023,المجموع,,200.8,1476.0,Feuil1
