annee,delegation,superficie_pomme_de_terre_saison,production_pomme_de_terre_saison,superficie_pomme_de_terre_arriere_saison,production_pomme_de_terre_arriere_saison,superficie_carotte_ha,production_carotte_ha,superficie_ail_tonne,production_ail_tonne,superficie_oignon_ha,production_oignon_tonne,superficie_petit_pois_ha,production_petit_pois_ha,superficie_haricot_tonne,production_haricot_tonne,superficie_bettrave_ha,production_bettrave_tonne,superficie_carotte_ha_1,production_carotte_ha_1,superficie_pomme_de_terre_arriere_saison_1,production_pomme_de_terre_arriere_saison_1,superficie_feve_ha,production_feve_tonne,production_divers_tonne,superficie_divers_ha,superficie_globale_ha,production_globale_tonne,feuille
2022,سبيبــــة,,,10.0,150.0,15,300,10,100,10,250,5,5,30.0,300.0,15,300,15,300,10.0,150.0,,,100.0,20,115,1505,الخضراوات الشتوية
2022,فوسانــــة,,,260.0,4810.0,40,800,40,400,40,1000,10,10,50.0,500.0,40,800,40,800,260.0,4810.0,,,225.0,45,525,8545,الخضراوات الشتوية
2022,سبيطلــة,,,390.0,7020.0,25,500,110,1100,120,3000,5,5,100.0,1000.0,20,400,25,500,390.0,7020.0,,,200.0,40,810,13225,الخضراوات الشتوية
2022,فريانــة,,,0.0,0.0,4,80,5,50,2,50,2,2,5.0,50.0,5,100,4,80,0.0,0.0,,,25.0,5,28,357,الخضراوات الشتوية
2022,الماجــل,,,10.0,150.0,5,100,10,100,10,250,3,3,20.0,200.0,5,100,5,100,10.0,150.0,,,50.0,10,73,953,الخضراوات الشتوية
2022,تالة,,,0.0,0.0,5,100,15,150,15,375,5,5,3.0,30.0,5,100,5,100,0.0,0.0,,,100.0,20,68,860,الخضراوات الشتوية
2022,القصرين ج,,,0.0,0.0,15,300,5,50,5,125,5,5,10.0,100.0,10,200,15,300,0.0,0.0,,,75.0,15,65,855,الخضراوات الشتوية
2022,حيدرة,,,0.0,0.0,3,60,0,0,3,75,0,0,2.0,20.0,3,60,3,60,0.0,0.0,,,10.0,2,13,225,الخضراوات الشتوية
2022,القصرين ش,,,0.0,0.0,5,100,5,50,5,125,2,3,3.0,30.0,5,100,5,100,0.0,0.0,,,50.0,10,35,458,الخضراوات الشتوية
2022,حاسي الفريد,,,0.0,0.0,5,100,4,40,10,250,3,2,10.0,100.0,5,100,5,100,0.0,0.0,,,25.0,5,42,617,الخضراوات الشتوية
2022,جدليان,,,0.0,0.0,3,60,3,30,5,125,0,0,3.0,30.0,2,40,3,60,0.0,0.0,,,15.0,3,19,300,الخضراوات الشتوية
2022,العيـــون,,,0.0,0.0,5,100,3,30,5,125,0,0,4.0,40.0,5,100,5,100,0.0,0.0,,,25.0,5,27,420,الخضراوات الشتوية
2023,سبيبــــة,,,10.0,150.0,15,300,10,100,10,250,5,5,30.0,300.0,15,300,15,300,10.0,150.0,,,,20,115,1505,الخضراوات الشتوية
2023,فوسانــــة,,,260.0,4810.0,40,800,40,400,40,1000,10,10,50.0,500.0,40,800,40,800,260.0,4810.0,,,,45,525,8545,الخضراوات الشتوية
2023,سبيطلــة,,,390.0,7020.0,25,500,110,1100,120,3000,5,5,100.0,1000.0,20,400,25,500,390.0,7020.0,,,,40,810,13225,الخضراوات الشتوية
2023,فريانــة,,,0.0,0.0,4,80,5,50,2,50,2,2,5.0,50.0,5,100,4,80,0.0,0.0,,,,5,28,357,الخضراوات الشتوية
2023,الماجــل,,,10.0,150.0,5,100,10,100,10,250,3,3,20.0,200.0,5,100,5,100,10.0,150.0,,,,10,73,953,الخضراوات الشتوية
2023,تالة,,,0.0,0.0,5,100,15,150,15,375,5,5,3.0,30.0,5,100,5,100,0.0,0.0,,,,20,68,860,الخضراوات الشتوية
2023,القصرين ج,,,0.0,0.0,15,300,5,50,5,125,5,5,10.0,100.0,10,200,15,300,0.0,0.0,,,,15,65,855,الخضراوات الشتوية
2023,حيدرة,,,0.0,0.0,3,60,0,0,3,75,0,0,2.0,20.0,3,60,3,60,0.0,0.0,,,,2,13,225,الخضراوات الشتوية
2023,القصرين ش,,,0.0,0.0,5,100,5,50,5,125,2,3,3.0,30.0,5,100,5,100,0.0,0.0,,,,10,35,458,الخضراوات الشتوية
2023,حاسي الفريد,,,0.0,0.0,5,100,4,40,10,250,3,2,10.0,100.0,5,100,5,100,0.0,0.0,,,,5,42,617,الخضراوات الشتوية
2023,جدليان,,,0.0,0.0,3,60,3,30,5,125,0,0,3.0,30.0,2,40,3,60,0.0,0.0,,,,3,19,300,الخضراوات الشتوية
2023,العيـــون,,,0.0,0.0,5,100,3,30,5,125,0,0,4.0,40.0,5,100,5,100,0.0,0.0,,,,5,27,420,الخضراوات الشتوية
2024,سبيبة,12.0,215.0,,,5,125,5,50,5,150,2,2,,,5,125,5,125,,,20.0,200.0,60.0,10,64,927,الخضراوات الشتوية
2024,فوسانة,315.0,6300.0,,,20,500,30,300,20,600,4,4,,,10,250,20,500,,,40.0,400.0,150.0,25,464,8504,الخضراوات الشتوية
2024,سبيطلة,440.0,9680.0,,,15,375,120,1200,150,4500,5,5,,,15,375,15,375,,,90.0,900.0,150.0,25,860,17185,الخضراوات الشتوية
2024,فريانة,5.0,85.0,,,1,25,2,20,1,30,1,1,,,1,25,1,25,,,1.0,10.0,18.0,3,15,214,الخضراوات الشتوية
2024,الماجل,6.0,100.0,,,2,50,10,100,2,60,2,2,,,3,75,2,50,,,15.0,150.0,60.0,10,50,597,الخضراوات الشتوية
2024,تالة,2.0,30.0,,,2,50,10,100,3,90,5,5,,,2,50,2,50,,,3.0,30.0,30.0,5,32,385,الخضراوات الشتوية
2024,القصرين ج,0.0,0.0,,,20,500,5,50,10,300,3,3,,,20,500,20,500,,,5.0,50.0,150.0,25,88,1553,الخضراوات الشتوية
2024,حيدرة,0.0,0.0,,,1,25,0,0,1,30,0,0,,,1,25,1,25,,,1.0,10.0,6.0,1,5,96,الخضراوات الشتوية
