annee,culture,superficie_hectare,feuille
2013,pomme_de_terre,459.99999999999994,superficie
2013,tomates,274.1,superficie
2013,concombre,38.449999999999996,superficie
2013,piments,284.40000000000003,superficie
2013,courge,52.90000000000001,superficie
2013,divers,64.94999999999999,superficie
2014,pomme_de_terre,586.0,superficie
2014,tomates,311.0,superficie
2014,concombre,39.10000000000001,superficie
2014,piments,301.5,superficie
2014,courge,65.30000000000001,superficie
2014,divers,102.44999999999999,superficie
2015,pomme_de_terre,604.0,superficie
2015,tomates,341.59999999999997,superficie
2015,concombre,57.21999999999999,superficie
2015,piments,339.71,superficie
2015,courge,109.35,superficie
2015,divers,89.69,superficie
2016,pomme_de_terre,481.95,superficie
2016,tomates,290.8,superficie
2016,concombre,38.74,superficie
2016,piments,267.90999999999997,superficie
2016,courge,94.35,superficie
2016,divers,123.05,superficie
2017,pomme_de_terre,302.75,superficie
2017,tomates,206.26999999999998,superficie
2017,concombre,62.94999999999998,superficie
2017,piments,246.09000000000003,superficie
2017,courge,68.85,superficie
2017,divers,75.65999999999998,superficie
2018,pomme_de_terre,300.0,superficie
2018,tomates,272.39000000000004,superficie
2018,concombre,51.160000000000004,superficie
2018,piments,326.46,superficie
2018,courge,116.56999999999998,superficie
2018,divers,91.52999999999997,superficie
2019,pomme_de_terre,462.13,superficie
2019,tomates,265.97,superficie
2019,concombre,35.309999999999995,superficie
2019,piments,268.11,superficie
2019,courge,90.68999999999998,superficie
2019,divers,111.67999999999996,superficie
2020,pomme_de_terre,455.78,superficie
2020,tomates,266.24999999999994,superficie
2020,concombre,56.900000000000006,superficie
2020,piments,350.5,superficie
2020,courge,82.53999999999999,superficie
2020,divers,122.90999999999997,superficie
2021,pomme_de_terre,482.26,superficie
2021,tomates,277.03,superficie
2021,concombre,57.91,superficie
2021,piments,284.14,superficie
2021,courge,61.8,superficie
2021,divers,90.78,superficie
2022,pomme_de_terre,204.8,superficie
2022,tomates,210.29999999999998,superficie
2022,concombre,54.25,superficie
2022,piments,225.45000000000002,superficie
2022,courge,87.6,superficie
2022,divers,103.05,superficie
2023,pomme_de_terre,207.0,superficie
2023,tomates,200.0,superficie
2023,concombre,53.0,superficie
2023,piments,268.0,superficie
2023,courge,70.0,superficie
2023,divers,81.0,superficie
2024,pomme_de_terre,135.0,superficie
2024,tomates,78.0,superficie
2024,concombre,8.0,superficie
2024,piments,107.0,superficie
2024,courge,23.0,superficie
2024,divers,26.060000000000002,superficie
