annee,2014,2015,2016,2017,2018,feuille
janvier,470742.24199999997,492601.0142000001,511039.7488000001,493920.9398,533802.9084,producti son local QX
fevrier,448546.4709999999,462145.6119999999,509477.98699999996,473631.9401999999,498545.0282,producti son local QX
mars,451255.928,485350.464,542693.7361999999,521205.0959999999,538678.3652,producti son local QX
avril,457319.9286,484178.2634,523730.90300000005,503077.0576,534804.5488,producti son local QX
mai,508632.41359999997,523134.19259999995,541567.9946,559903.9666,532617.8989999999,producti son local QX
juin,535010.2604,540307.856,511941.4692,424015.80700000003,498622.80720000004,producti son local QX
juillet,406277.2504,458201.6599999999,491707.1026,514632.88399999996,568400.2422,producti son local QX
aout,525129.826,533455.494,582033.9834,566233.9378000001,518975.2304,producti son local QX
septembre,491557.30540000007,460916.229,498736.6843999999,513666.9112000001,504019.15080000006,producti son local QX
octobre,500397.0106,536434.1930000001,529579.9552,520674.3758,495356.9172,producti son local QX
novembre,459826.90840000013,496425.9856000001,523337.3776,534293.9560000001,486943.5138,producti son local QX
decembre,509120.4401999999,525820.0632000001,513797.21400000004,522206.6781999999,548691.9381999997,producti son local QX
