السنة,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,feuille
لوز أخضر,,,786.9,268.9,1259.0,1656.9,747.6,99.3,233.9,218.32,Feuil1
لوز مر جاف بالقشرة,188.6,166.3,,,3.0,60.0,,,0.5,,Feuil1
لوز حلو جاف بالقشرة,1004.1,1346.3,171.0,301.5,81.5,116.0,91.4,116.5,96.3,44.7,Feuil1
لوز مر جاف مقشرة,783.0,648.9,23.0,3.7,8.0,14.5,17.8,19.0,15.0,,Feuil1
لوز حلو جاف مقشر,42.6,38.0,371.0,61.0,59.1,42.3,25.0,36.9,16.6,4,Feuil1
