السنة,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,feuille
لوز اخضر,,,854.0,318.9,1896.7,2044.8,1190.4,290.2,695.5,563.4,Feuil1
لوز مر جاف بالقشرة,156.3,167.5,,,3.0,1.8,,,3.7,,Feuil1
لوز حلو جاف بالقشرة,1155.9,1608.9,429.0,917.9,519.1,867.8,822.6,1067.8,1010.9,667.3,Feuil1
لوز مر جاف بالقشرة,877.1,955.9,155.2,30.4,58.0,138.8,232.4,332.5,218.4,,Feuil1
لوز حلو جاف بالقشرة,106.9,259.9,952.5,348.3,265.7,620.7,422.0,605.9,473.2,177.9,Feuil1
