delegation,olivies_superficie_h,olivies_production_t,palmiers_superficie_h,palmiers_production_t,amandiers_superficie_h,amandiers_production_t,figuiers_superficie_h,figuiers_production_t,autres_superficie_h,autres_production_t,feuille
Tataouine nord,8090,0,10,0,55,0.0,55,7,10,0,Feuil1
Tataouine sud,8373,0,50,0,42,14.0,85,12,20,0,Feuil1
Smar et Beni mhira,9675,200,40,0,14,24.0,60,9,8,0,Feuil1
Bir lahmer,9409,0,0,0,10,11.0,41,12,1,0,Feuil1
Ghomarassen,9038,0,30,0,15,3.0,145,15,12,0,Feuil1
Dehiba,1675,0,0,0,5,1.5,156,0,4,0,Feuil1
Remada,2370,0,0,0,44,0.0,143,25,0,0,Feuil1
Totale,48630,200,130,0,185,53.5,685,80,55,0,Feuil1
