annee,barrage,quantite_deau_transferee_en_million_m3_par_an,feuille
2014,Maleh,,Feuil3
2014,Sidi EL Barrak,0.0,Feuil3
2014,Barbara,0.0,Feuil3
2014,Ziatine,,Feuil3
2014,Ettine,,Feuil3
2015,Maleh,,Feuil3
2015,Sidi EL Barrak,0.0,Feuil3
2015,Barbara,0.0,Feuil3
2015,Ziatine,,Feuil3
2015,Ettine,,Feuil3
2016,Maleh,,Feuil3
2016,Sidi EL Barrak,51.719971,Feuil3
2016,Barbara,5.383554,Feuil3
2016,Ziatine,7.248896,Feuil3
2016,Ettine,,Feuil3
2017,Maleh,,Feuil3
2017,Sidi EL Barrak,168.484094,Feuil3
2017,Barbara,12.037024,Feuil3
2017,Ziatine,14.397134,Feuil3
2017,Ettine,,Feuil3
2018,Maleh,10.215907,Feuil3
2018,Sidi EL Barrak,96.383853,Feuil3
2018,Barbara,4.510505,Feuil3
2018,Ziatine,7.483396,Feuil3
2018,Ettine,,Feuil3
2019,Maleh,12.016908,Feuil3
2019,Sidi EL Barrak,18.061014458100853,Feuil3
2019,Barbara,0.0,Feuil3
2019,Ziatine,0.971257,Feuil3
2019,Ettine,0.60722,Feuil3
2020,Maleh,17.38939,Feuil3
2020,Sidi EL Barrak,117.08088660278476,Feuil3
2020,Barbara,16.791803,Feuil3
2020,Ziatine,12.802299,Feuil3
2020,Ettine,10.228892,Feuil3
2021,Maleh,14.953232,Feuil3
2021,Sidi EL Barrak,112.573717,Feuil3
2021,Barbara,36.622864,Feuil3
2021,Ziatine,13.058389,Feuil3
2021,Ettine,6.43412,Feuil3
2022,Maleh,19.68008,Feuil3
2022,Sidi EL Barrak,129.282969,Feuil3
2022,Barbara,8.856047,Feuil3
2022,Ziatine,15.059968,Feuil3
2022,Ettine,5.81686,Feuil3
2023,Maleh,10.987669,Feuil3
2023,Sidi EL Barrak,165.492444,Feuil3
2023,Barbara,30.318957,Feuil3
2023,Ziatine,16.341591,Feuil3
2023,Ettine,,Feuil3
2024,Maleh,9.465354,Feuil3
2024,Sidi EL Barrak,161.179012,Feuil3
2024,Barbara,14.910349,Feuil3
2024,Ziatine,13.635566,Feuil3
2024,Ettine,0.183834,Feuil3
