annee,delegation,ble_dur_en_sec,ble_dur_irrigue,ble_tendre_en_sec,ble_tendre_irrigue,orge_en_sec,orge_irrigue,total,feuille
2020,القيروان الشمالية,0,58900,0.0,0,0.0,13050,71950,Feuil1
2020,القيروان الجنوبية,0,215400,0.0,0,0.0,135000,350400,Feuil1
2020,الشبيكة,4000,147900,0.0,1650,700.0,48350,202600,Feuil1
2020,السبيخة,2400,162900,0.0,350,28000.0,71600,265250,Feuil1
2020,الوسلاتية,9600,4200,0.0,0,17500.0,3500,34800,Feuil1
2020,حفوز,0,1000,0.0,0,0.0,800,1800,Feuil1
2020,العلا,0,0,0.0,0,0.0,0,0,Feuil1
2020,حاجب العيون,0,3600,0.0,0,0.0,800,4400,Feuil1
2020,جلولة,0,0,0.0,0,0.0,0,0,Feuil1
2020,نصرالله,0,4500,0.0,0,0.0,3900,8400,Feuil1
2020,منزل المهيري,0,13900,,0,,4000,17900,Feuil1
2020,الشراردة,0,2800,0.0,0,0.0,3750,6550,Feuil1
2020,بوحجلة,0,54300,0.0,0,0.0,44400,98700,Feuil1
2020,المجموع,16000,669400,0.0,2000,46200.0,329150,1062750,Feuil1
2021,القيروان الشمالية,0,64850,0.0,0,0.0,12500,77350,Feuil1
2021,القيروان الجنوبية,0,201060,0.0,0,1800.0,95000,297860,Feuil1
2021,الشبيكة,1600,124750,0.0,0,3600.0,45000,174950,Feuil1
2021,السبيخة,6400,209850,0.0,1400,14000.0,141500,373150,Feuil1
2021,الوسلاتية,4000,3120,0.0,0,11200.0,2400,20720,Feuil1
2021,حفوز,0,750,0.0,0,0.0,1400,2150,Feuil1
2021,العلا,800,0,0.0,0,1500.0,0,2300,Feuil1
2021,حاجب العيون,0,3000,0.0,0,0.0,1040,4040,Feuil1
2021,جلولة,0,0,0.0,0,700.0,440,1140,Feuil1
2021,نصرالله,0,3990,0.0,0,0.0,3380,7370,Feuil1
2021,منزل المهيري,0,12020,0.0,0,0.0,4860,16880,Feuil1
2021,الشراردة,0,2450,0.0,0,0.0,2800,5250,Feuil1
2021,بوحجلة,0,52800,0.0,0,0.0,48000,100800,Feuil1
2021,المجموع,12800,678640,0.0,1400,32800.0,358320,1083960,Feuil1
2022,القيروان الشمالية,90,882000,0.0,0,0.0,12500,100790,Feuil1
2022,القيروان الجنوبية,70,225000,0.0,150,0.0,117700,342920,Feuil1
2022,الشبيكة,0,150000,0.0,0,400.0,45000,195400,Feuil1
2022,السبيخة,0,134400,0.0,770,0.0,108000,243170,Feuil1
2022,الوسلاتية,8400,4800,0.0,0,24800.0,3080,41080,Feuil1
2022,حفوز,0,640,0.0,0,0.0,1120,1760,Feuil1
2022,العلا,830,0,0.0,0,1385.0,0,2215,Feuil1
2022,حاجب العيون,0,3360,0.0,0,0.0,900,4260,Feuil1
2022,جلولة,0,0,0.0,0,342.0,520,862,Feuil1
2022,نصرالله,0,3300,0.0,0,0.0,2440,5740,Feuil1
2022,منزل المهيري,0,7410,0.0,0,0.0,2380,9790,Feuil1
2022,الشراردة,0,2995,0.0,0,0.0,1960,4955,Feuil1
2022,بوحجلة,0,59955,0.0,0,0.0,54504,114459,Feuil1
2022,المجموع,9390,680060,0.0,920,26927.0,350104,1067401,Feuil1
2023,القيروان الشمالية,0,86200,0.0,0,0.0,10350,96550,Feuil1
2023,القيروان الجنوبية,0,199200,0.0,1920,0.0,95400,296520,Feuil1
2023,الشبيكة,0,155800,0.0,192,0.0,42500,198492,Feuil1
2023,السبيخة,0,184900,0.0,1710,0.0,69900,256510,Feuil1
2023,الوسلاتية,0,3120,0.0,0,0.0,2100,5220,Feuil1
2023,جلولة,0,0,0.0,0,0.0,396,396,Feuil1
2023,حفوز,0,7600,0.0,0,0.0,3500,11100,Feuil1
2023,العلا,0,0,0.0,0,0.0,0,0,Feuil1
2023,الحاجب,0,3200,0.0,0,0.0,325,3525,Feuil1
2023,نصرالله,0,900,0.0,0,0.0,836,1736,Feuil1
2023,منزل المهيري,0,6330,0.0,0,0.0,3920,10250,Feuil1
2023,الشراردة,0,0,0.0,0,0.0,440,440,Feuil1
2023,بوحجلة,0,57480,0.0,0,0.0,46800,104280,Feuil1
2023,المجموع,0,704730,0.0,3822,0.0,276467,985019,Feuil1
2024,القيروان الشمالية,0,80060,0.0,0,0.0,11550,91610,Feuil1
2024,القيروان الجنوبية,48,291800,0.0,1410,0.0,111260,404518,Feuil1
2024,الشبيكة,80,189155,0.0,460,630.0,43900,234225,Feuil1
2024,السبيخة,350,138800,0.0,1820,720.0,112650,254340,Feuil1
2024,الوسلاتية,320,4862,0.0,0,560.0,2100,7842,Feuil1
2024,جلولة,0,0,0.0,0,0.0,0,0,Feuil1
2024,حفوز,0,6664,0.0,0,0.0,2160,8824,Feuil1
2024,العلا,60,0,0.0,0,300.0,0,360,Feuil1
2024,الحاجب,0,4120,0.0,0,0.0,580,4700,Feuil1
2024,نصرالله,140,25260,0.0,0,0.0,8660,34060,Feuil1
2024,منزل المهيري,0,16560,0.0,0,0.0,2880,19440,Feuil1
2024,الشراردة,0,5100,0.0,540,0.0,2600,8240,Feuil1
2024,بوحجلة,126,89380,0.0,0,70.0,55650,145226,Feuil1
2024,المجموع,1124,851761,0.0,4230,2280.0,353990,1213385,Feuil1
