annee,nom_nappe,code,nbre_puits,ressources_mm3,exploitation_mm3,feuille
2021,المهدية قصور الساف,51230.0,1535,2.91,5.8,Feuil1
2021,الشابة الغضابنة,51240.0,687,1.2,1.9,Feuil1
2021,ملولش,51280.0,340,2.04,1.54,Feuil1
2021,الحنشة,51320.0,218,1.5,0.47,Feuil1
2021,بومرداس,64020.0,330,0.81,0.83,Feuil1
2021,السواسي,64010.0,1285,2.37,3.34,Feuil1
2021,سيدي الهاني,64000.0,240,1.85,1.4,Feuil1
2021,الشريطة,64030.0,613,2.9,2.93,Feuil1
2021,الغرة,53110.0,230,1.4,0.76,Feuil1
2022,المهدية قصور الساف,51230.0,1570,2.91,5.89,Feuil1
2022,الشابة الغضابنة,51240.0,703,1.2,1.94,Feuil1
2022,ملولش,51280.0,348,2.04,1.56,Feuil1
2022,الحنشة,51320.0,222,1.5,0.48,Feuil1
2022,بومرداس,64020.0,340,0.81,0.86,Feuil1
2022,السواسي,64010.0,1299,2.37,3.38,Feuil1
2022,سيدي الهاني,64000.0,258,1.85,1.45,Feuil1
2022,الشريطة,64030.0,637,2.9,2.99,Feuil1
2022,الغرة,53110.0,234,1.4,0.77,Feuil1
2023,المهدية قصور الساف,51230.0,2245,2.91,5.94,Feuil1
2023,الشابة الغضابنة,51240.0,2174,1.2,2.01,Feuil1
2023,ملولش,51280.0,757,2.04,1.72,Feuil1
2023,الحنشة,51320.0,407,1.5,0.52,Feuil1
2023,بومرداس,64020.0,541,0.81,0.89,Feuil1
2023,السواسي,64010.0,1982,2.37,3.51,Feuil1
2023,سيدي الهاني,64000.0,527,1.85,1.6,Feuil1
2023,الشريطة,64030.0,946,2.9,3.11,Feuil1
2023,الغرة,53110.0,440,1.4,0.8,Feuil1
2023,المجموع,,10019,16.98,20.1,Feuil1
2024,المهدية قصور الساف,51230.0,2306,2.91,6.03,Feuil1
2024,الشابة الغضابنة,51240.0,2134,1.2,2.01,Feuil1
2024,ملولش,51280.0,730,2.04,1.6,Feuil1
2024,الحنشة,51320.0,347,1.5,0.5,Feuil1
2024,بومرداس,64020.0,514,0.81,0.91,Feuil1
2024,السواسي,64010.0,1933,2.37,3.45,Feuil1
2024,سيدي الهاني,64000.0,510,1.85,1.54,Feuil1
2024,الشريطة,64030.0,934,2.9,3.1,Feuil1
2024,الغرة,53110.0,422,1.4,0.79,Feuil1
2024,المجموع,,9830,16.98,19.93,Feuil1
