المعتمديـة,2013,2014,2015,2016,2017,2018,2019,feuille
القيروان الشمالية,640.0,734.0,871.0,695.0,595.0,394.0,530.0,Feuil1
القيروان الجنوبية,480.0,332.0,366.0,480.0,466.0,433.0,345.0,Feuil1
السبيخة,1580.0,2285.0,2478.0,2106.0,2176.0,1516.0,1940.0,Feuil1
الوسلاتية,605.0,62.0,575.0,520.0,490.0,596.0,707.0,Feuil1
الشبيكة,1100.0,605.0,525.0,595.0,585.0,585.0,259.0,Feuil1
حفوز,280.0,,227.0,197.0,64.0,0.0,5.0,Feuil1
العلا,50.0,20.0,31.0,50.0,8.0,17.0,18.0,Feuil1
حاجب العيون,315.0,335.0,273.0,361.0,338.0,265.0,249.0,Feuil1
عين جلولة,,,,,,,,Feuil1
نصرالله,1354.0,1355.0,1185.0,1222.0,395.0,358.0,312.0,Feuil1
منزل المهيري,,,,,,,204.0,Feuil1
بوحجلة,912.0,1087.0,1023.0,725.0,691.0,695.0,670.0,Feuil1
الشراردة,230.0,110.0,110.0,156.0,247.0,75.0,495.0,Feuil1
المجمــوع,7546.0,6925.0,7664.0,7107.0,6055.0,4934.0,5734.0,Feuil1
