annee,delegation,nombre_de_beneficiaires,subvention_accordee_mille_dinars,total_investissement_mille_dinars,feuille
2024,القصرين الشمالية,0,0.0,0.0,Feuil1
2024,القصرين الجنوبية,140,849611.708,2418752.531,Feuil1
2024,حاسي الفريد,30,75482.542,186371.69,Feuil1
2024,سبيطلة,77,213586.804,548970.133,Feuil1
2024,سبيبة,13,36162.963,96118.21,Feuil1
2024,جدليان,1,16784.1,55847.0,Feuil1
2024,العيون,32,145304.692,438936.588,Feuil1
2024,تالة,19,78974.748,219140.701,Feuil1
2024,حيدرة,3,8250.965,23592.55,Feuil1
2024,فوسانة,47,128741.066,335790.165,Feuil1
2024,فريانة,68,353939.184,902452.767,Feuil1
2024,ماجل بلعباس,131,553860.406,1367584.555,Feuil1
2024,المجموع,561,2460699.1780000003,6593556.889999999,Feuil1
