annee,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,10_plan,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Tunis,3.9,2.6,7.0,5.5,8.8,1.0,0.9,1.2,0.9,0.9,1.2,1.2,1.0,0.7,0.7,0.5,0.7,0.55,0.57,0.38,0.45,0.42,0.38,0.47,0.43,0.3,0.57,2.15,0.66,0.65,0.47,0.67,0.62,0.69,0.54,0.67,0.67,0.67,0.612,0.65,0.7,0.7,Feuil1
Ariana,,,,,,15.8,5.2,6.7,5.0,10.0,9.3,8.8,9.4,6.2,6.0,6.35,11.1,7.37,7.84,10.78,9.36,2.9,2.83,4.55,2.35,3.16,3.05,15.940000000000001,2.89,4.36,3.6,2.85,3.0,3.0,3.46,2.7,2.86,2.65,2.58,3.08,2.85,2.4,Feuil1
Manouba,,,,,,,,,,,,,,,,,,,,,,9.3,8.67,7.32,5.9,7.16,9.05,38.1,7.5,12.11,12.41,12.8,10.9,12.3,11.8,12.2,11.6,11.0,12.6,12.415,11.2,11.175,Feuil1
Ben Arous,,,,,,2.2,1.7,3.0,3.0,3.1,2.6,4.5,0.9,3.5,1.8,1.5,1.7,1.6,2.2,2.46,3.02,4.2,3.04,4.5,2.29,2.68,2.34,14.85,2.29,2.6,3.07,3.35,3.72,3.29,2.36,2.26,2.21,2.475,2.475,3.24,3.1,3.45,Feuil1
Nabeul,18.5,16.4,22.8,17.5,19.1,21.4,18.0,26.5,23.5,22.0,18.0,20.2,18.3,16.0,18.4,14.6,20.4,17.24,17.96,17.9,20.2,20.3,20.9,20.0,20.0,20.0,20.95,101.85000000000001,20.45,22.0,22.4,22.35,21.6,21.2,22.0,22.26,22.1,21.24,20.57,20.61,20.56,19.85,Feuil1
Bizerte,11.5,10.5,14.1,15.0,15.2,12.0,16.2,10.0,8.0,9.5,8.0,7.3,8.9,9.4,7.3,6.05,9.5,8.25,6.27,11.33,16.71,13.15,10.79,14.06,10.93,9.14,10.58,55.5,10.36,11.01,14.56,11.45,8.24,11.23,8.11,9.01,8.43,10.205,9.084,8.017,10.0,10.0,Feuil1
Béja,15.7,12.3,19.3,18.4,22.2,28.1,22.3,24.7,19.0,22.5,22.9,24.5,20.0,23.0,16.2,16.3,15.2,17.46,15.84,16.42,16.49,16.9,17.93,18.15,17.15,15.95,16.15,85.32999999999998,16.74,18.03,17.65,19.53,16.96,16.57,15.58,17.98,16.93,17.15,15.98,18.75,22.0,23.5,Feuil1
Jendouba,15.3,16.0,20.0,17.0,19.0,18.0,19.2,18.5,18.0,15.9,18.2,17.2,15.1,15.0,14.5,15.0,11.7,11.94,11.24,12.97,14.98,16.55,18.73,17.58,16.72,15.5,16.57,85.1,15.49,17.02,17.87,18.3,17.62,16.3,17.0,20.695,17.78,16.78,17.38,17.815,16.935,11.17,Feuil1
Kef,46.5,55.1,54.7,68.1,76.2,81.3,66.4,76.0,78.0,65.0,72.0,82.2,84.2,74.5,69.0,49.7,62.8,70.06,69.9,70.85,71.1,67.05,70.06,99.14,76.35,63.5,72.71,381.75999999999993,86.1,107.6,123.5,118.9,119.98,121.86,125.82,127.12,124.85,127.77,129.69,130.315,135.3,139.0,Feuil1
Siliana,34.5,25.6,43.5,38.1,45.7,39.6,36.7,44.0,49.9,39.8,46.8,39.0,54.9,45.0,37.0,37.5,45.5,41.11,48.94,46.84,49.31,45.4,41.48,51.0,45.8,32.78,45.44,216.49999999999997,43.36,49.4,54.3,53.53,54.0,63.0,63.92,60.5,59.3,59.56,62.325,60.425,59.52,66.0,Feuil1
