annee,delegation,superficie_irrigables_ha,superficies_irriguees_ha,superficies_exploitees_ha,feuille
2022,monastir,185,110,24.0,sup_irr_pub
2022,ouardanine,386,385,21.0,sup_irr_pub
2022,sahline,214,235,39.0,sup_irr_pub
2022,zarmdine,111,147,132.0,sup_irr_pub
2022,beni_hassen,515,337,328.0,sup_irr_pub
2022,jemmel,181,181,20.0,sup_irr_pub
2022,bembla,409,409,75.0,sup_irr_pub
2022,moknine,909,844,288.0,sup_irr_pub
2022,bekalta,565,520,218.0,sup_irr_pub
2022,teboulba,755,574,660.0,sup_irr_pub
2022,ksar_hellal,0,0,0.0,sup_irr_pub
2022,ksibet_mediouni,50,27,9.0,sup_irr_pub
2022,sayada_lamta_bouhjar,0,0,0.0,sup_irr_pub
2023,monastir,185,100,39.0,sup_irr_pub
2023,ouardanine,386,380,19.0,sup_irr_pub
2023,sahline,214,200,40.0,sup_irr_pub
2023,zarmdine,111,120,113.0,sup_irr_pub
2023,beni_hassen,515,320,353.0,sup_irr_pub
2023,jemmel,181,181,28.0,sup_irr_pub
2023,bembla,409,409,87.0,sup_irr_pub
2023,moknine,909,820,115.0,sup_irr_pub
2023,bekalta,565,500,317.0,sup_irr_pub
2023,teboulba,755,520,671.0,sup_irr_pub
2023,ksar_hellal,0,0,0.0,sup_irr_pub
2023,ksibet_mediouni,50,20,40.0,sup_irr_pub
2023,sayada_lamta_bouhjar,0,0,0.0,sup_irr_pub
2024,monastir,185,185,9.9,sup_irr_pub
2024,ouardanine,386,386,75.0,sup_irr_pub
2024,sahline,214,214,41.0,sup_irr_pub
2024,zarmdine,111,111,111.0,sup_irr_pub
2024,beni_hassen,515,398,358.0,sup_irr_pub
2024,jemmel,181,181,126.0,sup_irr_pub
2024,bembla,409,409,125.0,sup_irr_pub
2024,moknine,909,820,208.0,sup_irr_pub
2024,bekalta,565,500,123.0,sup_irr_pub
2024,teboulba,755,520,120.0,sup_irr_pub
2024,ksar_hellal,0,0,0.0,sup_irr_pub
2024,ksibet_mediouni,50,20,40.0,sup_irr_pub
2024,sayada_lamta_bouhjar,0,0,0.0,sup_irr_pub
