nom_ar,adresse_ar,telephone,feuille
شركة التطور الفلاحي- نادر الشعلالي,الطريق السياحية – شط مريم – اكودة-سوسة,73327050,Feuil3
مجدي عبد الحميد,شارع فرحات حشاد – سيدي بوعلي – سوسة,97830480,Feuil3
الشركة الفلاحية المحترفة - عزيزة بوقطاية,شارع فرحات حشاد   القلعــــــــــــة الكبرى- سوسة,55099207,Feuil3
هالة بنت محمد الحبيب فراد,شارع فرحات حشاد القلعة الكبرى- سوسة,97227934,Feuil3
سميرة بـــــــــابـــــــــــاي,شارع فرحات حشاد –  القلعــــــــــــة الكبرى - سوسة,52717965,Feuil3
"الشركـــــة التعاونية الأساسية للخدمات الفلاحية "" النجاح""",الشيـاب السد الغربي القلعـــــة الكبرى – سوسة,73385821,Feuil3
شركــــــــــــــة دار الفلاح - عبد المجيد الهيشري,143 شارع الهادي شاكر- بوفيشـــــــــــة- سوســـــــــــــة,73252079/98401226,Feuil3
محمد ابن حنينــــي,23 شارع سيدار سنغور- سوســـــــــــة,73219313/98980680,Feuil3
نور الدين شـــــولاق,شارع الطيب المهيري – بوفيشة - سوسة,73252968/98250489,Feuil3
"الشركـــــة التعاونية الأساسية للخدمات الفلاحية ""التجديد""",نهـــــــج الشهداء   أكــــــــــــــــودة  - سوسة,73356113,Feuil3
ليليــــــــا الزهوانــــــــــي,51 شارع البيئـــــــة – مساكــــــــــــــــــــن – سوسة,73290256/98563518,Feuil3
ناديـــــــــــة العكروت,شارع الإسكندريـــــــة - حمام سوسة- سوسة,97282072,Feuil3
عمر المـــــــــــاجري,22شارع الجمهورية- النفيضـــــــة- سوسة,73381325,Feuil3
شركة الإزدهار الفلاحية عاطف عبد الغني,8 الشياب السد الغربي-  القلعــة الكبرى - سوسة,98503049/73385626,Feuil3
شركة الخدمات الفلاحية عقيد - ناديــة عقيد,نهج أبو حامد الغزالي  بوحسينة - سوسة,94053901/73215499,Feuil3
"الشركة التعاونية الأساسية للخدمات الفلاحية "" الأنصـاري """,شارع الحبيب بورقيبة  سيدي بوعلـــي - سوسة,73247494,Feuil3
"الشركة التعاونية الاساسية للخدمات الفلاحية ""العمل الفلاحي""",شـــارع الهادي شاكر بـوفيشـــــــة  - سوسة,97386466/97386436,Feuil3
"الشركـــــة التعاونية الأساسية للخدمات الفلاحية – ""الوفـــــاء""",شارع البيئـــة –  النفيضـة -سوسة,96323451,Feuil3
شركة العيوني لبيع وتوزيع المستلزمات الفلاحية,أولاد العذاري- شط مريم- سوسة,22814666,Feuil3
نور الدين شـــــــــولاق,شارع الحبيب بورقيبة- سيدي بوعلـــــــي- سوسة,73247773/98250489,Feuil3
شركة حماية الفلاحة منير الشـريف,شارع القاهرة –  طريق مساكن – الزاوية – سوسة,98476049/73322820,Feuil3
مؤسسة البذرة  أنعام بن سالم,شارع الإستقــــــــلال –سيدي بوعلــــــــي – سوسة,0,Feuil3
أسماء مليكة,شارع شوكة العراسة- حمام سوسة,21980941,Feuil3
شركة المصرف الوطني للتجارة  مروان بلعيد,شارع فرحات حشاد- القلعة الكبرى- سوسة,73354244,Feuil3
شركة مروى المطيري,بوفيشة,22893700/98726021,Feuil3
شركة صفوان بن موسى,عمارة الأندلسي الطريق السياحية أولاد سوقير- شط مريم - أكودة- سوسة,29016612/97787893,Feuil3
