ctv,telephone,gps,feuille
Tataouine nord,75861565,"32.927232752838115, 10.44906513113234",Feuil1
Tataouine sud,75851034,"32.927232752838115, 10.44906513113234",Feuil1
Smar,75886529,"32.99358193295737, 10.816594853062345",Feuil1
Beni mhira,75884627,"32.87227703170058, 10.833234635431221",Feuil1
Remada,75867036,"32.32037253203283, 10.39810427101247",Feuil1
Dehiba,75864087,"32.010564937676534, 10.698165635430021",Feuil1
Bir lahmer,75848092,"33.18754107050895, 10.443158853570912",Feuil1
Ghomarassen,75869087,"33.06926246692101, 10.322253364267464",Feuil1
