annee,production_proposee_m3,volume_vendu_m3,valeur_dinars,feuille
2000,326262,247603.0,3112395.0,Feuil1
2001,394638,245381.0,3167046.0,Feuil1
2002,458628,334109.0,4075572.0,Feuil1
2003,253407,243107.0,3332342.0,Feuil1
2004,214850,213033.0,5421299.0,Feuil1
2005,251507,251507.0,6450534.0,Feuil1
2006,256759,191722.72,4209897.867,Feuil1
2007,197602,141622.176,3065819.923,Feuil1
2008,398278,333746.438,6934456.004,Feuil1
2009,230029,207421.526,4690368.92,Feuil1
2010,301018,171531.324,4752342.666,Feuil1
2011,164205,13759.407,180178.624,Feuil1
2012,293240,190956.674,3343427.58,Feuil1
2013,373878,285680.436,6842345.318,Feuil1
2014,223112,147169.569,4125764.904,Feuil1
2015,380206,293647.337,6069701.688,Feuil1
2016,239437,134853.0,3868365.0,Feuil1
2017,326768,161192.0,3510037.0,Feuil1
2018,378090,317356.0,8766637.0,Feuil1
2019,380771,76191.0,4113892.0,Feuil1
2020,369744,248511.0,7812438.0,Feuil1
