type,صيد_ساحلي,صيد_بالجر_القاعي,صيد_بالجر_العايم,صيد_السمك_الازرق,صيد_التنيات,تربية_الاحياء_المايية,الصيد_بالبحيرات,feuille
2008,6062,4657,1365.0,1466,4133,7402,6803.0,Feuil3
2009,6158,4794,1240.0,1498,6743,5751,8457.0,Feuil3
2010,5853,4944,1484.0,1608,6762,6964,8455.0,Feuil3
2011,5384,4976,1593.0,1664,6478,7906,7099.0,Feuil3
2012,5424,4750,2381.0,1958,5480,7737,6927.0,Feuil3
2013,6055,5170,2025.0,2046,11708,7653,7688.0,Feuil3
2014,6713,5903,2469.0,2242,19236,8488,7759.0,Feuil3
2015,7460,6796,2117.0,2500,18282,8711,9470.0,Feuil3
2016,7862,7620,2739.0,2507,28299,10923,9300.0,Feuil3
2017,8987,9943,2614.0,3609,30002,10479,9386.0,Feuil3
2018,10386,11213,,4931,30000,11182,11606.0,Feuil3
2019,9024,11655,,4368,30000,14105,12437.0,Feuil3
2020,9454,16822,,4301,48008,14333,14636.0,Feuil3
2021,8500,15579,,4706,48004,14667,,Feuil3
