societe,delegation,secteur,date_de_creation,superficie_hectares,feuille
شركة الاحياء والتنمية الفلاحية برج شاكير,سيدي حسين,عمادة برج شاكير,1996.0,468.5,smvda-_tunis
شركة الاحياء والتنمية الفلاحية العطار,سيدي حسين,عمادة العطار,1996.0,299.0,smvda-_tunis
