annee,gouvernorat,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13
2020.0,Zaghouan,645.122,635.638,660.371,598.136,735.111,747.545,784.857,803.524,747.023,712.14,706.948,681.58,Feuil1,,,,,,,,,,,,,
2020.0,Grand Sousse,3177.652,3112.354,3245.278,3305.624,3670.125,3820.578,4212.354,4003.596,3489.712,3402.654,3500.369,3314.568,Feuil1,,,,,,,,,,,,,
2020.0,Moknine,1126.036,998.654,1203.567,1205.647,1352.587,1406.817,1203.478,1202.145,1101.458,1182.654,1125.478,1250.367,Feuil1,,,,,,,,,,,,,
2020.0,Monastir,1390.985,1358.398,1430.749,1404.001,1647.13,1760.927,2033.423,2102.441,1802.657,1757.499,1494.151,1476.21,Feuil1,,,,,,,,,,,,,
2020.0,Mahdia,1812.362,1628.398,1830.258,1780.658,2200.658,2286.159,2793.571,2836.426,2332.886,2203.629,1921.911,1921.287,Feuil1,,,,,,,,,,,,,
2020.0,Kairouan,1729.941,1686.33,1855.785,1841.632,2030.157,2028.203,2106.465,2093.776,1852.033,1513.632,1641.055,1621.196,Feuil1,,,,,,,,,,,,,
2020.0,Kasserine,965.234,982.365,1089.542,1101.357,1185.324,1210.369,1215.365,1113.365,942.687,894.261,917.145,895.692,Feuil1,,,,,,,,,,,,,
2020.0,Grand Sfax,4759.792,4682.964,5074.382,5046.417,5347.389,5429.782,5784.34,5702.541,5308.558,5458.741,5117.498,5213.894,Feuil1,,,,,,,,,,,,,
2020.0,Gafsa,1472.6,1441.8,1516.4,1680.3,1894.4,2154.2,2262.0,2338.5,2241.4,2020.2,1783.7,1591.2,Feuil1,,,,,,,,,,,,,
2020.0,Tozeur,547.201,484.996,555.428,564.179,645.088,696.177,772.797,792.983,738.793,648.961,602.528,558.438,Feuil1,,,,,,,,,,,,,
2020.0,Sidi Bouzid,1112.128,1107.629,1176.639,1179.356,1415.753,1389.321,1513.516,1524.761,1322.008,1286.424,1182.628,1133.611,Feuil1,,,,,,,,,,,,,
2020.0,Gabes,2493.236,2466.262,2565.754,2471.293,2511.102,2728.054,2755.487,2799.412,2769.875,2520.642,2407.35,2402.986,Feuil1,,,,,,,,,,,,,
2020.0,Kebili,752.727,680.948,784.732,813.486,885.926,931.887,987.633,1024.523,944.325,882.626,813.945,791.249,Feuil1,,,,,,,,,,,,,
2020.0,Medenine,1905.739,1865.764,1914.769,1927.928,2024.696,2057.431,2093.933,2041.459,2016.042,2045.898,2044.514,2016.437,Feuil1,,,,,,,,,,,,,
2020.0,Jerba,1468.94,1420.967,1595.98,1564.057,1791.976,1869.951,2139.348,2288.749,1766.18,1775.79,1566.984,1429.324,Feuil1,,,,,,,,,,,,,
2020.0,Tataouine,966.048,930.332,976.331,952.336,972.888,950.921,994.788,1059.866,1020.53,1001.106,964.597,996.311,Feuil1,,,,,,,,,,,,,
2020.0,Coefficient de pointe mensuelle,0.784357216002346,0.7059152184953926,0.7847484638494745,0.8286083701850959,0.8800214687065238,0.9238564355146204,0.9728680951965452,1.0,0.9160907091755872,0.8706315979578011,0.8243208429147739,0.8101640203618926,Feuil1,,,,,,,,,,,,,
2021.0,Bizerte,1560.073,1471.998,1619.519,1598.706,1769.907,1876.466,2301.457,2285.328,1927.921,1889.783,1741.959,1759.97,Feuil1,,,,,,,,,,,,,
2021.0,Ml Bourguiba,549.409,552.548,567.258,565.258,628.43,720.146,798.986,797.874,796.866,792.432,776.314,755.424,Feuil1,,,,,,,,,,,,,
2021.0,Jendouba,1025.3521,1023.7693999999999,1042.4406999999999,1064.1995,1110.8578,1259.84155,1815.27805,1791.22975,1692.4031499999999,1358.386,1378.62765,1356.2333,Feuil1,,,,,,,,,,,,,
2021.0,Le Kef,641.534,621.3,672.876,679.238,736.384,806.108,892.377,943.112,910.081,863.209,749.383,758.229,Feuil1,,,,,,,,,,,,,
2021.0,Siliana,626.193,639.103,657.427,667.652,722.0,754.0,830.0,805.0,756.0,652.55,620.549,601.865,Feuil1,,,,,,,,,,,,,
2021.0,Beja,877.105,823.805,958.709,948.931,1060.468,1320.666,1307.418,1336.863,1323.241,1040.779,953.586,827.105,Feuil1,,,,,,,,,,,,,
2021.0,Nabeul,1673.032,1501.876,1720.059,1691.082,1935.523,2174.994,2503.384,2515.353,1996.989,1892.305,1731.99,1769.392,Feuil1,,,,,,,,,,,,,
2021.0,Ml Temime,604.228,613.426,642.296,819.277,866.173,869.797,961.523,949.723,899.32,741.05,686.003,637.98,Feuil1,,,,,,,,,,,,,
2021.0,Grombalia,987.874,846.803,887.821,935.034,1029.276,1095.948,1207.949,1225.738,1047.954,981.519,936.006,936.274,Feuil1,,,,,,,,,,,,,
2021.0,Zaghouan,665.475,676.475,674.238,619.07,746.137,758.01,808.403,811.559,776.904,742.52,740.321,741.689,Feuil1,,,,,,,,,,,,,
2021.0,Grand Sousse,3718.39,3554.269,3761.323,3615.439,3666.34,3671.022,4025.421,3965.873,3725.984,3364.765,3025.687,3052.647,Feuil1,,,,,,,,,,,,,
2021.0,Moknine,1275.908,1112.103,1346.604,1282.172,1254.338,1225.391,1424.789,1368.947,1198.005,953.258,865.832,800.642,Feuil1,,,,,,,,,,,,,
2021.0,Monastir,1552.592,1476.692,1581.91,1493.116,1600.552,1784.177,1950.914,2102.441,1802.657,1485.066,1370.736,1281.295,Feuil1,,,,,,,,,,,,,
2021.0,Mahdia,1771.865,1811.297,1967.668,2091.688,2302.645,2395.118,2537.976,2465.394,2447.518,1956.7,1837.877,1712.7,Feuil1,,,,,,,,,,,,,
2021.0,Kairouan,1930.928,1833.181,2051.851,2003.972,2054.825,2033.128,2255.746,2248.238,2143.602,1458.236,1354.258,1332.565,Feuil1,,,,,,,,,,,,,
2021.0,Kasserine,1077.376,1067.912,1204.653,1109.706,1113.768,1185.084,1225.647,1250.21,1073.654,825.623,731.564,757.254,Feuil1,,,,,,,,,,,,,
2021.0,Grand Sfax,5230.718003454116,5029.70745490299,5513.409392877024,5444.843002734399,5774.602016852852,5632.76310218712,5694.38802130716,5432.7489456035555,5424.418394955907,5327.2296380081525,5386.714171010313,5445.458209666733,Feuil1,,,,,,,,,,,,,
