annee,source_fr,source_ar,ressources_disponible_mm3_an,quantites_prelevees_mm3_an,nombre_puits_total,nombre_puits_equipes,feuille
2021,Nappes phréatiques,المائدة السطحية,48.1,45.32,6229.0,5576.0,Feuil1
2021,Nappes profondes,المائدة العميقة,227.2,159.68,282.0,272.0,Feuil1
2021,Eaux de ruissellement,مياه السيلان,26.0,6.0,,,Feuil1
2021,Eaux usées,المياه المطهرة,11.6,2.6,,,Feuil1
2022,Nappes phréatiques,المائدة السطحية,48.1,45.32,6229.0,5576.0,Feuil1
2022,Nappes profondes,المائدة العميقة,227.2,159.68,282.0,272.0,Feuil1
2022,Eaux de ruissellement,مياه السيلان,26.0,6.0,,,Feuil1
2022,Eaux usées,المياه المطهرة,11.6,2.6,,,Feuil1
2023,Nappes phréatiques,المائدة السطحية,48.1,46.86,6442.0,5727.0,Feuil1
2023,Nappes profondes,المائدة العميقة,227.2,155.26,286.0,257.0,Feuil1
2023,Eaux de ruissellement,مياه السيلان,26.0,6.0,,,Feuil1
2023,Eaux usées,المياه المطهرة,11.6,2.6,,,Feuil1
2024,Nappes phréatiques,المائدة السطحية,48.1,47.86,,,Feuil1
2024,Nappes profondes,المائدة العميقة,227.2,161.52,6577.0,5833.0,Feuil1
2024,Eaux de ruissellement,مياه السيلان,26.0,6.0,286.0,258.0,Feuil1
2024,Eaux usées,المياه المطهرة,11.6,2.6,,,Feuil1
