annee,ressources,salinite_g_l,ressources_mobilisables_m_m3,ressources_mobilises_m_m3,ressources_exploites_m_m3,taux_mobilisation,unnamed_7,feuille
2023.0,المائدة السطحيـة,"0,8 3,0إلى",25.09,25.09,25.09,105.0,,Feuil1
2023.0,المائدة العميقـة,"0,8 3,0إلى",53.9,53.9,36.7,70.0,,Feuil1
2023.0,مياه السيـلان,"1,5إلى  4",235,111.24,48.723,47.33,,Feuil1
2023.0,المياه المستعملة المعالجة,,4,1.8,,45.0,,Feuil1
2024.0,المائدة السطحيـة,"0,8 3,0إلى",25.09,25.09,26.4,100.0,,Feuil1
2024.0,المائدة العميقـة,"0,8 3,0إلى",53.9,53.9,43,100.0,,Feuil1
2024.0,مياه السيـلان,"1,5 إلى 4",235(*),"111,24(**)","48,723(***)",47.0,,Feuil1
2024.0,المياه المستعملة المعالجة,,4,1.8,,45.0,,Feuil1
2024.0,كامـل الولايـة,,317.99,192.03,"118 ,123",60.0,,Feuil1
,,,,,,,,Feuil1
,,,,,,,"(*) ملاق :180م,م3   -    تاسة : 45 م,م3   -   رمل +عنق:10 م,م3",Feuil1
,,,,,,,"(**) بحيرات جبلية :4,74م,م3 -    سدود تلية 25,5 م,م3      -",Feuil1
,,,,,,,"(***)ضخ على الأودية :3م,م3-  المناطق السقوية :1,423م,م3  -  انتاج الكهرباء""44,3م,م3",Feuil1
