annee,delegation,nombre,capacite_en_tonnes,feuille
2021,Jendouba,4.0,3000.0,frigorifique
2021,Jendouba Nord,1.0,600.0,frigorifique
2021,bousalem,5.0,3800.0,frigorifique
2021,Ghardimaou,1.0,600.0,frigorifique
2021,Oued Mliz,5.0,3580.0,frigorifique
2022,Jendouba,,,frigorifique
2022,Jendouba Nord,,,frigorifique
2022,bousalem,,,frigorifique
2022,Ghardimaou,,,frigorifique
2022,Oued Mliz,,,frigorifique
2023,Jendouba,6.0,3940.0,frigorifique
2023,Jendouba Nord,2.0,750.0,frigorifique
2023,bousalem,5.0,4200.0,frigorifique
2023,Ghardimaou,1.0,600.0,frigorifique
2023,Oued Mliz,4.0,2100.0,frigorifique
2024,Jendouba,6.0,3940.0,frigorifique
2024,Jendouba Nord,2.0,750.0,frigorifique
2024,bousalem,5.0,4200.0,frigorifique
2024,Ghardimaou,2.0,640.0,frigorifique
2024,Oued Mliz,4.0,2100.0,frigorifique
