annee,delegation,arboriculture,cultures_industrielles,maraichage,olives,fourrages,legumineuses,cerealicultures,feuille
2022,NABEUL,6727.0,28.0,8255.0,1847,2165,12.0,726.0,Feuil1
2022,DAR CHAABANE EL FEHRI,10229.0,13.0,16289.0,1451,735,11.2,1387.0,Feuil1
2022,BENI KHIAR,19405.0,19.0,30166.0,4437,1810,13.0,1321.0,Feuil1
2022,KORBA,21920.0,1030.0,131059.1857225769,5410,11188,108.0,13065.0,Feuil1
2022,EL MIDA,2871.0,750.0,110812.0,1617,15705,192.0,11270.0,Feuil1
2022,MENZEL TEMIME,3304.0,2494.0,70366.0,3100,55812,1965.0,16755.0,Feuil1
2022,KELIBIA,2648.0,1405.0,33907.030179918744,985,25826,588.0,10398.0,Feuil1
2022,HAMMAM EL GUEZAZ,1502.0,1634.0,78496.0,595,14224,208.0,3038.0,Feuil1
2022,EL HAOUARIA,8187.0,8175.0,156575.0,2977,85320,656.0,13523.0,Feuil1
2022,TAKILSA,27131.0,65.0,28628.015089959372,4111,13390,406.0,7830.0,Feuil1
2022,SOLIMAN,40001.0,5.0,35468.0,1318,3580,17.0,2890.0,Feuil1
2022,MENZEL BOUZELFA,52156.0,567.4,2623.0,1223,16376,284.0,7420.0,Feuil1
2022,Beni Khalled,76104.0,,13279.007544979686,2493,4572,56.0,1377.0,Feuil1
2022,GROMBALIA,37340.0,44.0,9548.603017991874,6085,9927,316.0,13153.0,Feuil1
2022,BOUARGOUB,59720.0,5.0,25032.0,4825,4500,127.0,2386.0,Feuil1
2022,HAMMAMET,31786.0,1.0,9630.0,17996,11950,205.0,6690.0,Feuil1
2023,NABEUL,5921.0,24.0,7767.0,1706,3200,12.0,31.0,Feuil1
2023,DAR CHAABANE EL FEHRI,8453.5,13.0,22538.0,1372,0,10.0,87.0,Feuil1
2023,BENI KHIAR,15984.5,19.0,34265.0,4097,0,10.0,72.0,Feuil1
2023,KORBA,18359.0,1066.0,120534.0,7133,8760,45.0,1860.0,Feuil1
2023,EL MIDA,3220.4,760.0,108626.0,2154,8403,119.5,3156.0,Feuil1
2023,MENZEL TEMIME,3635.0,2509.0,49886.0,3488,31378,709.5,2518.0,Feuil1
2023,KELIBIA,2110.0,1150.0,24640.0,1070,9405,435.9,4442.0,Feuil1
2023,HAMMAM EL GUEZAZ,2638.0,1600.0,84990.51999999999,858,4749,279.5,1492.0,Feuil1
2023,EL HAOUARIA,7471.0,6980.0,174340.0,3376,45610,649.5,7256.0,Feuil1
2023,TAKILSA,23735.0,78.0,16710.0,5639,7435,343.0,3934.0,Feuil1
2023,SOLIMAN,37333.0,5.0,37668.0,1512,1000,20.0,715.0,Feuil1
2023,MENZEL BOUZELFA,41700.0,645.0,2730.0,1359,4690,122.0,2174.0,Feuil1
2023,Beni Khalled,63129.0,0.0,6223.0,3314,1010,12.0,300.0,Feuil1
2023,GROMBALIA,40838.0,120.0,7364.0,6692,1020,21.0,1039.5,Feuil1
2023,BOUARGOUB,56672.0,30.0,46241.0,4156,1000,53.0,224.0,Feuil1
2023,HAMMAMET,25338.2,1.0,11746.0,14586,1100,36.0,319.0,Feuil1
