annee,usage,code_district,domestique_branche,domestique_non_branche,commerce,administration,municipal,industrie,tourisme,divers,feuille
2007,Bizerte,45,9152.219000000001,189.86700000000002,234.41199999999998,1339.7329999999997,207.32799999999997,1194.5900000000001,156.13299999999998,170.14,Consommation par usage
2007,M. Bourguiba,46,3247.823,36.566,81.858,381.73999999999995,81.839,497.919,0.378,23.943,Consommation par usage
2007,Jendouba,5,5028.639999999999,137.788,201.95999999999998,769.002,172.204,171.5,401.35100000000006,14.852,Consommation par usage
2007,Le Kef,8,3586.8899999999994,319.437,189.89000000000001,385.449,75.232,63.598,11.638,5.781,Consommation par usage
2007,Siliana,24,2731.9909999999995,188.43099999999998,127.889,325.951,97.328,31.329,1.437,5.882999999999999,Consommation par usage
2007,Beja,1,4849.933000000001,627.8620000000001,199.61999999999998,633.3910000000001,130.677,736.418,8.23,56.684,Consommation par usage
2007,Nabeul,48,9638.956,526.8199999999999,506.634,569.188,235.92700000000002,735.0010000000001,3962.9539999999997,48.047000000000004,Consommation par usage
2007,M. Temime,49,3934.597,246.26,126.332,159.767,53.147999999999996,190.69299999999998,77.521,1.391,Consommation par usage
2007,Grombalia,52,4324.395,95.832,312.089,490.06600000000003,86.645,1541.93,33.753,21.74,Consommation par usage
2007,Zaghouan,13,2809.826,20.278,138.622,320.397,82.828,462.23100000000005,0.0,15.495999999999999,Consommation par usage
2007,Sousse,36,12643.182999999999,79.429,466.60900000000004,1155.667,363.484,1263.345,1540.0610000000001,46.912,Consommation par usage
2007,H. Sousse,37,6883.763000000001,69.269,230.902,251.997,215.898,377.551,1521.76,55.499,Consommation par usage
2007,Moknine,42,6773.243,0.768,98.51400000000001,196.393,82.882,1492.035,10.962,4.163,Consommation par usage
2007,Monastir,44,7826.624000000001,3.286,270.342,721.659,233.558,1363.13,2181.4089999999997,27.366,Consommation par usage
2007,Mahdia,22,9031.659,833.7090000000001,315.068,609.1750000000001,162.421,859.184,859.259,55.901,Consommation par usage
2007,Kairouan,6,6467.585,207.007,166.339,883.432,204.758,171.67200000000003,32.357,8.672,Consommation par usage
2007,Kasserine,7,3936.594,87.096,197.282,662.701,165.13400000000001,157.613,20.811,3.503,Consommation par usage
2007,Sfax,32,8751.977,37.789,354.35200000000003,1246.247,534.26,1210.829,148.358,24.325999999999997,Consommation par usage
2007,Sfax Nord,33,8423.796999999999,536.324,121.74000000000001,281.254,107.758,683.2750000000001,5.5329999999999995,168.776,Consommation par usage
2007,Sfax Sud,34,6887.772,985.718,85.311,466.581,80.88,923.117,44.668000000000006,53.486999999999995,Consommation par usage
2007,Gafsa,4,6909.222000000001,85.961,186.67000000000002,735.982,185.40800000000002,88.223,29.852,4.911,Consommation par usage
2007,Tozeur,31,2718.071,1.974,99.565,221.99400000000003,94.683,22.9,298.346,25.42,Consommation par usage
2007,Sidi Bouzid,21,3623.285,306.489,169.623,416.284,94.631,62.652,0.667,167.293,Consommation par usage
2007,Gabes,3,8883.541,416.634,202.03300000000002,741.7729999999999,263.362,8351.417,63.309,39.48899999999999,Consommation par usage
2007,Kebili,28,3878.284,0.0,56.572,240.95499999999998,57.8,11.709,80.057,6.357000000000001,Consommation par usage
2007,Medenine,9,5928.7080000000005,437.029,163.33499999999998,974.5409999999999,123.98499999999999,214.05,530.615,20.264,Consommation par usage
2007,Jerba,53,5232.514,1.576,343.26000000000005,331.729,176.458,47.2,4621.357,17.822,Consommation par usage
