code,produits,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,feuille
10110,Chevaux reproducteurs de race pur (1)*,0,0,0,82569,76746,0,0,121300,345616,845683,2567771,547171,495544,644500,0,0,0,0,0,Feuil1
10111,Chevaux reproducteurs de race pur *,80761,28589,26910,121925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10119,Autres chevaux non reproducteurs de race pure destines a la boucherie*,58450,3000,3100,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10120,"Anes,mulets et bardots",1500,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10121,Animaux du genre buffle reproducteur de race pure,0,0,0,0,0,0,0,0,0,0,0,0,0,1707737,2568641,2092064,1372031,1252335,1036838,Feuil1
10129,"Autres Chevaux, ânes, mulets et bardots, vivants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8200,0,319492,0,0,Feuil1
10190,Autres chevaux non reproducteurs de race pure destines a la boucherie*,0,0,0,27060,48350,4693,2282,4090,450861,20548,167500,41911,0,1479,0,0,2000,0,0,Feuil1
10210,Animaux vivants de l'espèce bovine reproducteurs de race pure,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10410,Animaux vivants des espèces ovine ou caprine de l'espèce ovine,0,0,0,0,0,0,0,0,0,0,0,0,10500,0,0,0,0,0,0,Feuil1
10511,"Coqs,poules,canards,oies,dindons,dindes et pintades,vivants,des espèces domestiques:d'un poids n'excédant pas 185g:coqs et poules*",0,0,1748385,334220,59964,0,0,0,0,0,0,0,147478,0,0,0,15000,0,0,Feuil1
10512,"Coqs,poules,canards,oies,dindons,dindes,et pintades,vivants,des espèces domestiques dindes et dindons*",0,0,0,0,0,0,0,0,0,0,0,38658,13357,0,0,0,0,0,0,Feuil1
10592,"Coqs,poules,canards,oies,dindons,dindes et pintades,vivants,des espèces domestiques d'un poids n'excédant pas 2000g;autres*",0,56672,5866809,0,191400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10594,Autres coqs et poules,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,Feuil1
10600,Autres animaux vivants,921,7939,31434,10933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10612,Autres animaux vivants mammifères baleines dauphins lamantins et dugongs*,0,0,0,0,0,0,0,0,0,0,0,0,0,200082,0,0,0,916000,0,Feuil1
10614,Lapins et lièvres,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,108,0,0,0,Feuil1
10619,Autres animaux vivants mammifères autres*,0,0,0,0,0,0,250,2620,57531,0,0,6289,0,0,0,1900,0,0,0,Feuil1
10620,Autres animaux vivants reptiles*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198450,112653,0,0,Feuil1
