annee,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,ann_2020,ann_2021,ann_2022,ann_2023,feuille
janvier,38.7,33.3,32.7,37.4,38.4,42.4,39.4,44.1,46.7,47.8,52.1,55.6,51.8,53.0,55.4,51.4,46.2,Feuil1
fevrier,33.5,25.7,31.5,33.8,33.7,41.6,38.4,39.9,43.4,49.5,47.5,47.7,44.9,47.1,47.3,47.7,46.8,Feuil1
mars,32.7,33.0,32.9,35.5,42.3,44.9,39.1,41.1,49.4,52.0,52.7,55.8,48.4,66.5,59.2,54.7,52.1,Feuil1
avril,31.9,33.5,34.0,37.0,38.5,40.1,40.7,46.3,45.2,50.3,51.4,56.0,56.0,57.8,52.3,45.9,,Feuil1
mai,32.3,32.4,36.9,36.1,40.5,45.7,41.7,45.9,51.5,57.0,62.3,54.7,45.2,39.4,49.0,51.4,,Feuil1
juin,30.4,32.6,29.8,34.6,41.4,44.3,40.6,53.1,50.5,46.4,42.2,45.5,43.9,48.8,50.5,47.7,,Feuil1
juillet,30.7,32.2,29.7,32.9,47.0,47.7,48.2,39.4,40.5,46.7,51.3,47.2,50.8,49.7,52.3,48.5,,Feuil1
aout,33.5,44.2,39.6,37.2,37.2,39.0,41.3,49.9,47.1,55.7,51.6,43.6,50.0,52.4,50.5,50.3,,Feuil1
septembre,35.7,34.0,32.0,34.2,39.8,43.4,43.0,51.3,47.6,53.0,52.4,49.8,48.4,52.1,52.9,46.2,,Feuil1
octobre,33.2,37.1,34.0,37.1,43.1,40.3,42.3,47.7,51.8,50.4,51.2,47.1,49.7,55.3,51.9,45.1,,Feuil1
novembre,31.8,32.0,33.3,36.2,34.9,38.5,43.3,48.0,48.0,54.1,52.5,46.4,50.3,50.0,50.6,41.2,,Feuil1
decembre,31.2,31.4,34.0,35.7,38.1,40.1,44.7,46.5,49.2,51.1,49.4,45.7,50.5,52.8,51.6,43.4,,Feuil1
