الميناء,جانفي,فيفري,مارس,افريل,ماي,جوان,جويلية,اوت,سبتمبر,اكتوبر,نوفمبر,ديسمبر,feuille
طبرقة,40092.0,69499.0,102011.0,235727.0,190739.0,169718.0,152079.0,96764.0,89368.0,46805.0,33566.0,23027.0,ص س 2017
زوارع,62906.0,113103.0,38368.0,44872.0,48252.0,86592.0,86379.0,88253.0,95850.0,98520.0,62409.0,64624.0,ص س 2017
بنزرت,79695.0,475437.0,511561.0,617416.0,585561.0,893509.0,849729.0,1363558.0,440735.0,388682.0,377304.0,196393.0,ص س 2017
سيدي مشرق,0.0,0.0,4260.0,70453.3,96858.2,102183.2,64813.06,101550.34,47342.8,18279.66,20433.8,0.0,ص س 2017
كاب زبيب,20604.82,0.0,35123.7,0.0,230464.58,126404.14,85627.42,56596.94,39271.52,50715.3,54457.0,13521.24,ص س 2017
رفراف,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ص س 2017
غار الملح,57375.1,108774.84,36536.6,73803.08,389974.6,253600.64,80455.78,94228.36,99233.86,188533.4,228229.5,94366.1,ص س 2017
قلعة الأندلس,0.0,13945.81958,31227.21906,104304.6768,147100.6356,168512.8149,148449.6355,104611.3968,42061.81873,33084.579,6247.999811,31220.11906,ص س 2017
رواد,0.0,6310.479809,13204.5796,33057.599,54498.17835,39278.61881,44420.43866,40072.39879,15202.51954,13880.19958,5975.359819,28709.55913,ص س 2017
حلق الوادي,86156.0,46458.0,204845.0,7385.0,309716.2,218495.40000000002,21555.6,123241.8,61542.799999999996,116326.4,81678.4,102808.0,ص س 2017
قمرت والمرسى,22000.0,29000.0,25000.0,26000.0,33000.0,45000.0,43000.0,65000.0,60000.0,50000.0,43000.0,37000.0,ص س 2017
سيدي بو سعيد,53000.0,54000.0,51000.0,44000.0,55000.0,77000.0,76000.0,92000.0,81000.0,71000.0,87000.0,69000.0,ص س 2017
خير الدين وصلامبو,12000.0,20000.0,19000.0,16000.0,19000.0,26000.0,33000.0,43000.0,39000.0,26000.0,33000.0,26000.0,ص س 2017
ولاية بن عروس,150312.68,148709.5,127329.97999999998,144527.6,169648.81779,185845.34000000003,163690.5,211832.76,153024.88,140526.04,167347.0,137399.2,ص س 2017
قليبية,234926.22,260737.56,376461.88,1127275.52,1199550.68,827286.32,1977971.96,1881392.08,445811.84,415619.8,243781.34,430992.72,ص س 2017
سليمان,221136.6,312990.72,380706.26,294077.74,362276.08,327153.8,236447.04,217054.1,423912.6,480119.04,290608.68,436784.9,ص س 2017
سيدي داود,192694.0,402712.0,196031.0,159253.0,391068.0,24607.0,280237.0,304945.0,646526.0,490752.0,487344.0,207959.0,ص س 2017
الحمامات وبني خيار,59235.3,135042.0,122311.7,22173.3,175043.4,157776.2,82281.9,178728.3,193659.6,413880.3,177409.12,67573.54,ص س 2017
الهوارية,40555.2,25481.9,3829.74,27574.98,20805.84,39547.0,17660.54,37189.8,11274.8,11327.34,10358.9,12609.6,ص س 2017
سوسة,295230.78,308520.56,397658.22,574404.2,696125.18,478390.9,636743.62,633825.52,501181.9,461372.2,535003.46,561778.98,ص س 2017
السلوم,11928.0,19028.0,11786.0,15637.04,17040.0,25276.0,16770.2,56203.6,21981.6,11558.8,29081.6,17281.4,ص س 2017
هرقلة,43849.6,24850.0,37005.2,34761.6,62607.8,122361.4,82360.0,149597.0,232667.0,82587.2,88380.8,68145.8,ص س 2017
القنطاوي,17409.2,37005.2,13234.4,25986.0,28684.0,33441.0,40214.4,64411.2,58958.4,35585.2,37232.4,35123.7,ص س 2017
