annee,2001_prix_eur,2002_prix_eur,2003_prix_eur,2004_prix_eur,2005_prix_eur,2006_prix_eur,2007_prix_eur,2008_prix_eur,2009_prix_eur,2010_prix_eur,2011_prix_eur,2012_prix_eur,2013_prix_eur,2014_prix_eur,2015_prix_eur,2016_prix_eur,2017_prix_eur,2018_prix_eur,2019_prix_eur,feuille
Janvier,,117.5,137.9,,118.235,114.72,112.0,167.5,143.89542708266734,105.0,,,189.0,170.0,115.0,,148,0.0,0.0,Prix-Eur-tonne
Février,136.8434160891839,136.8659692142615,129.0,,,114.19,112.75316455696202,195.0,128.0,106.76838571146041,139.43720843991386,,168.0,,150.0,140.0,140,140.0,0.0,Prix-Eur-tonne
Mars,134.81640383850853,142.60758660853847,133.0,,,,118.0,194.58975430889413,,100.75228511735709,135.72503708795546,144.0,168.0,,136.36,125.5,138,151.5,160.5,Prix-Eur-tonne
Avril,123.9003613684808,141.22922564431548,123.0,,116.06487576951186,,119.2448132780083,,,96.0,150.0,168.0,,,,140.0,0,143.0,151.0,Prix-Eur-tonne
Mai,133.24782055938977,,115.5,,115.0,,121.0,,,90.0,,150.0,169.29,,,128.5,0,147.5,162.0,Prix-Eur-tonne
Juin,123.83074255953458,134.22530052301394,113.0,,,,,,,108.83560394716646,,,,168.0,155.0,134.891,134,145.0,,Prix-Eur-tonne
Juillet,115.17982028041892,,,,116.25331856980465,112.4,124.0,199.21889547668448,118.41463414634147,95.0,157.0,176.0,,,,,128,0.0,,Prix-Eur-tonne
Août,,131.3818163889163,,,115.70967741935483,,130.0,190.0,125.0,113.0,,,168.0,156.33,140.5,129.42,0,0.0,,Prix-Eur-tonne
Septembre,,131.60933518393284,105.54,114.0,,107.79,138.0,,,114.1116825618748,,,150.0,,,126.0,130,0.0,,Prix-Eur-tonne
Octobre,117.0,133.0,,,116.69325281393591,110.28825021132714,137.70219110592507,196.0,103.53769032258064,118.61983707746927,153.0942297511911,,,,,138.0,0,0.0,,Prix-Eur-tonne
Novembre,125.0,131.8964781216649,,115.0,100.20578147966683,111.75,,,113.0,130.09196996181754,136.0,,,156.0,201.43,,0,0.0,,Prix-Eur-tonne
Décembre,117.5,132.1141304347826,106.34,117.38973355541852,,98.0883218842002,137.69484047816002,196.0,105.0,,167.0,191.01,170.0,137.0,147.03,,139,0.0,,Prix-Eur-tonne
