unnamed_0,unnamed_1,unnamed_2,unnamed_3,unnamed_4,feuille
,,,,,Feuil1
campagne-agticole,,,,,Feuil1
2005-2006,645000.0,465000.0,1700000.0,715000.0,Feuil1
2006-2007,832000.0,558000.0,2370000.0,612000.0,Feuil1
2007-2008,643590.0,483180.0,1874100.0,1071540.0,Feuil1
2008-2009,887000.0,523000.0,2141000.0,914000.0,Feuil1
2009-2010,596200.0,424100.0,1618000.0,1063249.0,Feuil1
2010-2011,596139.0,424063.0,2678569.0,893305.0,Feuil1
2011-2012,824912.0,492456.0,2128453.0,719441.0,Feuil1
2012-2013,655284.0,487731.0,2374385.0,580000.0,Feuil1
2013-2014,949374.0,572800.0,2817101.0,811000.0,Feuil1
2014-2015,821000.0,523000.0,1700000.0,639102.0,Feuil1
2015-2016,680000.0,466000.0,1900000.0,871000.0,Feuil1
2016-2017,836225.0,517633.0,2370245.0,439000.0,Feuil1
2017-2018,650000.0,485000.0,1700000.0,421000.0,Feuil1
2018-2019,990887.0,490558.0,1969825.0,367000.0,Feuil1
2019-2020,717000.0,345000.0,1500000.0,394000.0,Feuil1
2020-2021,790000.0,380000.0,1900000.0,368300.0,Feuil1
2021-2022,765000.0,407000.0,1900000.0,461000.0,Feuil1
2022-2023,297000.0,245000.0,1145000.0,376000.0,Feuil1
2023-2024,613000.0,322000.0,1407000.0,457000.0,Feuil1
2024-2025,895000.0,434000.0,1870000.0,344000.0,Feuil1
