annee,delegation,cereales_qx,fourrages_tonne,cultures_maraicheres_tonne,cultures_industrielles_qx,legumineuses_qx,semences_fourrages_qx,feuille
2021,بنزرت الشمالية,13000,4000.0,2750,0,2500,1050.0,Feuil1
2021,بنزرت الجنوبية,241800,40500.0,25000,4800,28000,0.0,Feuil1
2021,جرزونة,0,0.0,0,0,0,0.0,Feuil1
2021,منزل جميل,37500,14000.0,38500,0,5100,1000.0,Feuil1
2021,منزل بورقيبة,156000,25000.0,4500,3200,18750,5000.0,Feuil1
2021,تينجة,42800,5000.0,1250,800,6250,3150.0,Feuil1
2021,ماطر,585000,135800.0,7000,22400,58500,16800.0,Feuil1
2021,غزالة,299000,35000.0,26500,0,1250,6000.0,Feuil1
2021,جومين,546000,145200.0,3850,6400,60750,12600.0,Feuil1
2021,سجنان,34000,35000.0,29000,0,3750,1000.0,Feuil1
2021,العالية,75000,35000.0,40500,800,13500,3150.0,Feuil1
2021,رأس الجبل,37500,15000.0,51000,0,3750,1050.0,Feuil1
2021,غار الملح,32000,12000.0,54500,0,3900,1000.0,Feuil1
2021,أوتيك,351000,82500.0,24130,1600,14000,4200.0,Feuil1
2021,مجموع الولاية,2450600,584000.0,308480,40000,220000,56000.0,Feuil1
2022,بنزرت الشمالية,13500,4000.0,2787,0,2500,,Feuil1
2022,بنزرت الجنوبية,246400,40500.0,25800,4500,26200,,Feuil1
2022,جرزونة,0,0.0,0,0,0,,Feuil1
2022,منزل جميل,40500,5200.0,39500,0,4500,,Feuil1
2022,منزل بورقيبة,162000,23400.0,4600,3500,29000,,Feuil1
2022,تينجة,51300,13000.0,1280,0,7500,,Feuil1
2022,ماطر,562500,133200.0,7227,24310,41400,,Feuil1
2022,غزالة,310500,3735.0,27360,2040,17400,,Feuil1
2022,جومين,546000,143265.0,3975,21800,40500,,Feuil1
2022,سجنان,40500,32000.0,29940,300,6200,,Feuil1
2022,العالية,81000,31500.0,41800,200,15500,,Feuil1
2022,رأس الجبل,40500,14500.0,52700,0,5100,,Feuil1
2022,غار الملح,35100,12000.0,54500,0,3700,,Feuil1
2022,أوتيك,364500,71000.0,24900,1700,13500,,Feuil1
2022,مجموع الولاية,2494300,527300.0,316369,58350,213000,,Feuil1
2023,بنزرت الشمالية,6600,4079.9999999999995,842,0,2300,,Feuil1
2023,بنزرت الجنوبية,146400,38250.0,12830,3100,23900,,Feuil1
2023,جرزونة,0,0.0,0,0,0,,Feuil1
2023,منزل جميل,30700,14279.999999999998,24870,0,4200,,Feuil1
2023,منزل بورقيبة,146600,25400.0,960,3500,27000,,Feuil1
2023,تينجة,12650,5100.0,980,0,7500,,Feuil1
2023,ماطر,324600,112200.00000000001,1000,23600,38200,,Feuil1
2023,غزالة,168700,35700.0,17300,1850,17600,,Feuil1
2023,جومين,335300,121500.0,1700,19350,39600,,Feuil1
2023,سجنان,30150,24500.0,21871,145,6400,,Feuil1
2023,العالية,61000,37450.0,29600,200,16400,,Feuil1
2023,رأس الجبل,28100,15100.0,39870,0,0,,Feuil1
2023,غار الملح,25950,12840.0,43830,0,3700,,Feuil1
2023,أوتيك,199450,87200.0,15200,1700,13200,,Feuil1
2023,مجموع الولاية,1516200,533600.0,210853,53445,200000,,Feuil1
