inv_declare,nbr_adi,nbr_emploi_pervu,mois,gouvernorat,feuille
2768448,14,29,1,باجة,SQL Results
96889,3,3,1,تطاوين,SQL Results
887669,15,37,1,بنزرت,SQL Results
895861,9,17,1,القصرين,SQL Results
1928894,18,129,1,القيروان,SQL Results
2911318,11,92,1,بن عروس,SQL Results
104000,2,4,1,تــونس,SQL Results
3454960,60,42,1,الكاف,SQL Results
1838019,6,10,1,منــوبة,SQL Results
2703389,15,2,1,جندوبة,SQL Results
590000,2,10,1,توزر,SQL Results
1116224,10,10,1,نابل,SQL Results
9382100,6,45,1,سوسة,SQL Results
5453000,22,60,1,المهدية,SQL Results
1131322,14,14,1,قفصة,SQL Results
1456000,38,8,1,سليانة,SQL Results
244387,3,4,1,أريانة,SQL Results
992141,22,11,1,قابس,SQL Results
1814530,23,24,1,مدنين,SQL Results
3315227,38,26,1,صفاقس,SQL Results
539223,10,8,1,قبلي,SQL Results
9006901,73,81,1,سيدي بوزيد,SQL Results
7530466,28,75,1,المنستير,SQL Results
499532,6,4,1,زغوان,SQL Results
3532935,35,42,2,صفاقس,SQL Results
1673920,10,15,2,باجة,SQL Results
16641179,60,103,2,سيدي بوزيد,SQL Results
990113,19,36,2,زغوان,SQL Results
613556,9,9,2,تــونس,SQL Results
3670500,28,40,2,المهدية,SQL Results
1323252,10,21,2,تطاوين,SQL Results
1424044,34,36,2,الكاف,SQL Results
6712450,62,114,2,نابل,SQL Results
477852,4,2,2,أريانة,SQL Results
2788424,23,28,2,القيروان,SQL Results
766346,9,10,2,سوسة,SQL Results
2550830,22,316,2,جندوبة,SQL Results
255919,2,2,2,توزر,SQL Results
5394415,37,93,2,بنزرت,SQL Results
2387718,12,185,2,بن عروس,SQL Results
5324636,8,28,2,منــوبة,SQL Results
1013248,11,14,2,قبلي,SQL Results
2634104,26,35,2,مدنين,SQL Results
4032436,46,53,2,قفصة,SQL Results
441200,12,55,2,المنستير,SQL Results
1517269,12,13,2,قابس,SQL Results
2600726,22,18,2,سليانة,SQL Results
6244005,111,81,2,القصرين,SQL Results
278733,6,4,3,تــونس,SQL Results
4882227,59,70,3,قفصة,SQL Results
4172700,38,28,3,المهدية,SQL Results
5454846,24,142,3,زغوان,SQL Results
4012880,39,59,3,سيدي بوزيد,SQL Results
521232,15,10,3,تطاوين,SQL Results
1924262,18,18,3,قابس,SQL Results
3146045,23,38,3,باجة,SQL Results
872313,18,0,3,جندوبة,SQL Results
1444549,16,19,3,قبلي,SQL Results
6604002,42,42,3,صفاقس,SQL Results
1355955,16,39,3,توزر,SQL Results
2042107,19,26,3,منــوبة,SQL Results
297400,7,3,3,سوسة,SQL Results
534220,9,20,3,أريانة,SQL Results
1179100,9,4,3,المنستير,SQL Results
1121832,18,16,3,مدنين,SQL Results
628000,10,6,3,بن عروس,SQL Results
9386000,28,39,3,سليانة,SQL Results
4195195,45,65,3,بنزرت,SQL Results
18495637,23,371,3,القيروان,SQL Results
5662692,87,73,3,القصرين,SQL Results
9139371,28,44,3,الكاف,SQL Results
4368503,42,60,3,نابل,SQL Results
1028453,6,13,4,أريانة,SQL Results
1329346,10,23,4,تطاوين,SQL Results
715273,12,3,4,جندوبة,SQL Results
1177000,35,1,4,سليانة,SQL Results
2166294,20,16,4,قبلي,SQL Results
1678123,12,6,4,زغوان,SQL Results
3036666,25,38,4,مدنين,SQL Results
3420631,28,38,4,قفصة,SQL Results
3066300,14,152,4,بن عروس,SQL Results
8091797,17,17,4,المنستير,SQL Results
1118285,6,18,4,تــونس,SQL Results
2276500,26,20,4,المهدية,SQL Results
282771,5,4,4,توزر,SQL Results
4298711,14,39,4,باجة,SQL Results
8076025,65,177,4,سيدي بوزيد,SQL Results
4367796,71,65,4,القصرين,SQL Results
2254933,23,24,4,منــوبة,SQL Results
1825004,30,18,4,القيروان,SQL Results
3420794,33,48,4,صفاقس,SQL Results
1508261,21,30,4,الكاف,SQL Results
2150647,23,26,4,نابل,SQL Results
769195,6,12,4,قابس,SQL Results
2228200,9,30,4,بنزرت,SQL Results
479000,7,3,4,سوسة,SQL Results
2350500,20,38,5,المهدية,SQL Results
9479000,26,49,5,سليانة,SQL Results
2628204,18,24,5,منــوبة,SQL Results
1275119,38,26,5,الكاف,SQL Results
9675976,58,63,5,سيدي بوزيد,SQL Results
2786115,36,68,5,باجة,SQL Results
463000,5,4,5,سوسة,SQL Results
338646,6,5,5,تــونس,SQL Results
1013847,27,24,5,قابس,SQL Results
55720,2,1,5,أريانة,SQL Results
8329086,141,165,5,القصرين,SQL Results
3694726,7,3,5,زغوان,SQL Results
1055653,17,17,5,مدنين,SQL Results
4058751,43,58,5,صفاقس,SQL Results
130272,9,2,5,تطاوين,SQL Results
2927000,14,62,5,المنستير,SQL Results
1871293,20,36,5,القيروان,SQL Results
8464724,94,58,5,نابل,SQL Results
4524453,28,45,5,بنزرت,SQL Results
4920297,49,66,5,قفصة,SQL Results
780033,11,7,5,قبلي,SQL Results
1013647,18,1,5,جندوبة,SQL Results
2217875,13,73,5,بن عروس,SQL Results
4761783,11,5,5,توزر,SQL Results
317922,5,5,6,تطاوين,SQL Results
7229200,28,74,6,المنستير,SQL Results
2228972,16,2,6,جندوبة,SQL Results
4924432,96,108,6,القصرين,SQL Results
498031,22,4,6,سليانة,SQL Results
2303003,35,30,6,مدنين,SQL Results
2962000,14,36,6,بن عروس,SQL Results
2535782,34,40,6,الكاف,SQL Results
2806000,23,24,6,المهدية,SQL Results
2062492,28,27,6,صفاقس,SQL Results
1829550,18,18,6,باجة,SQL Results
691866,5,8,6,توزر,SQL Results
349000,6,2,6,سوسة,SQL Results
102947831,4,294,6,قابس,SQL Results
5540320,22,128,6,زغوان,SQL Results
1416455,8,12,6,قبلي,SQL Results
3727277,30,37,6,بنزرت,SQL Results
2849734,28,74,6,قفصة,SQL Results
3777638,8,21,6,أريانة,SQL Results
3152561,19,16,6,القيروان,SQL Results
414613,9,24,6,منــوبة,SQL Results
180400,3,2,6,تــونس,SQL Results
2960818,31,31,6,سيدي بوزيد,SQL Results
2154978,20,29,6,نابل,SQL Results
905427,10,13,7,قفصة,SQL Results
2429100,7,6,7,سوسة,SQL Results
765641,10,13,7,المنستير,SQL Results
65076,2,5,7,منــوبة,SQL Results
269000,3,2,7,مدنين,SQL Results
1413646,13,17,7,القصرين,SQL Results
1805653,6,29,7,باجة,SQL Results
1819752,15,9,7,قابس,SQL Results
2943385,5,36,7,بنزرت,SQL Results
269163,5,3,7,تــونس,SQL Results
18015,1,0,7,زغوان,SQL Results
2597609,22,22,7,سيدي بوزيد,SQL Results
126416,5,2,7,توزر,SQL Results
1109253,10,19,7,الكاف,SQL Results
261137,2,2,7,جندوبة,SQL Results
1163000,4,23,7,بن عروس,SQL Results
62400,2,2,7,أريانة,SQL Results
2587000,24,52,7,القيروان,SQL Results
1676113,21,13,7,نابل,SQL Results
2768500,25,42,7,المهدية,SQL Results
430132,5,5,7,تطاوين,SQL Results
367659,6,4,7,قبلي,SQL Results
1319853,19,22,7,صفاقس,SQL Results
1869000,7,28,7,سليانة,SQL Results
4325965,46,73,8,سيدي بوزيد,SQL Results
631071,10,7,8,تطاوين,SQL Results
603625,12,10,8,باجة,SQL Results
63164776,34,102,8,القيروان,SQL Results
3279004,17,22,8,نابل,SQL Results
8402523,19,0,8,جندوبة,SQL Results
3254500,32,24,8,المهدية,SQL Results
2107349,20,45,8,سليانة,SQL Results
360832,6,6,8,سوسة,SQL Results
1338743,13,22,8,قابس,SQL Results
1215590,12,11,8,القصرين,SQL Results
8721501,20,31,8,صفاقس,SQL Results
398569,9,7,8,تــونس,SQL Results
751973,8,30,8,زغوان,SQL Results
6195682,12,31,8,قبلي,SQL Results
990500,6,16,8,المنستير,SQL Results
2298200,23,27,8,مدنين,SQL Results
2780772,19,35,8,بنزرت,SQL Results
2146111,30,39,8,قفصة,SQL Results
185488,15,5,8,الكاف,SQL Results
464454,3,8,8,أريانة,SQL Results
1708658,8,29,8,منــوبة,SQL Results
3067900,12,52,8,بن عروس,SQL Results
1950000,1,8,8,توزر,SQL Results
4288384,22,60,9,مدنين,SQL Results
3682282,35,51,9,سيدي بوزيد,SQL Results
358485,7,10,9,تطاوين,SQL Results
914746,4,4,9,تــونس,SQL Results
2875139,22,29,9,بنزرت,SQL Results
1221713,21,13,9,زغوان,SQL Results
128440,3,5,9,أريانة,SQL Results
5325144,32,59,9,قفصة,SQL Results
5522272,36,39,9,القيروان,SQL Results
1422320,18,6,9,جندوبة,SQL Results
10243050,36,59,9,صفاقس,SQL Results
1777000,30,15,9,المهدية,SQL Results
1792520,16,159,9,قابس,SQL Results
102695,4,1,9,توزر,SQL Results
661500,8,6,9,بن عروس,SQL Results
6752630,81,86,9,القصرين,SQL Results
512961,8,6,9,قبلي,SQL Results
1280778,7,9,9,باجة,SQL Results
4701488,33,21,9,الكاف,SQL Results
453500,7,10,9,سوسة,SQL Results
629300,13,15,9,المنستير,SQL Results
1140516,7,9,9,منــوبة,SQL Results
1109000,20,3,9,سليانة,SQL Results
4402188,46,42,9,نابل,SQL Results
830131,12,14,10,قابس,SQL Results
1737000,21,14,10,سليانة,SQL Results
6794419,39,19,10,صفاقس,SQL Results
251000,2,5,10,تطاوين,SQL Results
1508350,10,14,10,قبلي,SQL Results
3845861,33,54,10,قفصة,SQL Results
4146032,70,70,10,القصرين,SQL Results
1160931,35,8,10,الكاف,SQL Results
3046394,31,47,10,سيدي بوزيد,SQL Results
612000,7,8,10,منــوبة,SQL Results
3894273,46,52,10,بنزرت,SQL Results
545400,14,1,10,المنستير,SQL Results
2327891,21,27,10,باجة,SQL Results
9737396,19,169,10,بن عروس,SQL Results
4851794,56,59,10,نابل,SQL Results
3582500,8,8,10,سوسة,SQL Results
210115,4,5,10,توزر,SQL Results
132877,5,5,10,أريانة,SQL Results
1280778,20,0,10,جندوبة,SQL Results
1482000,14,24,10,المهدية,SQL Results
6870490,38,16,10,القيروان,SQL Results
1354982,17,20,10,مدنين,SQL Results
74414,2,2,10,تــونس,SQL Results
23371472,16,30,10,زغوان,SQL Results
4425047,26,20,11,القيروان,SQL Results
86746,1,1,11,توزر,SQL Results
4228684,45,77,11,القصرين,SQL Results
2564200,10,6,11,المنستير,SQL Results
429426,7,8,11,باجة,SQL Results
3371980,41,47,11,قفصة,SQL Results
1072970,14,13,11,قبلي,SQL Results
3468247,25,33,11,مدنين,SQL Results
1135361,23,0,11,جندوبة,SQL Results
3983095,16,110,11,قابس,SQL Results
281119,3,0,11,أريانة,SQL Results
6815486,16,160,11,بنزرت,SQL Results
2438436,11,74,11,بن عروس,SQL Results
7117785,14,7,11,زغوان,SQL Results
1294762,27,3,11,سليانة,SQL Results
2619774,13,26,11,منــوبة,SQL Results
1036351,25,11,11,الكاف,SQL Results
3183702,25,26,11,نابل,SQL Results
760539,14,10,11,تطاوين,SQL Results
2710931,27,32,11,سيدي بوزيد,SQL Results
8948534,35,68,11,صفاقس,SQL Results
5784343,21,46,11,المهدية,SQL Results
307090,5,2,11,تــونس,SQL Results
250000,6,1,11,سوسة,SQL Results
4041369,30,53,12,قابس,SQL Results
7872687,57,73,12,سيدي بوزيد,SQL Results
905470,10,21,12,تــونس,SQL Results
3008227,58,6,12,الكاف,SQL Results
4416363,52,62,12,قفصة,SQL Results
2016750,17,13,12,بن عروس,SQL Results
19312826,328,346,12,القصرين,SQL Results
1360356,24,44,12,باجة,SQL Results
5404800,33,68,12,المهدية,SQL Results
857070,9,13,12,أريانة,SQL Results
3678052,27,0,12,جندوبة,SQL Results
1989298,14,21,12,توزر,SQL Results
6356375,63,126,12,بنزرت,SQL Results
7613505,21,181,12,تطاوين,SQL Results
1821086,24,27,12,قبلي,SQL Results
4423946,21,5,12,زغوان,SQL Results
4017350,28,8,12,المنستير,SQL Results
20220104,290,167,12,نابل,SQL Results
2425000,21,9,12,سليانة,SQL Results
15032162,84,107,12,صفاقس,SQL Results
11370000,13,53,12,سوسة,SQL Results
6031985,36,84,12,مدنين,SQL Results
12750198,43,181,12,القيروان,SQL Results
7810100,19,59,12,منــوبة,SQL Results
