inv_declare,nbr_adi,nbr_emploi_pervu,mois,gouvernorat,feuille
552175,12,7,6,قبلي,SQL Results
5803355,65,47,6,سيدي بوزيد,SQL Results
3928000,33,35,6,المهدية,SQL Results
1151595,20,14,6,تطاوين,SQL Results
673000,7,12,6,بن عروس,SQL Results
544058,8,0,6,أريانة,SQL Results
3247023,40,52,6,القيروان,SQL Results
8791146,117,114,6,القصرين,SQL Results
6074317,28,61,6,نابل,SQL Results
3742108,19,162,6,قابس,SQL Results
975000,14,13,6,سليانة,SQL Results
5799911,17,46,6,مدنين,SQL Results
1279300,26,48,6,المنستير,SQL Results
797049,7,10,7,قفصة,SQL Results
617091,8,11,7,مدنين,SQL Results
200833,4,12,7,باجة,SQL Results
2286214,23,7,7,زغوان,SQL Results
1979439,48,40,7,القصرين,SQL Results
623804,6,16,7,تطاوين,SQL Results
246300,5,2,7,سوسة,SQL Results
4917711,43,47,7,نابل,SQL Results
807702,7,15,7,توزر,SQL Results
2248382,28,37,7,القيروان,SQL Results
5031747,44,37,7,سيدي بوزيد,SQL Results
729000,12,6,7,سليانة,SQL Results
1867300,14,4,7,المنستير,SQL Results
7949000,16,66,7,المهدية,SQL Results
1150050,6,14,7,منــوبة,SQL Results
6238540,23,319,7,بنزرت,SQL Results
139859,7,1,7,جندوبة,SQL Results
158163,6,1,7,الكاف,SQL Results
1182042,10,5,7,قبلي,SQL Results
712500,4,8,7,بن عروس,SQL Results
23808036,8,73,7,قابس,SQL Results
10319056,18,15,7,صفاقس,SQL Results
504904,4,11,8,قبلي,SQL Results
214400,3,0,8,زغوان,SQL Results
536027,3,2,8,منــوبة,SQL Results
12035022,15,16,8,القيروان,SQL Results
288300,2,3,8,توزر,SQL Results
1827700,23,16,8,المهدية,SQL Results
717000,15,4,8,سليانة,SQL Results
1734150,2,5,8,تطاوين,SQL Results
2537743,8,13,8,جندوبة,SQL Results
222596,2,50,8,باجة,SQL Results
204000,4,4,8,سوسة,SQL Results
1267000,3,8,8,بن عروس,SQL Results
3476642,12,40,8,نابل,SQL Results
2770040,22,54,8,بنزرت,SQL Results
828000,5,9,8,المنستير,SQL Results
1649096,19,22,8,قفصة,SQL Results
221597,6,0,8,الكاف,SQL Results
1552538,15,11,8,قابس,SQL Results
129131,3,0,8,أريانة,SQL Results
229977,5,1,8,تــونس,SQL Results
955237,8,3,8,القصرين,SQL Results
3066437,32,9,8,صفاقس,SQL Results
4327735,29,33,8,سيدي بوزيد,SQL Results
1309087,15,16,8,مدنين,SQL Results
2131882,14,21,9,مدنين,SQL Results
7796141,10,96,9,باجة,SQL Results
3440344,30,34,9,قفصة,SQL Results
1094000,21,2,9,سليانة,SQL Results
601015,12,13,9,تــونس,SQL Results
1336602,8,11,9,قبلي,SQL Results
1523000,16,24,9,المنستير,SQL Results
2071448,14,8,9,قابس,SQL Results
4505200,29,44,9,المهدية,SQL Results
4957993,40,41,9,صفاقس,SQL Results
2414326,21,7,9,زغوان,SQL Results
3493584,15,42,9,بن عروس,SQL Results
1295079,10,19,9,تطاوين,SQL Results
1173821,21,1,9,جندوبة,SQL Results
