annee,delegation,superficie_irriguee_en_perimetre_public,superficie_irriguee_perimetre_prive,superficie_irriguee_puit_de_surface,superficie_irriguee_puits_profonds,superficie_irriguee_oued_source,superficifie_irriguee_barrage,superficie_irriguee_barrage_collinaire,superficie_irriguee_lac_collinaire,feuille
2023,Jendouba,9325,0,0,0.0,0.0,9325.0,0,0.0,Feuil2
2023,Jendouba Nord,330,0,0,310.0,0.0,0.0,0,20.0,Feuil2
2023,bousalem,11200,0,0,0.0,0.0,11200.0,0,0.0,Feuil2
2023,Baltabouauen,4313,0,0,80.0,0.0,4233.0,0,0.0,Feuil2
2023,Tabarka,2500,0,0,0.0,0.0,2500.0,0,0.0,Feuil2
2023,Aïn Draham,874,0,0,0.0,0.0,800.0,0,74.0,Feuil2
2023,Fernana,1446,0,0,60.0,0.0,1300.0,0,86.0,Feuil2
2023,Ghardimaou,2860,0,0,2160.0,700.0,0.0,0,0.0,Feuil2
2023,Oued Mliz,3330,0,0,2730.0,600.0,0.0,0,0.0,Feuil2
2024,Jendouba,9325,0,0,,,9325.0,0,,Feuil2
2024,Jendouba Nord,330,0,0,310.0,,,0,20.0,Feuil2
2024,bousalem,11200,0,0,,,11200.0,0,,Feuil2
2024,Baltabouauen,4313,0,0,80.0,,4233.0,0,,Feuil2
2024,Tabarka,2500,0,0,,,2500.0,0,,Feuil2
2024,Aïn Draham,874,0,0,,,800.0,0,74.0,Feuil2
2024,Fernana,1446,0,0,60.0,,1300.0,0,86.0,Feuil2
2024,Ghardimaou,2860,0,0,2160.0,700.0,,0,,Feuil2
2024,Oued Mliz,3330,0,0,2730.0,600.0,,0,,Feuil2
