annee,nom_port_ar,nom_port_fr,peche_cotiere_avec_moteur,peche_cotiere_sans_moteur,peche_au_chalut,peche_poisson_bleu,aquaculture,peche_de_plaisance_sur_bateau,peche_de_plaisance_sous_marine,peche_au_barrage,feuille
2020,سوسة,sousse,159,38,7,4,0,6,250,0,Feuil1
2020,سيدي عبد الحميد,sidi abdelhamid,17,26,0,0,0,0,0,0,Feuil1
2020,القنطاوي,el kantaoui,25,0,0,0,0,25,0,0,Feuil1
2020,هرقلة,hergla,58,2,0,1,4,4,0,0,Feuil1
2020,السلوم بوفيشة,salloum bouficha,3,15,0,0,0,0,0,0,Feuil1
2021,سوسة,sousse,146,42,7,4,0,6,175,0,Feuil1
2021,سيدي عبد الحميد,sidi abdelhamid,17,22,0,0,0,0,0,0,Feuil1
2021,القنطاوي,el kantaoui,31,0,0,1,0,21,0,0,Feuil1
2021,هرقلة,hergla,59,3,0,0,8,4,0,0,Feuil1
2021,السلوم بوفيشة,salloum bouficha,1,19,0,0,0,0,0,0,Feuil1
2022,سوسة,sousse,139,63,8,4,2,7,157,0,Feuil1
2022,سيدي عبد الحميد,sidi abdelhamid,8,11,0,0,0,0,0,0,Feuil1
2022,القنطاوي,el kantaoui,26,0,0,0,0,41,0,0,Feuil1
2022,هرقلة,hergla,61,7,0,1,4,7,0,0,Feuil1
2022,السلوم بوفيشة,salloum bouficha,0,14,0,0,0,0,0,0,Feuil1
2022,النفيضة,(سدالخيرات),0,0,0,0,0,0,0,1,Feuil1
