unnamed_0,2017,2018,2019,2020,2021,2022,feuille
Investissements déclarés,1898572,1488444,1394357,1224830,1308583,1315159,Feuil1
Investissements approuvés,693836,719257,680065,506303,576921,636154,Feuil1
Prêts fonciers,8098,14810,9253,9143,10768,9440,Feuil1
